Date,Open,High,Low,Close,Adj Close,Volume
2019-01-16,52.299999,53.599998,52.299999,53.500000,52.284092,93457
2019-01-17,53.400002,54.500000,53.200001,54.500000,53.261364,130852
2019-01-18,54.700001,55.000000,54.000000,54.099998,52.870453,119178
2019-01-21,54.400002,54.799999,54.000000,54.400002,53.163639,70108
2019-01-22,54.400002,54.400002,53.500000,54.299999,53.065910,103315
2019-01-23,54.299999,55.599998,53.700001,55.099998,53.847729,170086
2019-01-24,55.099998,56.299999,55.099998,55.599998,54.336365,103972
2019-01-25,55.799999,56.700001,55.700001,56.200001,54.922729,116302
2019-01-28,56.299999,56.400002,55.799999,55.900002,54.629547,63027
2019-01-29,56.000000,56.000000,54.900002,55.000000,53.750000,101280
2019-01-30,54.900002,55.400002,54.500000,55.000000,53.750000,55253
2019-01-31,54.900002,55.900002,54.900002,55.900002,54.629547,145912
2019-02-01,56.000000,56.200001,55.700001,56.099998,54.825001,92918
2019-02-04,56.099998,56.099998,55.700001,56.000000,54.727272,47642
2019-02-05,56.000000,56.200001,54.599998,56.000000,54.727272,154397
2019-02-06,56.099998,56.700001,55.900002,56.000000,54.727272,176039
2019-02-07,56.299999,56.900002,55.700001,56.099998,54.825001,134971
2019-02-08,56.099998,56.099998,54.500000,55.200001,53.945457,136194
2019-02-11,55.299999,56.000000,55.299999,56.000000,54.727272,122109
2019-02-12,56.099998,56.700001,56.000000,56.400002,55.118183,112338
2019-02-13,56.700001,57.200001,56.500000,56.599998,55.313637,81102
2019-02-14,56.700001,57.000000,56.200001,56.400002,55.118183,95455
2019-02-15,56.500000,56.599998,56.099998,56.299999,55.020454,77803
2019-02-18,56.700001,56.700001,56.000000,56.099998,54.825001,62391
2019-02-19,56.400002,56.400002,55.700001,56.099998,54.825001,45923
2019-02-20,56.099998,56.299999,55.799999,56.000000,54.727272,170063
2019-02-21,56.000000,56.099998,55.700001,56.000000,54.727272,141364
2019-02-22,55.900002,56.200001,55.799999,55.900002,54.629547,138195
2019-02-25,56.099998,56.500000,55.799999,56.500000,55.215912,100543
2019-02-26,56.299999,57.500000,56.299999,57.099998,55.802273,256509
2019-02-27,57.099998,57.099998,56.500000,56.900002,55.606819,129516
2019-02-28,56.200001,56.599998,56.099998,56.299999,55.020454,100821
2019-03-01,56.299999,57.099998,56.299999,57.000000,55.704548,135000
2019-03-04,57.200001,57.200001,56.500000,56.599998,55.313637,87566
2019-03-05,56.799999,56.799999,56.200001,56.599998,55.313637,142492
2019-03-06,56.599998,56.599998,56.299999,56.599998,55.313637,84891
2019-03-07,56.000000,56.500000,56.000000,56.099998,54.825001,537569
2019-03-08,56.299999,56.599998,55.500000,56.500000,55.215912,179812
2019-03-11,56.799999,56.799999,56.400002,56.700001,55.411366,42527
2019-03-12,56.700001,57.299999,56.099998,57.099998,55.802273,699259
2019-03-13,57.200001,59.000000,57.000000,58.500000,57.170456,350362
2019-03-14,58.700001,59.299999,58.200001,59.200001,57.854546,127548
2019-03-15,58.900002,59.500000,58.700001,58.900002,57.561367,364597
2019-03-18,58.900002,59.299999,58.599998,58.900002,57.561367,150856
2019-03-19,59.000000,59.200001,58.799999,59.099998,57.756817,92473
2019-03-20,59.000000,59.000000,58.599998,58.700001,57.365910,105082
2019-03-21,58.700001,58.799999,57.700001,58.799999,57.463638,172141
2019-03-22,58.799999,58.799999,57.700001,57.900002,56.584095,94694
2019-03-25,57.900002,57.900002,56.900002,57.200001,55.900002,80205
2019-03-26,57.299999,57.299999,56.400002,57.099998,55.802273,114955
2019-03-27,56.500000,57.500000,56.500000,57.500000,56.193184,75840
2019-03-28,57.599998,57.599998,56.799999,57.400002,56.095459,70745
2019-03-29,57.599998,58.000000,57.400002,57.400002,56.095459,52140
2019-04-01,57.400002,58.750000,57.400002,58.500000,57.170456,71427
2019-04-02,58.250000,59.099998,58.250000,58.900002,57.561367,159258
2019-04-03,58.950001,59.450001,58.799999,59.099998,57.756817,108759
2019-04-04,59.049999,60.349998,59.049999,60.000000,58.636364,150796
2019-04-05,60.000000,61.950001,59.900002,61.700001,60.297729,251669
2019-04-08,61.950001,61.950001,61.250000,61.450001,60.053410,120254
2019-04-09,61.799999,61.799999,61.200001,61.299999,59.906818,82687
2019-04-10,61.549999,61.700001,60.700001,60.849998,59.467045,112645
2019-04-11,60.799999,62.599998,60.799999,62.450001,61.030685,113253
2019-04-12,62.349998,62.950001,62.049999,62.900002,61.470459,85521
2019-04-15,63.000000,63.700001,63.000000,63.450001,62.007957,141511
2019-04-16,63.650002,65.500000,63.650002,65.000000,63.522728,310602
2019-04-17,65.000000,65.099998,64.599998,64.800003,63.327278,122816
2019-04-23,64.650002,64.949997,64.000000,64.500000,63.034092,132559
2019-04-24,64.849998,64.949997,64.099998,64.699997,63.229546,126828
2019-04-25,64.750000,66.099998,64.300003,65.750000,64.255684,332189
2019-04-26,65.900002,66.050003,65.400002,65.949997,64.451134,114909
2019-04-29,66.150002,66.500000,66.000000,66.000000,64.500000,246455
2019-04-30,63.400002,63.849998,62.849998,63.450001,63.450001,163352
2019-05-01,63.450001,63.950001,63.450001,63.900002,63.900002,95271
2019-05-02,63.900002,64.349998,63.299999,64.349998,64.349998,288580
2019-05-03,64.199997,64.500000,62.900002,63.049999,63.049999,276286
2019-05-06,61.750000,63.049999,61.500000,62.799999,62.799999,203027
2019-05-07,63.000000,63.849998,60.299999,60.650002,60.650002,374988
2019-05-08,60.099998,61.400002,59.849998,61.400002,61.400002,217551
2019-05-09,62.250000,62.250000,60.500000,60.900002,60.900002,180267
2019-05-10,60.500000,61.650002,60.500000,61.500000,61.500000,158386
2019-05-13,60.450001,61.500000,60.450001,61.200001,61.200001,181725
2019-05-14,60.500000,61.250000,60.500000,60.799999,60.799999,99855
2019-05-15,60.700001,61.349998,59.200001,60.000000,60.000000,167509
2019-05-16,60.650002,60.700001,59.500000,60.700001,60.700001,187697
2019-05-20,60.299999,60.799999,59.450001,59.700001,59.700001,143620
2019-05-21,60.099998,60.599998,59.599998,60.049999,60.049999,196472
2019-05-22,60.349998,60.400002,59.650002,59.700001,59.700001,108656
2019-05-23,59.650002,59.650002,59.000000,59.200001,59.200001,156369
2019-05-24,58.950001,59.599998,58.700001,59.200001,59.200001,178194
2019-05-27,59.299999,59.799999,57.150002,57.549999,57.549999,251117
2019-05-28,57.000000,57.950001,56.900002,57.950001,57.950001,389003
2019-05-29,57.900002,57.900002,56.650002,57.599998,57.599998,290129
2019-06-03,57.599998,57.599998,56.599998,57.049999,57.049999,162186
2019-06-04,57.049999,58.150002,57.000000,57.700001,57.700001,160366
2019-06-06,58.150002,58.299999,57.700001,57.700001,57.700001,90876
2019-06-07,57.700001,58.099998,57.250000,57.400002,57.400002,79092
2019-06-11,57.400002,58.450001,57.400002,58.099998,58.099998,137269
2019-06-12,57.549999,58.500000,57.450001,58.400002,58.400002,93811
2019-06-13,58.500000,58.900002,58.049999,58.700001,58.700001,157951
2019-06-14,58.650002,58.650002,57.549999,57.599998,57.599998,120001
2019-06-17,57.150002,58.599998,57.150002,58.099998,58.099998,149010
2019-06-18,57.900002,58.450001,57.349998,58.099998,58.099998,137384
2019-06-19,56.950001,58.099998,56.500000,57.900002,57.900002,94068
2019-06-20,57.799999,58.299999,57.750000,57.799999,57.799999,117111
2019-06-21,57.849998,57.950001,57.599998,57.700001,57.700001,233137
2019-06-24,57.250000,58.400002,57.250000,58.000000,58.000000,193552
2019-06-25,58.000000,58.150002,57.750000,57.849998,57.849998,110089
2019-06-26,58.000000,58.450001,57.900002,58.049999,58.049999,145704
2019-06-27,58.049999,58.049999,57.599998,57.700001,57.700001,79226
2019-06-28,57.500000,58.250000,57.500000,57.950001,57.950001,62838
2019-07-01,57.900002,58.700001,57.900002,58.400002,58.400002,88137
2019-07-02,58.299999,58.799999,58.250000,58.700001,58.700001,105325
2019-07-03,58.750000,59.400002,58.500000,58.950001,58.950001,92214
2019-07-04,58.450001,59.500000,58.450001,59.400002,59.400002,60628
2019-07-05,59.849998,59.849998,58.750000,59.099998,59.099998,108956
2019-07-08,59.099998,59.950001,59.099998,59.299999,59.299999,145940
2019-07-09,59.349998,59.549999,58.900002,59.349998,59.349998,75408
