Date,Open,High,Low,Close,Adj Close,Volume
2019-01-15,5.351000,5.449000,5.250000,5.250000,0.988636,64848
2019-01-16,5.250000,5.439000,5.200000,5.270000,0.992403,120855
2019-01-17,5.271000,5.389000,5.251000,5.332000,1.004078,751630
2019-01-18,5.340000,5.399000,5.302000,5.330000,1.003701,66644
2019-01-21,5.331000,5.379000,5.300000,5.360000,1.009351,304347
2019-01-22,5.400000,5.400000,5.300000,5.300000,0.998052,37977
2019-01-23,5.301000,5.600000,5.301000,5.380000,1.013117,470709
2019-01-24,5.380000,5.520000,5.351000,5.450000,1.026299,394232
2019-01-25,5.600000,5.999000,5.501000,5.898000,1.110662,190890
2019-01-28,5.910000,6.100000,5.800000,5.820000,1.095974,198186
2019-01-29,5.999000,5.999000,5.820000,5.910000,1.112922,1920750
2019-01-30,5.979000,6.100000,5.958000,6.000000,1.129870,936326
2019-01-31,6.098000,6.240000,5.940000,6.200000,1.167532,430264
2019-02-01,6.280000,6.300000,6.005000,6.050000,1.139286,709643
2019-02-04,6.299000,6.299000,6.051000,6.101000,1.148890,1609388
2019-02-05,6.159000,6.200000,6.064000,6.065000,1.142110,202363
2019-02-06,6.216000,6.216000,6.065000,6.100000,1.148701,239390
2019-02-07,6.140000,6.240000,6.110000,6.230000,1.173182,283118
2019-02-08,6.239000,6.240000,6.110000,6.120000,1.152468,681209
2019-02-11,6.238000,6.239000,6.050000,6.080000,1.144935,417248
2019-02-12,6.150000,6.168000,6.080000,6.150000,1.158117,241104
2019-02-13,6.185000,6.185000,5.900000,5.922000,1.115182,667673
2019-02-14,5.800000,5.900000,4.950000,5.900000,1.111039,1185520
2019-02-15,5.751000,5.879000,5.703000,5.795000,1.091266,406918
2019-02-18,5.711000,5.749000,5.650000,5.748000,1.082416,605661
2019-02-19,5.747000,5.747000,5.610000,5.670000,1.067727,350193
2019-02-20,5.615000,5.660000,5.500000,5.599000,1.054357,621735
2019-02-21,5.580000,5.656000,5.420000,5.601000,1.054734,275838
2019-02-22,5.600000,5.685000,5.550000,5.581000,1.050968,71514
2019-02-25,5.585000,5.736000,5.450000,5.500000,1.035714,164565
2019-02-26,5.500000,5.685000,5.453000,5.671000,1.067916,376266
2019-02-27,5.668000,5.668000,5.502000,5.603000,1.055110,220081
2019-02-28,5.600000,5.670000,5.599000,5.650000,1.063961,765245
2019-03-01,5.640000,5.699000,5.480000,5.580000,1.050779,332363
2019-03-04,5.600000,5.719000,5.501000,5.625000,1.059253,828383
2019-03-05,5.625000,5.748000,5.500000,5.629000,1.060007,203475
2019-03-06,5.628000,5.709000,5.511000,5.679000,1.069422,84615
2019-03-07,5.620000,5.678000,5.601000,5.650000,1.063961,80226
2019-03-08,5.650000,5.694000,5.551000,5.675000,1.068669,28225
2019-03-11,5.700000,5.760000,5.561000,5.745000,1.081851,170939
2019-03-12,5.799000,5.800000,5.700000,5.711000,1.075448,116866
2019-03-13,5.789000,5.900000,5.601000,5.900000,1.111039,276802
2019-03-14,5.987000,6.010000,5.909000,6.000000,1.129870,119858
2019-03-15,6.000000,6.200000,5.995000,6.180000,1.163766,251425
2019-03-18,6.200000,6.439000,6.200000,6.300000,1.186364,316036
2019-03-19,6.300000,6.469000,6.300000,6.400000,1.205195,67376
2019-03-20,6.400000,6.450000,6.150000,6.160000,1.160000,230112
2019-03-21,6.000000,6.000000,5.702000,5.750000,5.750000,235498
2019-03-22,5.751000,5.851000,5.745000,5.745000,5.745000,30451
2019-03-25,5.745000,5.745000,5.400000,5.454000,5.454000,467854
2019-03-26,5.400000,5.500000,5.301000,5.500000,5.500000,3743069
2019-03-27,5.500000,5.679000,5.400000,5.603000,5.603000,302831
2019-03-28,5.610000,5.610000,5.400000,5.580000,5.580000,365482
2019-03-29,5.581000,5.818000,5.450000,5.700000,5.700000,484056
2019-04-01,5.790000,5.790000,5.610000,5.750000,5.750000,1441193
2019-04-02,5.760000,5.930000,5.760000,5.780000,5.780000,760761
2019-04-03,5.310000,5.580000,5.310000,5.430000,5.430000,128171475
2019-04-04,5.430000,5.550000,5.320000,5.500000,5.500000,8016019
2019-04-05,5.500000,5.500000,5.300000,5.420000,5.420000,206158
2019-04-08,5.550000,5.790000,5.450000,5.790000,5.790000,5428707
2019-04-09,5.790000,5.940000,5.580000,5.920000,5.920000,3555829
2019-04-10,5.920000,6.050000,5.800000,6.000000,6.000000,1061281
2019-04-11,6.000000,6.000000,5.860000,5.880000,5.880000,40493
2019-04-12,5.880000,5.990000,5.810000,5.840000,5.840000,190695
2019-04-15,5.840000,5.900000,5.700000,5.820000,5.820000,1075458
2019-04-16,5.850000,5.850000,5.700000,5.720000,5.720000,1360709
2019-04-17,5.710000,5.820000,5.700000,5.780000,5.780000,2082790
2019-04-18,5.800000,5.820000,5.710000,5.740000,5.740000,61371
2019-04-23,5.740000,5.840000,5.640000,5.750000,5.750000,263877
2019-04-24,5.780000,5.800000,5.670000,5.690000,5.690000,82735
2019-04-25,5.700000,5.800000,5.600000,5.670000,5.670000,378993
2019-04-26,5.680000,5.850000,5.620000,5.770000,5.770000,864516
2019-04-29,5.880000,5.880000,5.660000,5.800000,5.800000,2050698
2019-04-30,5.800000,5.800000,5.710000,5.750000,5.750000,759581
2019-05-02,5.630000,5.880000,5.630000,5.830000,5.830000,1344272
2019-05-03,5.840000,6.010000,5.740000,6.000000,6.000000,3225158
2019-05-06,5.800000,6.200000,5.800000,6.050000,6.050000,3325279
2019-05-07,6.130000,6.140000,6.050000,6.100000,6.100000,1671587
2019-05-08,6.100000,6.150000,6.080000,6.130000,6.130000,888650
