Date,Open,High,Low,Close,Adj Close,Volume
2019-01-15,8.495000,8.505000,8.365000,8.375000,7.811848,110493
2019-01-16,8.385000,8.425000,8.345000,8.375000,7.811848,134545
2019-01-17,8.410000,8.610000,8.370000,8.545000,7.970417,331791
2019-01-18,8.550000,8.605000,8.500000,8.500000,7.928444,136570
2019-01-21,8.510000,8.725000,8.495000,8.600000,8.021719,212923
2019-01-22,8.615000,8.665000,8.560000,8.560000,7.984409,89261
2019-01-23,8.625000,8.900000,8.610000,8.895000,8.296882,285012
2019-01-24,8.895000,8.980000,8.825000,8.860000,8.264236,229222
2019-01-25,8.860000,8.935000,8.800000,8.900000,8.301546,138803
2019-01-28,8.910000,8.990000,8.820000,8.820000,8.226926,122595
2019-01-29,8.875000,8.970000,8.850000,8.925000,8.324864,89120
2019-01-30,8.935000,9.015000,8.880000,8.980000,8.376166,105089
2019-01-31,8.995000,9.040000,8.880000,8.920000,8.320201,122900
2019-02-01,8.965000,8.985000,8.860000,8.875000,8.278227,75879
2019-02-04,8.875000,8.940000,8.840000,8.940000,8.338856,119760
2019-02-05,8.940000,9.040000,8.880000,8.940000,8.338856,183266
2019-02-06,8.950000,9.145000,8.950000,9.145000,8.530072,216674
2019-02-07,9.150000,9.150000,8.990000,9.020000,8.413477,240098
2019-02-08,8.900000,8.900000,8.530000,8.615000,8.035709,493213
2019-02-11,8.720000,8.785000,8.600000,8.600000,8.021719,218916
2019-02-12,8.615000,8.630000,8.490000,8.505000,7.933107,233613
2019-02-13,8.500000,8.605000,8.500000,8.550000,7.975082,118272
2019-02-14,8.565000,8.610000,8.530000,8.540000,7.965754,95635
2019-02-15,8.550000,8.620000,8.540000,8.580000,8.003064,63415
2019-02-18,8.550000,8.610000,8.535000,8.595000,8.017055,126721
2019-02-19,8.600000,8.650000,8.545000,8.600000,8.021719,87550
2019-02-20,8.620000,8.625000,8.560000,8.575000,7.998400,94475
2019-02-21,8.610000,8.610000,8.520000,8.545000,7.970417,79786
2019-02-22,8.545000,8.580000,8.520000,8.535000,7.961089,78600
2019-02-25,8.545000,8.560000,8.465000,8.495000,7.923779,130492
2019-02-26,8.500000,8.580000,8.430000,8.580000,8.003064,140192
2019-02-27,8.580000,8.595000,8.485000,8.595000,8.017055,140981
2019-02-28,8.595000,8.595000,8.455000,8.460000,7.891132,228746
2019-03-01,8.535000,8.765000,8.525000,8.750000,8.161633,396342
2019-03-04,8.770000,8.840000,8.770000,8.800000,8.208271,178417
2019-03-05,8.800000,8.830000,8.715000,8.725000,8.138313,230197
2019-03-06,8.730000,8.755000,8.660000,8.700000,8.114995,141595
2019-03-07,8.705000,8.710000,8.580000,8.670000,8.087012,168487
2019-03-08,8.630000,8.800000,8.575000,8.765000,8.175623,141853
2019-03-11,8.800000,8.885000,8.745000,8.875000,8.278227,221759
2019-03-12,8.900000,8.950000,8.855000,8.855000,8.259571,124503
2019-03-13,8.900000,8.960000,8.800000,8.935000,8.334193,236105
2019-03-14,8.915000,9.170000,8.905000,9.150000,8.534735,274610
2019-03-15,9.100000,9.345000,9.100000,9.330000,8.702632,745700
2019-03-18,8.900000,9.300000,8.900000,9.195000,8.576709,314328
2019-03-19,9.200000,9.450000,9.149000,9.450000,8.814563,391775
2019-03-20,9.380000,9.399000,9.280000,9.360000,8.730614,270433
2019-03-21,9.300000,9.349000,9.061000,9.202000,8.734886,225439
2019-03-22,9.242000,9.248000,9.110000,9.110000,8.647556,134136
2019-03-25,9.099000,9.112000,8.930000,9.083000,8.621927,128599
2019-03-26,9.127000,9.149000,9.020000,9.071000,8.610537,137033
2019-03-27,9.100000,9.228000,9.073000,9.228000,8.759567,143282
2019-03-28,9.227000,9.228000,9.150000,9.200000,8.732988,114388
2019-03-29,9.205000,9.230000,9.113000,9.124000,8.660845,158736
2019-04-01,9.178000,9.286000,9.156000,9.238000,8.769059,84530
2019-04-02,9.200000,9.375000,9.200000,9.375000,8.899104,94124
2019-04-03,9.380000,9.425000,9.330000,9.350000,8.875374,89032
2019-04-04,9.350000,9.390000,9.215000,9.265000,8.794689,155228
2019-04-05,9.300000,9.345000,9.210000,9.240000,8.770957,130132
2019-04-08,9.220000,9.280000,9.120000,9.145000,8.680780,134726
2019-04-09,9.170000,9.190000,9.000000,9.020000,8.562125,140549
2019-04-10,9.025000,9.140000,9.005000,9.050000,8.590603,90046
2019-04-11,9.050000,9.095000,9.050000,9.050000,8.590603,88880
2019-04-12,9.050000,9.090000,9.045000,9.065000,8.604839,50383
2019-04-15,9.075000,9.155000,9.040000,9.095000,8.633319,67511
2019-04-16,9.100000,9.130000,9.055000,9.070000,8.609587,207318
2019-04-17,9.070000,9.110000,9.010000,9.030000,8.571617,159813
2019-04-18,9.115000,9.195000,9.055000,9.100000,8.638064,166783
2019-04-23,9.150000,9.200000,9.090000,9.200000,8.732988,97749
2019-04-24,9.195000,9.290000,9.190000,9.290000,8.818419,71027
