Date,Open,High,Low,Close,Adj Close,Volume
2019-01-21,208.399994,208.600006,206.500000,207.100006,199.810455,805195
2019-01-22,208.699997,210.500000,206.800003,208.000000,200.678772,1473609
2019-01-23,207.500000,209.399994,206.399994,208.199997,200.871719,1174644
2019-01-24,205.000000,207.800003,203.399994,207.500000,200.196365,1163562
2019-01-25,208.000000,210.300003,207.899994,209.899994,202.511887,1863052
2019-01-28,209.100006,209.399994,207.000000,209.300003,201.933014,834849
2019-01-29,206.000000,212.300003,205.899994,212.300003,204.827423,1664515
2019-01-30,212.699997,219.100006,212.500000,213.800003,206.274628,2849673
2019-01-31,215.500000,217.500000,213.199997,213.699997,206.178146,2139210
2019-02-01,235.899994,240.300003,230.000000,235.899994,227.596741,7474012
2019-02-04,235.500000,240.000000,235.500000,239.100006,230.684113,2101802
2019-02-05,239.199997,239.300003,234.300003,235.399994,227.114334,1869619
2019-02-06,234.500000,236.699997,229.600006,233.600006,225.377701,1906070
2019-02-07,233.899994,233.899994,230.699997,232.800003,224.605865,1404567
2019-02-08,232.800003,235.300003,231.800003,233.600006,225.377701,1272979
2019-02-11,234.199997,236.600006,234.000000,234.199997,225.956573,1452157
2019-02-12,235.899994,236.100006,233.600006,234.899994,226.631943,1903630
2019-02-13,235.000000,238.899994,234.800003,237.899994,229.526337,1022021
2019-02-14,239.000000,239.000000,233.800003,234.699997,226.438965,931104
2019-02-15,234.699997,240.399994,233.199997,237.600006,229.236908,1441384
2019-02-18,237.100006,239.500000,236.800003,239.300003,230.877075,2769421
2019-02-19,239.600006,240.300003,238.300003,239.500000,231.070023,767194
2019-02-20,239.800003,244.000000,239.500000,242.800003,234.253876,852219
2019-02-21,243.000000,244.500000,241.399994,242.399994,233.867950,661603
2019-02-22,242.800003,244.600006,242.199997,242.699997,234.157379,698137
2019-02-25,242.800003,244.000000,240.300003,241.600006,233.096115,650404
2019-02-26,241.000000,243.100006,240.399994,242.100006,233.578522,631184
2019-02-27,240.399994,243.300003,240.399994,242.399994,233.867950,533186
2019-02-28,242.300003,242.800003,238.300003,241.699997,233.192581,868347
2019-03-01,243.600006,244.100006,241.800003,243.699997,235.122192,522708
2019-03-04,245.000000,246.399994,243.800003,245.000000,236.376434,656630
2019-03-05,244.899994,249.300003,244.000000,249.100006,240.332123,1479657
2019-03-06,248.699997,248.699997,243.000000,244.300003,235.701080,1618532
2019-03-07,244.300003,244.300003,238.699997,239.899994,231.455933,765261
2019-03-08,238.399994,238.800003,234.699997,237.300003,228.947464,1364526
2019-03-11,237.800003,241.600006,236.100006,241.000000,232.517227,780352
2019-03-12,240.600006,243.000000,240.100006,242.600006,234.060913,669040
2019-03-13,242.199997,243.000000,238.800003,243.000000,234.446838,1026040
2019-03-14,242.500000,244.800003,242.300003,243.199997,234.639786,683724
2019-03-15,244.199997,245.399994,240.399994,241.399994,232.903152,1579512
2019-03-18,240.399994,241.100006,238.399994,240.000000,231.552429,1270457
2019-03-19,240.000000,243.100006,240.000000,243.100006,234.543320,1160570
2019-03-20,242.500000,244.300003,240.699997,241.000000,232.517227,792395
2019-03-21,240.300003,243.800003,239.300003,243.100006,234.543320,573462
2019-03-22,244.500000,245.399994,239.699997,239.699997,231.262985,678640
2019-03-25,238.699997,242.899994,238.100006,242.600006,234.060913,471727
2019-03-26,242.000000,242.500000,238.800003,239.500000,231.070023,780201
2019-03-27,239.500000,239.500000,227.800003,230.399994,222.290314,2842101
2019-03-28,230.399994,237.899994,230.399994,236.000000,227.693222,1612587
2019-03-29,237.000000,239.899994,236.600006,238.899994,230.491135,1035863
2019-04-01,239.000000,242.300003,237.699997,242.149994,233.626755,1938651
2019-04-02,242.000000,243.100006,239.300003,242.199997,233.674988,841172
2019-04-03,242.199997,244.199997,241.699997,243.300003,234.736267,833407
2019-04-04,240.000000,241.199997,239.199997,240.300003,231.841873,730253
2019-04-05,239.600006,241.899994,238.699997,240.000000,231.552429,820893
2019-04-08,239.100006,240.600006,238.300003,240.000000,231.552429,844404
2019-04-09,240.000000,242.399994,237.300003,238.500000,230.105225,952215
2019-04-10,238.800003,241.300003,237.899994,240.399994,231.938339,1128203
2019-04-11,236.000000,237.500000,235.100006,235.500000,231.299942,846439
2019-04-12,235.399994,236.800003,234.899994,236.100006,231.889236,863609
2019-04-15,235.699997,238.000000,235.699997,238.000000,233.755356,668309
2019-04-16,236.800003,239.199997,236.600006,237.899994,233.657135,881985
2019-04-17,238.000000,243.899994,237.600006,242.000000,237.684006,1220053
2019-04-18,240.399994,240.899994,239.399994,239.800003,235.523254,490746
2019-04-23,248.000000,248.100006,244.399994,245.000000,240.630508,1680678
2019-04-24,245.199997,247.600006,243.600006,247.000000,242.594833,1095938
2019-04-25,246.500000,249.399994,244.899994,248.800003,244.362732,1398258
2019-04-26,250.899994,258.100006,236.600006,245.300003,240.925156,2091147
2019-04-29,245.000000,245.699997,234.899994,236.199997,231.987442,1728422
2019-04-30,237.199997,238.000000,232.500000,233.300003,229.139175,794527
2019-05-02,232.100006,235.699997,230.699997,235.500000,231.299942,1494845
2019-05-03,235.600006,238.899994,235.100006,237.199997,232.969620,1325175
2019-05-06,232.899994,234.000000,228.699997,234.000000,229.826691,1220935
2019-05-07,234.000000,235.399994,225.699997,228.300003,224.228348,1363906
2019-05-08,227.000000,230.100006,226.300003,229.399994,225.308716,815972
2019-05-09,227.100006,228.100006,224.500000,224.500000,220.496124,980003
2019-05-10,226.800003,229.199997,225.300003,226.500000,222.460449,703249
2019-05-13,226.100006,227.899994,220.500000,220.500000,216.567459,1081573
2019-05-14,223.000000,223.199997,220.399994,221.699997,217.746048,864756
2019-05-15,222.500000,223.899994,217.699997,221.300003,217.353195,791091
2019-05-16,220.600006,223.000000,217.399994,222.800003,218.826447,1095953
