Date,Open,High,Low,Close,Adj Close,Volume
2019-01-21,116.800003,116.900002,114.500000,115.300003,114.579376,190705
2019-01-22,115.000000,115.800003,110.599998,111.599998,110.902496,250125
2019-01-23,111.599998,112.500000,109.900002,110.800003,110.107498,204630
2019-01-24,112.599998,113.500000,108.400002,111.000000,110.306244,272385
2019-01-25,111.099998,111.800003,109.800003,110.300003,109.610626,245820
2019-01-28,110.300003,110.900002,107.400002,108.800003,108.120003,318820
2019-01-29,109.800003,113.800003,107.000000,112.699997,111.995621,422035
2019-01-30,113.099998,113.599998,110.000000,111.400002,110.703751,242725
2019-01-31,111.300003,111.500000,107.599998,108.400002,107.722496,416435
2019-02-01,108.400002,111.800003,108.400002,108.599998,107.921249,264900
2019-02-04,108.500000,113.699997,108.500000,113.199997,112.492493,265470
2019-02-05,113.599998,115.699997,113.199997,115.400002,114.678749,230275
2019-02-06,115.099998,118.400002,113.500000,118.400002,117.659996,420665
2019-02-07,118.300003,119.300003,116.900002,117.199997,116.467491,424655
2019-02-08,117.199997,119.099998,116.199997,118.199997,117.461243,257570
2019-02-11,119.000000,121.599998,118.599998,119.300003,118.554375,311295
2019-02-12,120.800003,120.800003,117.199997,118.199997,117.461243,428360
2019-02-13,118.300003,121.400002,118.199997,120.099998,119.349373,344410
2019-02-14,127.199997,137.399994,123.500000,128.399994,127.597488,3458775
2019-02-15,129.199997,136.399994,129.100006,136.199997,135.348740,1412130
2019-02-18,136.199997,137.199997,131.899994,134.399994,133.559998,817585
2019-02-19,134.399994,135.399994,132.600006,135.199997,134.354996,572620
2019-02-20,135.199997,136.399994,134.600006,135.699997,134.851868,270055
2019-02-21,136.199997,138.300003,134.500000,138.000000,137.137497,587860
2019-02-22,138.000000,140.399994,138.000000,139.100006,138.230621,596080
2019-02-25,139.100006,140.100006,136.300003,137.899994,137.038116,279015
2019-02-26,137.899994,141.600006,137.100006,139.800003,138.926254,514850
2019-02-27,138.399994,140.000000,138.300003,140.000000,139.125000,251310
2019-02-28,139.800003,139.800003,137.399994,137.899994,137.038116,445195
2019-03-01,139.500000,140.800003,137.699997,140.600006,139.721252,501990
2019-03-04,144.399994,147.600006,143.300003,144.000000,143.099991,895040
2019-03-05,144.000000,147.899994,144.000000,146.800003,145.882492,675290
2019-03-06,146.600006,148.899994,146.600006,147.500000,146.578125,646965
2019-03-07,147.100006,147.199997,142.300003,142.300003,141.410629,715395
2019-03-08,142.300003,143.300003,139.300003,140.000000,139.125000,555465
2019-03-11,139.800003,143.100006,139.300003,142.300003,141.410629,273960
2019-03-12,142.300003,143.000000,140.199997,141.500000,140.615616,320345
2019-03-13,141.399994,142.800003,136.899994,138.399994,137.534988,767815
