Date,Open,High,Low,Close,Adj Close,Volume
2019-07-26,1236.500000,1249.500000,1234.000000,1249.500000,1249.500000,109769
2019-07-29,1243.000000,1265.000000,1241.500000,1265.000000,1265.000000,187654
2019-07-30,1265.000000,1266.000000,1238.500000,1245.000000,1245.000000,155834
2019-07-31,1245.000000,1257.000000,1233.500000,1252.000000,1252.000000,207393
2019-08-01,1245.500000,1258.000000,1241.000000,1256.500000,1256.500000,151575
2019-08-02,1245.500000,1258.500000,1232.500000,1235.000000,1235.000000,143980
2019-08-05,1226.000000,1241.000000,1207.000000,1217.000000,1217.000000,168034
2019-08-06,1224.000000,1246.000000,1221.500000,1227.500000,1227.500000,163134
2019-08-07,1230.500000,1242.000000,1216.500000,1227.500000,1227.500000,173121
2019-08-08,1230.000000,1269.000000,1229.000000,1269.000000,1269.000000,220813
2019-08-09,1261.500000,1278.500000,1257.500000,1270.000000,1270.000000,136534
2019-08-12,1279.000000,1307.500000,1275.500000,1275.500000,1275.500000,220306
2019-08-13,1276.000000,1323.000000,1271.000000,1319.000000,1319.000000,307755
2019-08-14,1319.000000,1325.000000,1303.000000,1306.000000,1306.000000,185361
2019-08-15,1331.000000,1361.500000,1323.000000,1345.500000,1345.500000,428246
2019-08-16,1339.000000,1355.000000,1326.000000,1351.000000,1351.000000,223471
2019-08-19,1355.000000,1376.000000,1354.000000,1373.000000,1373.000000,172494
2019-08-20,1375.000000,1389.500000,1363.000000,1366.500000,1366.500000,136309
2019-08-21,1367.000000,1379.000000,1358.500000,1376.000000,1376.000000,140396
2019-08-22,1376.000000,1391.500000,1373.000000,1378.500000,1378.500000,116313
2019-08-23,1371.500000,1381.500000,1367.500000,1376.000000,1376.000000,109677
2019-08-26,1366.000000,1372.000000,1348.000000,1364.500000,1364.500000,103175
2019-08-27,1364.500000,1373.000000,1359.500000,1372.500000,1372.500000,195896
2019-08-28,1367.500000,1377.500000,1359.500000,1363.000000,1363.000000,104228
2019-08-29,1368.000000,1371.500000,1353.000000,1359.500000,1359.500000,105131
2019-08-30,1387.000000,1400.000000,1368.500000,1384.500000,1384.500000,259721
2019-09-02,1384.500000,1402.500000,1384.500000,1394.500000,1394.500000,90943
2019-09-03,1390.000000,1435.000000,1386.000000,1435.000000,1435.000000,221054
2019-09-04,1441.000000,1457.500000,1431.500000,1440.000000,1440.000000,197183
2019-09-05,1445.000000,1450.000000,1417.500000,1430.000000,1430.000000,192868
2019-09-06,1432.000000,1432.000000,1397.500000,1409.500000,1409.500000,140841
2019-09-09,1408.000000,1418.000000,1385.500000,1391.500000,1391.500000,117124
2019-09-10,1388.000000,1388.000000,1308.500000,1328.000000,1328.000000,349996
2019-09-11,1331.000000,1356.500000,1331.000000,1349.500000,1349.500000,233420
2019-09-12,1371.500000,1397.500000,1366.500000,1375.000000,1375.000000,219063
2019-09-13,1395.000000,1398.000000,1352.500000,1365.500000,1365.500000,369756
2019-09-16,1370.000000,1406.000000,1370.000000,1377.500000,1377.500000,212219
2019-09-17,1376.500000,1381.000000,1362.500000,1363.500000,1363.500000,140714
2019-09-18,1365.000000,1390.000000,1363.000000,1390.000000,1390.000000,151653
2019-09-19,1392.500000,1409.000000,1371.500000,1382.500000,1382.500000,179073
2019-09-20,1385.000000,1402.000000,1372.000000,1402.000000,1402.000000,296860
2019-09-23,1399.500000,1419.000000,1392.500000,1405.000000,1405.000000,163613
2019-09-24,1407.000000,1425.000000,1396.000000,1415.500000,1415.500000,186734
2019-09-25,1423.000000,1429.500000,1392.500000,1405.500000,1405.500000,134344
2019-09-26,1408.500000,1420.000000,1401.500000,1417.500000,1417.500000,141584
2019-09-27,1415.000000,1415.000000,1385.500000,1400.000000,1400.000000,261842
2019-09-30,1384.500000,1414.500000,1378.000000,1390.500000,1390.500000,228140
2019-10-01,1395.000000,1406.500000,1380.500000,1384.500000,1384.500000,137804
2019-10-02,1375.000000,1380.000000,1300.000000,1307.000000,1307.000000,333292
2019-10-03,1299.000000,1333.500000,1292.500000,1323.500000,1323.500000,211940
2019-10-04,1322.500000,1346.500000,1320.000000,1331.000000,1331.000000,146257
2019-10-07,1331.000000,1349.000000,1329.500000,1343.000000,1343.000000,144820
2019-10-08,1342.500000,1355.000000,1333.500000,1336.500000,1336.500000,90546
2019-10-09,1343.000000,1357.500000,1332.000000,1348.500000,1348.500000,103564
2019-10-10,1346.000000,1346.000000,1313.500000,1322.500000,1322.500000,179071
2019-10-11,1333.500000,1335.000000,1312.000000,1334.500000,1334.500000,160120
2019-10-14,1326.000000,1358.500000,1322.500000,1346.000000,1346.000000,110493
2019-10-15,1346.000000,1395.000000,1345.000000,1390.500000,1390.500000,236389
2019-10-16,1391.500000,1402.500000,1376.000000,1391.500000,1391.500000,152635
2019-10-17,1390.000000,1417.000000,1377.000000,1410.000000,1410.000000,156642
2019-10-18,1411.000000,1419.500000,1393.000000,1409.500000,1409.500000,155830
2019-10-21,1407.000000,1414.500000,1383.000000,1386.000000,1386.000000,155245
2019-10-22,1390.500000,1433.000000,1390.500000,1430.000000,1430.000000,184224
2019-10-23,1415.000000,1426.000000,1392.000000,1406.500000,1406.500000,199321
2019-10-24,1407.500000,1420.000000,1403.500000,1420.000000,1420.000000,93791
2019-10-25,1420.000000,1429.500000,1414.000000,1424.000000,1424.000000,101430
2019-10-28,1423.000000,1435.000000,1417.500000,1435.000000,1435.000000,101967
2019-10-29,1434.500000,1439.000000,1423.500000,1439.000000,1439.000000,92219
2019-10-30,1438.500000,1455.000000,1436.500000,1455.000000,1455.000000,135274
2019-10-31,1445.000000,1460.000000,1426.000000,1460.000000,1460.000000,202105
2019-11-01,1458.000000,1481.500000,1458.000000,1481.500000,1481.500000,94478
2019-11-04,1475.500000,1490.000000,1458.000000,1481.000000,1481.000000,207946
2019-11-05,1483.000000,1488.500000,1449.500000,1457.000000,1457.000000,202570
2019-11-06,1456.000000,1478.000000,1443.000000,1461.500000,1461.500000,140373
2019-11-07,1484.000000,1506.000000,1479.000000,1500.000000,1500.000000,366842
2019-11-08,1498.000000,1500.000000,1467.500000,1498.000000,1498.000000,234417
2019-11-11,1488.500000,1516.000000,1486.500000,1504.000000,1504.000000,207332
2019-11-12,1503.500000,1503.500000,1486.000000,1491.500000,1491.500000,127231
2019-11-13,1490.000000,1515.000000,1482.000000,1508.000000,1508.000000,224484
2019-11-14,1508.000000,1517.000000,1483.500000,1490.500000,1490.500000,180738
2019-11-15,1490.000000,1506.500000,1485.500000,1506.500000,1506.500000,176441
2019-11-18,1507.000000,1531.500000,1504.000000,1530.000000,1530.000000,218473
2019-11-19,1532.000000,1532.000000,1507.500000,1508.500000,1508.500000,147879
2019-11-20,1520.000000,1530.000000,1508.500000,1512.500000,1512.500000,212321
2019-11-21,1503.500000,1521.000000,1495.000000,1516.000000,1516.000000,154424
2019-11-22,1516.500000,1529.500000,1511.000000,1528.500000,1528.500000,164689
2019-11-25,1530.000000,1573.500000,1529.000000,1565.500000,1565.500000,229755
2019-11-26,1578.000000,1602.000000,1571.500000,1595.500000,1595.500000,420747
2019-11-27,1596.000000,1600.500000,1579.000000,1590.000000,1590.000000,131326
2019-11-28,1598.500000,1599.000000,1579.000000,1581.000000,1581.000000,111772
2019-11-29,1578.000000,1596.500000,1574.000000,1580.000000,1580.000000,156620
2019-12-02,1592.500000,1603.000000,1579.000000,1579.000000,1579.000000,225180
2019-12-03,1583.000000,1602.000000,1583.000000,1594.000000,1594.000000,151416
2019-12-04,1594.000000,1628.000000,1594.000000,1620.000000,1620.000000,177234
2019-12-05,1628.500000,1633.500000,1613.000000,1615.000000,1615.000000,123997
2019-12-06,1619.500000,1621.500000,1606.000000,1615.000000,1615.000000,115213
2019-12-09,1595.000000,1603.500000,1560.000000,1582.000000,1582.000000,256963
2019-12-10,1597.500000,1603.000000,1575.000000,1577.500000,1577.500000,214738
2019-12-11,1566.000000,1576.000000,1542.500000,1545.000000,1545.000000,233395
2019-12-12,1530.000000,1547.500000,1472.500000,1474.500000,1474.500000,338421
2019-12-13,1491.500000,1497.500000,1455.500000,1469.000000,1469.000000,305843
2019-12-16,1483.500000,1504.000000,1482.000000,1503.000000,1503.000000,182062
2019-12-17,1499.000000,1502.500000,1485.000000,1490.500000,1490.500000,222765
2019-12-18,1492.000000,1502.000000,1459.500000,1459.500000,1459.500000,185454
2019-12-19,1469.000000,1473.500000,1452.000000,1466.500000,1466.500000,172897
2019-12-20,1464.000000,1473.500000,1456.000000,1460.500000,1460.500000,211879
2019-12-23,1463.500000,1470.000000,1458.000000,1464.500000,1464.500000,107952
2019-12-27,1473.500000,1498.000000,1464.500000,1488.000000,1488.000000,149411
2019-12-30,1483.500000,1495.500000,1475.500000,1481.500000,1481.500000,127254
2020-01-02,1489.000000,1504.000000,1480.000000,1486.500000,1486.500000,188185
2020-01-03,1483.000000,1487.500000,1434.500000,1444.500000,1444.500000,221510
2020-01-06,1443.500000,1453.500000,1412.000000,1419.500000,1419.500000,164027
2020-01-07,1425.000000,1468.000000,1425.000000,1456.000000,1456.000000,174793
2020-01-08,1454.500000,1472.500000,1444.000000,1466.500000,1466.500000,124425
2020-01-09,1480.000000,1515.000000,1476.500000,1515.000000,1515.000000,168090
2020-01-10,1511.000000,1518.500000,1494.000000,1517.000000,1517.000000,144338
2020-01-13,1520.000000,1529.000000,1504.500000,1508.000000,1508.000000,160077
2020-01-14,1510.000000,1520.000000,1489.000000,1496.000000,1496.000000,205374
2020-01-15,1499.500000,1534.500000,1495.000000,1534.500000,1534.500000,222238
2020-01-16,1542.000000,1548.000000,1518.500000,1528.500000,1528.500000,55399
