Date,Open,High,Low,Close,Adj Close,Volume
2019-01-16,183.039993,188.100006,180.360001,187.880005,181.964935,305546
2019-01-17,187.860001,189.880005,185.440002,189.839996,183.863220,668687
2019-01-18,189.899994,193.160004,189.320007,192.440002,186.381363,199575
2019-01-21,193.000000,193.199997,190.100006,191.080002,185.064178,61778
2019-01-22,190.000000,192.460007,190.000000,190.399994,184.405594,163835
2019-01-23,190.800003,192.259995,189.539993,191.440002,185.412857,129318
2019-01-24,192.000000,192.699997,189.759995,191.899994,185.858368,174005
2019-01-25,195.000000,195.979996,193.000000,195.979996,189.809906,178734
2019-01-28,196.000000,196.000000,193.419998,194.479996,188.357132,198772
2019-01-29,194.639999,198.520004,194.000000,197.800003,191.572617,235685
2019-01-30,197.800003,201.100006,196.800003,200.550003,194.236038,188344
2019-01-31,201.000000,201.949997,192.000000,193.559998,187.466110,489250
2019-02-01,193.559998,193.800003,188.500000,189.800003,183.824478,312546
2019-02-04,190.220001,190.899994,189.119995,190.500000,184.502441,225712
2019-02-05,191.220001,192.500000,189.000000,190.059998,184.076294,183022
2019-02-06,190.000000,191.380005,188.520004,190.660004,184.657410,237393
2019-02-07,190.500000,190.580002,186.020004,186.179993,180.318451,233587
2019-02-08,185.000000,187.039993,184.000000,184.800003,178.981903,137536
2019-02-11,185.500000,186.660004,184.639999,185.639999,179.795456,174113
2019-02-12,186.000000,187.720001,186.000000,187.639999,181.732483,113595
2019-02-13,187.639999,189.179993,185.360001,187.020004,181.132004,196912
2019-02-14,187.880005,189.759995,186.080002,186.800003,180.918930,136134
2019-02-15,187.000000,189.500000,186.000000,187.600006,181.693756,173982
2019-02-18,188.000000,188.699997,186.500000,187.559998,181.654999,197941
2019-02-19,188.000000,189.479996,186.839996,188.220001,182.294220,112528
2019-02-20,188.220001,194.479996,188.020004,193.520004,187.427368,189213
2019-02-21,193.979996,194.199997,191.720001,193.000000,186.923737,250881
2019-02-22,194.320007,196.960007,193.759995,194.899994,188.763916,144937
2019-02-25,196.199997,196.940002,194.619995,196.000000,189.829285,132029
2019-02-26,196.279999,197.779999,195.600006,197.520004,191.301437,102641
2019-02-27,197.860001,198.740005,196.279999,198.059998,191.824432,155784
2019-02-28,196.919998,197.960007,192.339996,195.199997,189.054474,240565
2019-03-01,195.199997,197.779999,193.179993,197.460007,191.243332,264119
2019-03-04,198.600006,199.860001,196.759995,199.600006,193.315948,141020
2019-03-05,200.000000,200.300003,194.339996,196.539993,190.352280,285709
2019-03-06,198.000000,198.000000,195.279999,197.279999,191.068985,179673
2019-03-07,196.600006,196.600006,192.399994,192.979996,186.904358,147329
2019-03-08,192.000000,194.460007,190.619995,194.460007,188.337784,153604
2019-03-11,195.039993,195.279999,192.679993,193.960007,187.853516,137088
2019-03-12,193.979996,196.259995,193.639999,194.720001,188.589584,188880
2019-03-13,194.500000,194.839996,193.240005,194.559998,188.434616,168408
2019-03-14,194.559998,197.139999,194.080002,196.160004,189.984253,187919
2019-03-15,196.000000,198.179993,195.500000,197.119995,190.914017,235054
2019-03-18,198.000000,200.649994,198.000000,199.940002,193.645248,181150
2019-03-19,201.149994,204.500000,199.960007,202.800003,196.415207,198978
