Date,Open,High,Low,Close,Adj Close,Volume
2019-01-21,145.800003,146.100006,145.199997,145.800003,139.090652,319876
2019-01-22,145.699997,149.600006,145.699997,148.500000,141.666397,253608
2019-01-23,149.000000,150.000000,147.600006,148.000000,141.189407,198770
2019-01-24,148.199997,149.000000,147.000000,147.800003,140.998627,283533
2019-01-25,147.800003,149.000000,147.000000,147.600006,140.807831,99336
2019-01-28,147.600006,148.500000,147.000000,147.000000,140.235428,109995
2019-01-29,147.500000,148.899994,147.500000,148.000000,141.189407,190167
2019-01-30,148.100006,150.800003,148.100006,150.699997,143.765152,229429
2019-01-31,150.800003,152.000000,149.600006,150.199997,143.288162,301655
2019-02-01,151.000000,151.500000,149.899994,150.699997,143.765152,199614
2019-02-04,151.399994,152.100006,149.899994,152.100006,145.100739,255689
2019-02-05,152.300003,153.500000,151.100006,153.199997,146.150116,276468
2019-02-06,154.300003,154.300003,151.500000,152.000000,145.005341,385509
2019-02-07,151.899994,153.000000,150.000000,150.000000,143.097382,187219
2019-02-08,150.000000,150.899994,149.000000,149.500000,142.620392,205318
2019-02-11,150.100006,150.899994,149.199997,149.399994,142.524979,134132
2019-02-12,150.000000,150.100006,146.199997,146.500000,139.758438,400087
2019-02-13,146.699997,146.899994,145.800003,146.100006,139.376846,230252
2019-02-14,148.000000,149.800003,146.100006,149.300003,142.429596,350119
2019-02-15,149.300003,152.100006,148.300003,152.100006,145.100739,340431
2019-02-18,152.100006,152.199997,150.000000,151.699997,144.719147,206816
2019-02-19,151.699997,152.500000,150.899994,152.100006,145.100739,212935
2019-02-20,152.000000,152.600006,151.000000,151.899994,144.909927,143620
2019-02-21,151.500000,152.500000,150.600006,151.699997,144.719147,179492
2019-02-22,151.500000,153.000000,150.800003,153.000000,145.959320,213313
2019-02-25,152.800003,153.699997,148.899994,149.800003,142.906586,153578
2019-02-26,149.699997,152.199997,149.399994,151.199997,144.242157,151978
2019-02-27,151.300003,151.399994,150.100006,150.600006,143.669769,142246
2019-02-28,150.600006,150.899994,148.300003,149.199997,142.334183,286616
2019-03-01,149.199997,149.500000,146.600006,146.699997,139.949219,299238
2019-03-04,146.000000,148.199997,146.000000,148.000000,141.189407,248105
2019-03-05,148.500000,150.899994,148.300003,150.399994,143.478958,167173
2019-03-06,150.300003,150.800003,149.100006,149.100006,142.238800,124348
2019-03-07,149.100006,149.600006,148.300003,149.600006,142.715790,143058
2019-03-08,149.000000,151.399994,148.899994,150.000000,143.097382,222481
2019-03-11,150.699997,153.100006,150.699997,152.399994,145.386917,217321
2019-03-12,153.399994,157.100006,153.300003,156.199997,149.012070,327489
2019-03-13,156.699997,157.399994,155.000000,156.699997,149.489059,223816
2019-03-14,157.000000,159.699997,157.000000,159.199997,151.874023,218098
2019-03-15,159.100006,161.100006,158.699997,160.600006,153.209595,379152
2019-03-18,160.600006,162.300003,158.800003,159.500000,152.160202,159210
2019-03-19,160.000000,160.399994,158.600006,160.399994,153.018799,185981
2019-03-20,160.199997,161.300003,159.899994,160.399994,153.018799,252547
2019-03-21,160.600006,161.199997,159.199997,160.399994,153.018799,235500
2019-03-22,157.800003,157.899994,155.199997,156.600006,152.921158,230462
2019-03-25,156.600006,157.600006,155.699997,157.300003,153.604706,191609
2019-03-26,157.399994,158.399994,157.000000,157.500000,153.800003,237786
2019-03-27,157.500000,158.800003,156.100006,158.800003,158.800003,285855
2019-03-28,158.800003,160.199997,158.199997,160.100006,160.100006,171219
2019-03-29,160.100006,162.399994,158.699997,161.300003,161.300003,353420
2019-04-01,161.899994,161.899994,160.199997,161.000000,161.000000,249568
2019-04-02,160.899994,162.000000,160.300003,162.000000,162.000000,307573
2019-04-03,162.000000,163.000000,161.199997,162.699997,162.699997,225709
2019-04-04,162.000000,162.899994,161.500000,162.100006,162.100006,198355
2019-04-05,161.899994,161.899994,159.600006,161.100006,161.100006,368994
2019-04-08,161.600006,162.300003,160.600006,160.800003,160.800003,354418
2019-04-09,160.899994,161.800003,159.600006,160.399994,160.399994,196544
2019-04-10,160.199997,163.500000,160.100006,162.699997,162.699997,527159
2019-04-11,162.899994,163.300003,161.800003,162.399994,162.399994,168514
2019-04-12,163.000000,163.199997,159.800003,161.199997,161.199997,136891
2019-04-15,161.199997,162.399994,160.699997,162.399994,162.399994,172676
2019-04-16,162.899994,163.600006,162.100006,162.899994,162.899994,140685
2019-04-17,163.100006,163.100006,159.300003,160.000000,160.000000,156882
2019-04-18,160.399994,160.899994,159.399994,159.699997,159.699997,56761
2019-04-23,159.699997,160.500000,158.600006,160.500000,160.500000,222303
2019-04-24,160.500000,162.199997,159.800003,162.100006,162.100006,147146
