Date,Open,High,Low,Close,Adj Close,Volume
2019-01-16,69.000000,70.400002,69.000000,70.199997,68.107391,10504
2019-01-17,70.599998,71.000000,69.599998,70.599998,68.495468,10057
2019-01-18,70.599998,70.599998,69.599998,69.599998,67.525276,14072
2019-01-21,70.599998,71.800003,70.599998,71.800003,69.659698,12900
2019-01-22,71.599998,72.000000,70.199997,70.599998,68.495468,5368
2019-01-23,70.000000,70.199997,69.400002,69.599998,67.525276,6565
2019-01-24,69.599998,69.599998,68.400002,69.000000,66.943161,4897
2019-01-25,69.800003,70.599998,69.199997,69.199997,67.137199,10330
2019-01-28,69.800003,69.800003,69.400002,69.400002,67.331238,3368
2019-01-29,70.000000,70.400002,69.000000,69.000000,66.943161,3711
2019-01-30,70.000000,71.000000,69.199997,70.800003,68.689514,4095
2019-01-31,70.800003,70.800003,68.599998,70.400002,68.301430,7651
2019-02-01,70.400002,70.800003,69.599998,70.400002,68.301430,8086
2019-02-04,70.400002,72.800003,70.400002,72.800003,70.629890,11911
2019-02-05,72.400002,72.400002,68.599998,70.199997,68.107391,34818
2019-02-06,71.800003,73.599998,71.000000,73.400002,71.212006,39977
2019-02-07,73.400002,73.400002,70.400002,72.000000,69.853737,11288
2019-02-08,71.000000,73.000000,70.400002,73.000000,70.823921,11907
2019-02-11,73.000000,75.800003,72.599998,75.400002,73.152390,30594
2019-02-12,75.599998,75.599998,74.599998,74.599998,72.376228,5687
2019-02-13,75.400002,76.199997,74.599998,74.599998,72.376228,6290
2019-02-14,75.000000,75.400002,73.000000,74.000000,71.794113,6631
2019-02-15,74.000000,75.400002,73.599998,73.800003,71.600082,4266
2019-02-18,75.199997,77.000000,74.599998,77.000000,74.704681,13730
2019-02-19,76.599998,76.599998,75.000000,75.400002,73.152390,9319
2019-02-20,75.400002,76.199997,74.800003,74.800003,72.570274,5159
2019-02-21,75.199997,77.000000,74.599998,77.000000,74.704681,6802
2019-02-22,76.400002,77.400002,75.800003,76.400002,74.122574,19416
2019-02-25,76.800003,77.599998,75.800003,76.000000,73.734497,10064
2019-02-26,75.400002,76.400002,75.199997,75.199997,72.958344,13823
2019-02-27,76.599998,76.599998,74.400002,74.400002,72.182190,2172
2019-02-28,75.400002,75.400002,74.400002,75.199997,72.958344,3628
2019-03-01,75.599998,76.199997,75.199997,75.599998,73.346420,5154
2019-03-04,76.000000,76.800003,76.000000,76.400002,74.122574,8405
2019-03-05,76.599998,77.800003,76.199997,77.400002,75.092766,10024
2019-03-06,77.400002,77.400002,76.000000,76.400002,74.122574,7318
2019-03-07,76.000000,76.000000,73.800003,74.199997,71.988152,8375
2019-03-08,74.199997,74.599998,73.400002,74.199997,71.988152,10600
2019-03-11,74.400002,75.000000,74.000000,74.599998,72.376228,5852
2019-03-12,74.599998,75.599998,74.599998,75.599998,73.346420,15371
2019-03-13,75.599998,75.599998,73.800003,74.000000,71.794113,16237
2019-03-14,73.800003,74.599998,73.800003,74.000000,71.794113,5571
2019-03-15,73.400002,74.800003,73.400002,74.000000,71.794113,7285
2019-03-18,74.000000,74.199997,73.199997,74.000000,71.794113,7292
2019-03-19,74.000000,74.800003,73.599998,74.599998,72.376228,11737
2019-03-20,74.000000,77.800003,73.800003,76.599998,74.316612,18913
2019-03-21,76.199997,76.199997,74.400002,76.000000,73.734497,7484
2019-03-22,75.199997,75.199997,74.199997,75.000000,72.764305,9289
2019-03-25,75.000000,75.400002,74.000000,74.199997,71.988152,5337
2019-03-26,74.800003,75.199997,74.400002,75.199997,72.958344,2127
2019-03-27,75.000000,75.400002,73.800003,73.800003,71.600082,22333
2019-03-28,74.000000,75.800003,74.000000,75.400002,73.152390,13546
2019-03-29,75.000000,76.199997,74.400002,76.000000,73.734497,4134
2019-04-01,75.800003,78.599998,75.800003,78.599998,76.256989,23085
2019-04-02,78.400002,79.000000,77.599998,78.800003,76.451035,16232
2019-04-03,79.000000,80.800003,79.000000,80.800003,78.391418,15366
2019-04-04,80.800003,81.400002,80.400002,81.000000,78.585449,18816
2019-04-05,81.000000,81.000000,80.199997,80.599998,78.197372,7167
2019-04-08,80.800003,81.000000,79.800003,81.000000,78.585449,7962
2019-04-09,81.000000,81.000000,79.199997,79.800003,77.421227,11507
2019-04-10,79.000000,80.400002,79.000000,80.199997,78.547523,8607
2019-04-11,80.000000,80.800003,79.800003,80.800003,79.135170,12418
2019-04-12,80.000000,82.000000,80.000000,82.000000,80.310440,9060
2019-04-15,82.199997,82.199997,81.000000,81.800003,80.114563,7383
2019-04-16,81.800003,82.400002,81.199997,82.400002,80.702202,5416
2019-04-17,82.599998,84.000000,82.599998,83.800003,82.073357,7572
2019-04-18,83.000000,84.599998,83.000000,84.599998,82.856865,13981
2019-04-23,84.800003,85.400002,83.400002,85.400002,83.640388,14981
2019-04-24,88.599998,89.199997,86.599998,88.800003,86.970337,41724
2019-04-25,89.000000,90.000000,88.199997,89.400002,87.557968,15606
2019-04-26,90.000000,91.599998,88.400002,89.800003,87.949730,16967
2019-04-29,89.599998,89.800003,87.599998,88.800003,86.970337,11332
2019-04-30,88.599998,88.599998,86.800003,87.400002,85.599182,7968
2019-05-02,87.199997,87.199997,85.599998,86.599998,84.815659,15532
2019-05-03,86.599998,87.800003,86.199997,87.400002,85.599182,20894
2019-05-06,87.199997,87.199997,85.800003,87.000000,85.207420,21797
2019-05-07,86.800003,87.800003,86.199997,86.599998,84.815659,6447
2019-05-08,86.400002,87.199997,86.000000,86.400002,84.619781,10763
2019-05-09,86.000000,86.400002,85.199997,85.199997,83.444504,10379
2019-05-10,85.000000,86.800003,85.000000,85.599998,83.836266,4899
2019-05-13,85.800003,85.800003,83.199997,83.599998,81.877472,7510
2019-05-14,84.199997,85.400002,84.000000,85.000000,83.248627,5288
2019-05-15,85.000000,85.000000,84.000000,84.800003,83.052750,3989
