Date,Open,High,Low,Close,Adj Close,Volume
2019-01-15,324.000000,326.000000,323.100006,325.000000,314.586243,245791
2019-01-16,325.000000,327.000000,324.100006,325.899994,315.457397,307176
2019-01-17,325.000000,326.399994,323.899994,325.399994,314.973419,299846
2019-01-18,326.299988,326.500000,322.100006,325.399994,314.973419,448047
2019-01-21,323.700012,323.700012,316.600006,318.500000,308.294525,509935
2019-01-22,318.500000,322.700012,318.500000,319.299988,309.068878,344974
2019-01-23,319.299988,320.000000,316.000000,318.799988,308.584900,243557
2019-01-24,318.299988,320.000000,316.399994,320.000000,309.746460,338135
2019-01-25,320.000000,323.200012,316.299988,316.899994,306.745789,422788
2019-01-28,316.899994,318.399994,316.399994,317.399994,307.229767,190968
2019-01-29,318.700012,320.500000,316.799988,320.200012,309.940063,241309
2019-01-30,320.200012,320.899994,318.100006,319.299988,309.068878,311392
2019-01-31,317.000000,320.000000,317.000000,318.000000,307.810547,383674
2019-02-01,319.600006,321.500000,317.899994,318.899994,308.681702,273397
2019-02-04,319.000000,320.600006,318.600006,320.100006,309.843262,270324
2019-02-05,320.000000,321.100006,318.600006,320.399994,310.133636,396295
2019-02-06,320.399994,324.000000,317.000000,321.600006,311.295197,673635
2019-02-07,330.000000,347.700012,330.000000,333.100006,322.426697,1388046
2019-02-08,333.100006,352.000000,333.100006,351.200012,339.946747,1277885
2019-02-11,350.200012,350.200012,346.000000,348.299988,337.139648,451464
2019-02-12,347.799988,350.500000,347.100006,350.100006,338.881989,375413
2019-02-13,349.899994,352.000000,348.899994,349.799988,338.591583,358672
2019-02-14,349.799988,351.000000,347.000000,350.500000,339.269165,376035
2019-02-15,349.600006,351.399994,348.000000,351.299988,340.043518,371320
2019-02-18,351.000000,353.600006,349.299988,351.600006,340.333923,267483
2019-02-19,351.000000,355.299988,350.799988,355.000000,343.624969,312276
2019-02-20,354.500000,359.500000,352.799988,359.000000,347.496796,419162
2019-02-21,359.000000,362.799988,358.899994,361.200012,349.626312,456827
2019-02-22,362.000000,362.200012,354.799988,358.600006,347.109619,448740
2019-02-25,358.700012,360.299988,356.399994,358.500000,347.012817,266828
2019-02-26,354.799988,357.600006,353.399994,354.000000,342.657013,451066
2019-02-27,354.500000,356.000000,352.600006,355.000000,343.624969,238163
2019-02-28,354.899994,356.200012,352.799988,355.000000,343.624969,420264
2019-03-01,355.000000,357.500000,353.200012,356.399994,344.980103,321539
2019-03-04,356.399994,358.100006,353.500000,357.700012,346.238464,246412
2019-03-05,358.000000,358.000000,354.600006,356.500000,345.076904,278617
2019-03-06,355.299988,357.600006,354.899994,356.600006,345.173706,268371
2019-03-07,357.000000,357.600006,353.100006,353.799988,342.463409,276777
2019-03-08,353.700012,358.500000,353.700012,354.700012,343.334595,270084
2019-03-11,354.700012,357.000000,353.399994,354.799988,343.431366,228769
2019-03-12,354.399994,358.600006,354.399994,356.799988,345.367279,215936
2019-03-13,356.799988,356.799988,353.500000,356.000000,344.592926,248838
