Date,Open,High,Low,Close,Adj Close,Volume
2019-01-17,221.600006,227.000000,221.600006,227.000000,223.338715,578497
2019-01-18,227.399994,231.800003,227.399994,231.800003,228.061295,342370
2019-01-21,231.800003,233.399994,229.800003,230.800003,227.077423,120656
2019-01-22,228.600006,231.600006,227.399994,227.600006,223.929047,143637
2019-01-23,226.199997,226.600006,222.800003,223.600006,219.993561,251212
2019-01-24,225.000000,225.000000,221.000000,223.000000,219.403229,130738
2019-01-25,222.800003,226.000000,222.800003,223.399994,219.796768,192453
2019-01-28,223.800003,226.000000,222.000000,222.600006,219.009689,78420
2019-01-29,223.800003,227.199997,221.800003,226.000000,222.354843,220307
2019-01-30,226.000000,229.600006,225.199997,225.199997,221.567749,227641
2019-01-31,226.800003,231.199997,226.000000,227.199997,223.535492,165368
2019-02-01,228.800003,230.199997,225.399994,227.000000,223.338715,172121
2019-02-04,228.399994,230.199997,225.800003,230.199997,226.487091,151430
2019-02-05,231.000000,233.399994,231.000000,232.000000,228.258072,364260
2019-02-06,233.000000,236.000000,232.600006,235.399994,231.603226,75699
2019-02-07,235.399994,237.600006,232.399994,233.800003,230.029037,206753
2019-02-08,233.000000,233.600006,230.000000,231.000000,227.274200,84831
2019-02-11,231.199997,234.600006,230.399994,234.600006,230.816132,121037
2019-02-12,236.399994,237.399994,234.399994,237.199997,233.374191,430665
2019-02-13,251.600006,264.000000,250.600006,256.000000,251.870972,590109
2019-02-14,260.200012,264.799988,258.600006,262.399994,258.167755,495664
2019-02-15,262.399994,264.399994,260.000000,262.399994,258.167755,255680
2019-02-18,264.000000,265.799988,260.000000,265.000000,260.725800,284195
2019-02-19,264.000000,267.000000,263.200012,264.600006,260.332275,191606
2019-02-20,265.000000,268.799988,265.000000,267.399994,263.087097,187082
2019-02-21,269.000000,269.000000,263.399994,264.799988,260.529022,192017
2019-02-22,263.399994,269.600006,263.399994,269.399994,265.054840,191801
2019-02-25,269.399994,271.200012,265.799988,266.600006,262.300018,200495
2019-02-26,266.200012,269.399994,264.399994,267.600006,263.283875,157496
2019-02-27,265.000000,268.000000,263.399994,264.200012,259.938721,175277
2019-02-28,263.600006,263.600006,261.000000,263.200012,258.954865,180231
2019-03-01,263.000000,265.000000,260.799988,261.799988,257.577423,220444
2019-03-04,264.200012,273.600006,262.600006,269.200012,264.858093,296897
2019-03-05,269.200012,270.000000,263.200012,268.799988,264.464508,191786
2019-03-06,269.399994,269.399994,265.600006,266.200012,261.906464,89309
2019-03-07,266.000000,266.000000,260.399994,264.000000,259.741943,149240
2019-03-08,263.399994,263.399994,255.399994,257.799988,253.641922,255000
2019-03-11,257.600006,260.399994,255.199997,259.399994,255.216125,276730
2019-03-12,261.799988,264.399994,260.200012,263.000000,258.758057,138588
2019-03-13,263.799988,266.200012,262.399994,266.000000,261.709686,107998
2019-03-14,266.000000,269.799988,264.600006,269.399994,265.054840,363082
2019-03-15,269.399994,274.399994,267.600006,274.399994,269.974182,372305
2019-03-18,275.000000,276.399994,271.000000,273.200012,268.793579,163522
2019-03-19,274.000000,277.000000,273.399994,277.000000,272.532257,245188
2019-03-20,277.000000,277.600006,274.200012,275.600006,271.154846,211504
2019-03-21,275.600006,275.600006,270.000000,271.799988,267.416107,81688
2019-03-22,273.200012,273.399994,264.000000,264.000000,259.741943,174171
2019-03-25,263.600006,265.000000,261.600006,263.000000,258.758057,137332
2019-03-26,264.000000,264.600006,261.799988,263.600006,259.348389,144400
2019-03-27,264.799988,265.000000,261.399994,262.799988,258.561279,119942
2019-03-28,263.799988,267.399994,263.600006,266.000000,261.709686,94565
2019-03-29,267.200012,267.799988,263.000000,264.600006,260.332275,178072
2019-04-01,266.000000,269.799988,264.399994,268.799988,264.464508,233567
2019-04-02,267.000000,271.200012,265.799988,270.600006,266.235504,292994
2019-04-03,272.799988,279.200012,272.799988,279.200012,274.696777,294978
2019-04-04,278.399994,278.600006,274.799988,275.200012,270.761292,86754
2019-04-05,276.600006,281.799988,276.600006,279.200012,274.696777,563123
2019-04-08,279.600006,283.200012,278.200012,282.399994,277.845154,290665
2019-04-09,282.399994,284.399994,281.000000,284.200012,279.616150,367805
2019-04-10,284.200012,284.200012,278.399994,279.000000,274.500000,472432
2019-04-11,280.799988,281.799988,280.000000,281.600006,277.058075,223699
2019-04-12,280.600006,282.000000,277.600006,281.799988,277.254822,216588
2019-04-15,281.799988,282.799988,277.799988,280.799988,276.270966,166501
2019-04-16,281.799988,283.399994,281.200012,283.200012,278.632263,118317
