Date,Open,High,Low,Close,Adj Close,Volume
2019-01-21,401.000000,402.000000,398.500000,401.200012,389.958557,621590
2019-01-22,399.000000,402.399994,398.299988,399.700012,388.500580,621471
2019-01-23,399.000000,401.000000,396.200012,400.299988,389.083740,866687
2019-01-24,395.000000,400.299988,395.000000,399.700012,388.500580,814880
2019-01-25,401.299988,404.700012,398.500000,398.500000,387.334198,1291963
2019-01-28,398.299988,398.299988,389.399994,390.200012,379.266754,1553796
2019-01-29,390.500000,395.399994,388.799988,393.899994,382.863068,1289391
2019-01-30,395.000000,397.299988,392.700012,397.000000,385.876221,712388
2019-01-31,398.000000,401.600006,394.899994,397.100006,385.973419,1342830
2019-02-01,398.000000,402.500000,397.299988,402.500000,391.222107,1085605
2019-02-04,402.500000,404.799988,400.500000,403.799988,392.485657,808366
2019-02-05,404.299988,407.700012,404.299988,407.100006,395.693237,908755
2019-02-06,406.600006,410.200012,405.700012,408.399994,396.956787,1180095
2019-02-07,407.299988,410.399994,403.100006,403.100006,391.805328,1119046
2019-02-08,403.000000,403.500000,400.700012,401.899994,390.638916,871476
2019-02-11,402.899994,408.700012,402.899994,407.500000,396.082001,1012494
2019-02-12,409.100006,410.100006,407.200012,408.500000,397.053986,1056025
2019-02-13,410.000000,411.600006,406.200012,411.399994,399.872711,1257787
2019-02-14,412.500000,413.399994,406.100006,408.000000,396.567993,1301223
2019-02-15,406.899994,413.799988,405.200012,412.000000,400.455933,1748882
2019-02-18,412.000000,413.899994,410.299988,412.700012,401.136322,823267
2019-02-19,413.500000,416.000000,411.799988,414.700012,403.080261,852741
2019-02-20,415.000000,419.899994,413.600006,419.399994,407.648560,1044413
2019-02-21,419.000000,422.600006,418.000000,418.000000,406.287781,1263159
2019-02-22,418.000000,421.700012,418.000000,419.000000,407.259796,1000764
2019-02-25,420.100006,421.799988,413.299988,415.200012,403.566284,950527
2019-02-26,413.399994,414.700012,412.100006,414.000000,402.399872,1133235
2019-02-27,414.000000,414.000000,408.299988,409.899994,398.414764,1037459
2019-02-28,409.399994,412.500000,406.299988,412.500000,400.941895,1147816
2019-03-01,414.000000,414.899994,410.000000,411.899994,400.358734,701314
2019-03-04,414.000000,418.799988,414.000000,417.500000,405.801819,868538
2019-03-05,417.000000,417.700012,413.700012,416.700012,405.024261,846166
2019-03-06,417.899994,417.899994,410.500000,410.600006,399.095154,1188786
2019-03-07,410.799988,412.200012,406.299988,407.899994,396.470795,827367
2019-03-08,405.000000,406.500000,404.299988,406.299988,394.915619,803191
2019-03-11,407.000000,409.700012,407.000000,407.899994,396.470795,650602
2019-03-12,409.100006,410.500000,407.100006,408.799988,397.345581,908754
2019-03-13,408.799988,411.600006,407.799988,409.899994,398.414764,896847
2019-03-14,409.899994,415.200012,409.700012,414.899994,403.274658,1077175
2019-03-15,415.700012,419.399994,413.299988,417.899994,406.190582,1835413
2019-03-18,417.899994,420.600006,417.299988,420.100006,408.328979,885285
2019-03-19,420.100006,426.100006,419.500000,422.399994,410.564514,954199
2019-03-20,422.000000,424.500000,421.000000,421.899994,410.078522,735079
2019-03-21,422.100006,423.700012,418.500000,419.799988,408.037354,889912
2019-03-22,421.299988,422.700012,415.799988,416.000000,404.343842,1025634
2019-03-25,415.500000,416.399994,412.000000,415.000000,403.371887,813234
2019-03-26,416.000000,416.000000,411.399994,413.200012,401.622284,1248073
2019-03-27,414.500000,420.200012,413.500000,416.500000,404.829834,1016549
2019-03-28,416.799988,421.299988,416.200012,418.700012,406.968201,1138134
2019-03-29,420.000000,421.700012,416.600006,418.700012,406.968201,1121126
2019-04-01,420.399994,428.450012,420.049988,427.850006,415.861816,1402834
2019-04-02,427.799988,432.399994,426.200012,430.000000,417.951569,804271
2019-04-03,431.299988,434.799988,431.299988,434.799988,422.617065,1167462
2019-04-04,432.600006,433.200012,430.299988,432.500000,420.381531,1036845
2019-04-05,432.700012,434.600006,431.000000,432.700012,420.575928,698493
2019-04-08,432.700012,433.299988,428.799988,431.500000,419.409546,849245
2019-04-09,431.500000,433.600006,428.700012,429.600006,417.562775,762928
2019-04-10,430.000000,431.399994,427.899994,429.500000,417.465576,875998
2019-04-11,430.899994,432.200012,428.100006,429.100006,417.076813,723189
2019-04-12,429.100006,433.100006,428.700012,430.700012,418.631989,971193
2019-04-15,431.000000,435.500000,431.000000,434.000000,421.839508,870793
2019-04-16,435.000000,438.700012,434.000000,435.399994,423.200256,913772
2019-04-17,436.600006,437.799988,433.600006,436.600006,424.366638,830183
2019-04-18,436.000000,439.299988,434.399994,438.700012,426.407806,430760
2019-04-23,438.700012,438.700012,433.899994,436.399994,424.172241,1104261
2019-04-24,436.600006,443.600006,436.000000,437.000000,424.755432,1190642
2019-04-25,441.500000,448.000000,438.299988,443.799988,431.364868,1716406
2019-04-26,444.100006,450.799988,444.000000,449.799988,437.196777,1193363
2019-04-29,450.700012,451.500000,447.600006,450.500000,437.877167,824049
2019-04-30,450.399994,453.799988,450.200012,452.700012,440.015533,735968
2019-05-02,452.799988,453.799988,448.500000,449.799988,437.196777,1355413
2019-05-03,450.000000,452.399994,449.000000,452.399994,439.723907,1062786
2019-05-06,447.299988,447.299988,436.299988,442.799988,430.392914,1419038
2019-05-07,443.000000,446.500000,437.500000,439.299988,426.990997,1422083
2019-05-08,437.500000,443.700012,436.200012,443.700012,431.267700,1287808
2019-05-09,434.000000,434.200012,425.399994,426.799988,423.430084,1448900
2019-05-10,429.399994,432.200012,427.399994,430.500000,427.100861,1071852
2019-05-13,430.500000,430.600006,421.700012,421.700012,418.370361,1466392
2019-05-14,421.399994,431.700012,421.399994,431.600006,428.192200,1122582
2019-05-15,433.100006,433.899994,426.600006,432.899994,429.481903,910779
2019-05-16,433.000000,440.500000,430.600006,440.000000,436.525848,837048
2019-05-17,439.200012,439.399994,434.399994,438.799988,435.335327,951853
2019-05-20,439.299988,439.799988,432.000000,434.899994,431.466125,813470
2019-05-21,436.600006,438.600006,434.700012,435.700012,432.259827,714240
2019-05-22,434.799988,436.799988,432.600006,434.600006,431.168518,680619
2019-05-23,432.000000,432.299988,424.399994,426.100006,422.735626,1058502
2019-05-24,427.000000,433.799988,427.000000,431.500000,428.092987,844458
2019-05-27,434.200012,435.000000,429.299988,430.100006,426.704041,534714
2019-05-28,430.100006,431.700012,425.399994,425.399994,422.041138,1710977
2019-05-29,423.000000,425.299988,418.700012,420.000000,416.683777,731398
2019-05-31,418.200012,419.000000,410.100006,410.299988,407.060364,1773222
2019-06-03,409.100006,416.299988,405.600006,415.899994,412.616150,1532188
2019-06-04,414.799988,421.299988,410.000000,420.799988,417.477448,1324636
2019-06-05,420.799988,423.200012,418.100006,422.200012,418.866425,1091835
2019-06-07,423.100006,427.899994,423.000000,425.600006,422.239563,886085
2019-06-11,434.000000,440.600006,433.200012,437.299988,433.847168,926577
2019-06-12,435.899994,439.600006,434.200012,438.299988,434.839264,743361
2019-06-13,437.500000,443.399994,436.399994,440.100006,436.625092,905309
2019-06-14,440.100006,440.299988,435.600006,439.399994,435.930603,787783
2019-06-18,442.100006,449.700012,437.799988,449.500000,445.950867,1146878
2019-06-19,450.000000,453.899994,447.700012,453.899994,450.316101,1227418
2019-06-20,455.000000,459.299988,454.299988,455.000000,451.407440,1784907
2019-06-24,455.000000,458.100006,450.000000,451.000000,447.438995,1013990
2019-06-25,449.700012,450.700012,447.600006,448.399994,444.859528,909880
2019-06-26,447.500000,450.299988,444.799988,447.399994,443.867432,594038
2019-06-27,447.799988,448.799988,442.299988,444.399994,440.891113,669249
2019-06-28,445.100006,447.600006,443.200012,446.100006,442.577698,892643
2019-07-01,451.000000,453.700012,446.700012,449.299988,445.752411,816137
2019-07-02,449.299988,453.100006,448.399994,451.899994,448.331909,723710
2019-07-03,451.600006,456.799988,450.500000,456.000000,452.399536,688418
2019-07-04,456.100006,459.299988,456.100006,458.399994,454.780579,513355
2019-07-05,459.000000,460.000000,454.500000,456.200012,452.597961,729301
2019-07-08,456.200012,462.700012,456.200012,461.500000,457.856110,776018
2019-07-09,460.000000,463.399994,457.899994,461.000000,457.360046,668517
2019-07-10,460.799988,464.399994,459.000000,460.100006,456.467163,812829
2019-07-11,460.299988,462.399994,454.700012,455.799988,452.201111,554007
2019-07-12,456.899994,459.000000,454.500000,456.200012,452.597961,655328
2019-07-15,456.299988,459.399994,454.100006,456.600006,452.994812,582853
2019-07-16,455.399994,457.000000,453.600006,454.799988,451.208984,598042
2019-07-17,454.100006,459.299988,452.399994,457.899994,454.284515,615127
2019-07-18,456.500000,457.899994,451.500000,455.799988,452.201111,986714
2019-07-19,456.299988,461.500000,455.899994,460.899994,457.260834,840558
2019-07-22,460.100006,460.100006,455.000000,455.899994,452.300323,914835
2019-07-23,457.299988,464.100006,457.000000,463.600006,459.939514,788464
2019-07-24,464.000000,464.000000,459.799988,461.100006,457.459259,440289
