Date,Open,High,Low,Close,Adj Close,Volume
2019-01-17,108.599998,109.699997,107.900002,108.599998,106.525902,320552
2019-01-18,108.900002,111.300003,108.900002,110.900002,108.781975,345436
2019-01-21,110.900002,111.900002,110.099998,110.800003,108.683884,287126
2019-01-22,110.800003,111.599998,110.199997,110.800003,108.683884,170617
2019-01-23,111.000000,111.599998,109.300003,110.500000,108.389610,391426
2019-01-24,110.900002,110.900002,108.500000,109.199997,107.114441,228696
2019-01-25,109.199997,110.400002,108.900002,109.099998,107.016350,167957
2019-01-28,109.000000,110.300003,108.300003,108.900002,106.820175,221557
2019-01-29,109.199997,110.900002,108.099998,110.500000,108.389610,250375
2019-01-30,110.500000,112.199997,109.900002,111.800003,109.664787,274246
2019-01-31,111.800003,113.000000,111.400002,112.199997,110.057144,221488
2019-02-01,112.199997,113.599998,112.099998,112.599998,110.449509,282008
2019-02-04,112.900002,113.000000,111.300003,111.800003,109.664787,338355
2019-02-05,112.400002,114.500000,112.400002,113.900002,111.724678,396453
2019-02-06,114.000000,115.300003,113.800003,114.000000,111.822769,312396
2019-02-07,114.400002,115.599998,112.699997,113.400002,111.234230,444492
2019-02-08,113.400002,114.300003,112.300003,113.300003,111.136139,291742
2019-02-11,113.300003,114.500000,112.599998,114.199997,112.018944,292944
2019-02-12,114.500000,115.199997,113.599998,113.599998,111.430405,282526
2019-02-13,113.699997,114.800003,113.599998,113.800003,111.626595,363315
2019-02-14,114.699997,119.000000,114.699997,118.099998,115.844460,749759
2019-02-15,118.300003,119.500000,118.300003,119.099998,116.825363,373014
2019-02-18,119.099998,121.099998,118.900002,120.000000,117.708176,437021
2019-02-19,120.099998,121.099998,119.900002,121.000000,118.689079,477570
2019-02-20,121.000000,122.699997,120.199997,121.000000,118.689079,361430
2019-02-21,121.000000,122.199997,120.300003,121.500000,119.179527,335209
2019-02-22,121.500000,122.500000,120.900002,121.199997,118.885254,315032
2019-02-25,122.000000,122.900002,118.900002,120.199997,117.904358,272965
2019-02-26,120.199997,121.400002,119.400002,120.699997,118.394806,449454
2019-02-27,120.699997,121.199997,119.900002,120.900002,118.590988,359043
2019-02-28,120.800003,121.500000,119.400002,121.500000,119.179527,292437
2019-03-01,121.500000,122.300003,120.599998,121.000000,118.689079,197461
2019-03-04,121.500000,123.300003,121.199997,121.800003,119.473801,249477
2019-03-05,121.900002,122.199997,121.099998,121.400002,119.081444,294671
2019-03-06,121.400002,121.900002,119.900002,120.300003,118.002449,219664
2019-03-07,119.699997,120.000000,118.699997,119.400002,117.119637,222335
2019-03-08,118.500000,119.199997,117.599998,118.900002,116.629189,207617
2019-03-11,118.699997,120.199997,118.599998,119.000000,116.727280,246922
2019-03-12,119.199997,120.500000,119.099998,120.000000,117.708176,224899
2019-03-13,120.000000,120.500000,118.900002,119.400002,117.119637,178007
2019-03-14,119.400002,120.400002,119.199997,119.900002,117.610092,185724
2019-03-15,120.099998,122.000000,120.099998,121.900002,119.571892,422226
2019-03-18,122.000000,122.900002,121.400002,122.099998,119.768066,237966
2019-03-19,122.099998,123.800003,122.099998,123.099998,120.748970,274241
2019-03-20,123.000000,124.099998,122.300003,123.900002,121.533691,523150
2019-03-21,124.000000,124.699997,123.599998,124.199997,121.827957,220481
2019-03-22,124.900002,125.300003,123.000000,123.199997,120.847061,355965
2019-03-25,123.000000,123.000000,121.400002,122.000000,119.669983,181095
2019-03-26,122.099998,123.400002,121.900002,123.400002,121.043243,217344
2019-03-27,123.599998,124.800003,122.800003,124.199997,121.827957,237890
2019-03-28,123.300003,126.300003,123.000000,125.300003,122.906960,400949
2019-03-29,126.000000,126.000000,123.599998,124.500000,122.122231,396924
2019-04-01,125.199997,128.600006,125.099998,128.600006,126.143936,417252
2019-04-02,128.699997,129.399994,128.100006,128.500000,126.045837,346222
2019-04-03,129.000000,130.600006,129.000000,130.399994,127.909546,372210
2019-04-04,130.500000,131.000000,129.500000,130.000000,127.517189,214660
2019-04-05,128.500000,128.600006,126.400002,127.000000,124.574486,534360
2019-04-08,127.000000,127.699997,126.300003,127.699997,125.261116,396297
2019-04-09,127.699997,128.399994,125.900002,126.900002,124.476402,271715
2019-04-10,126.900002,129.699997,126.900002,129.600006,127.124840,248849
2019-04-11,129.600006,130.000000,127.800003,128.199997,125.751564,210095
2019-04-12,128.300003,129.699997,127.599998,129.199997,126.732468,259305
2019-04-15,129.199997,129.899994,127.400002,129.899994,127.419098,321247
2019-04-16,129.899994,130.699997,128.699997,129.800003,127.321014,262341
2019-04-17,130.000000,130.100006,128.399994,129.500000,127.026741,159819
2019-04-18,129.500000,130.399994,129.100006,130.399994,127.909546,76167
