Date,Open,High,Low,Close,Adj Close,Volume
2019-01-21,292.799988,298.000000,291.200012,296.600006,288.002899,159730
2019-01-22,294.200012,303.399994,293.000000,300.000000,291.304352,131034
2019-01-23,291.600006,295.399994,288.000000,291.200012,282.759430,235034
2019-01-24,293.000000,295.000000,286.799988,288.600006,280.234802,152075
2019-01-25,291.600006,293.600006,286.399994,287.799988,279.457947,186133
2019-01-28,288.000000,290.600006,287.600006,287.600006,279.263763,98976
2019-01-29,292.000000,298.799988,289.799988,297.399994,288.779694,302566
2019-01-30,294.799988,309.000000,290.600006,309.000000,300.043488,383273
2019-01-31,308.000000,324.799988,307.600006,323.799988,314.414490,568492
2019-02-01,324.000000,328.399994,318.399994,318.799988,309.559418,351209
2019-02-04,320.000000,325.799988,320.000000,324.600006,315.191315,327298
2019-02-05,326.000000,332.799988,323.200012,332.000000,322.376801,285247
2019-02-06,330.600006,338.600006,330.600006,336.799988,327.037659,232858
2019-02-07,336.799988,336.799988,329.200012,329.799988,320.240570,212415
2019-02-08,330.600006,330.600006,324.200012,326.000000,316.550720,152670
2019-02-11,326.399994,331.200012,326.399994,329.799988,320.240570,103301
2019-02-12,331.000000,333.399994,329.600006,331.399994,321.794189,133849
2019-02-13,331.799988,334.000000,329.200012,330.399994,320.823181,96134
2019-02-14,333.000000,334.600006,329.399994,332.600006,322.959442,170631
2019-02-15,332.799988,333.600006,328.799988,329.000000,319.463776,123174
2019-02-18,329.000000,334.600006,327.799988,333.799988,324.124634,136123
2019-02-19,334.000000,334.000000,329.799988,330.000000,320.434784,129094
2019-02-20,330.799988,337.799988,330.799988,335.000000,325.289856,157739
2019-02-21,334.799988,340.200012,332.399994,334.600006,324.901459,161999
2019-02-22,336.200012,341.799988,336.000000,338.799988,328.979706,155455
2019-02-25,340.799988,343.799988,338.200012,341.399994,331.504333,239093
2019-02-26,342.600006,342.600006,334.200012,335.600006,325.872467,210641
2019-02-27,336.600006,339.000000,332.799988,334.200012,324.513062,105116
2019-02-28,332.799988,336.000000,330.000000,336.000000,326.260864,132538
2019-03-01,338.799988,338.799988,335.000000,336.600006,326.843475,118929
2019-03-04,338.600006,342.200012,338.600006,342.200012,332.281158,164107
2019-03-05,342.200012,343.000000,339.000000,343.000000,333.057983,138016
2019-03-06,343.600006,343.600006,333.600006,334.200012,324.513062,182943
2019-03-07,334.200012,334.200012,329.000000,331.399994,321.794189,191791
2019-03-08,329.200012,330.000000,324.600006,325.000000,315.579712,127610
2019-03-11,325.600006,328.600006,324.600006,327.600006,318.104370,179990
2019-03-12,316.399994,324.000000,314.399994,315.799988,306.646362,4109224
2019-03-13,315.000000,321.200012,315.000000,317.000000,307.811584,419548
2019-03-14,317.000000,321.600006,314.200012,318.399994,309.171021,318747
2019-03-15,318.399994,322.200012,318.000000,318.200012,308.976837,199029
2019-03-18,318.399994,319.799988,316.200012,318.200012,308.976837,105238
2019-03-19,318.000000,318.799988,317.200012,318.000000,308.782623,136972
2019-03-20,318.000000,318.000000,311.200012,312.000000,302.956512,182732
2019-03-21,311.799988,312.799988,306.600006,309.600006,300.626099,333624
2019-03-22,309.600006,312.000000,303.600006,304.399994,295.576813,225315
2019-03-25,304.399994,307.200012,301.799988,305.799988,296.936218,162776
2019-03-26,307.200012,314.200012,305.000000,313.399994,304.315948,242669
2019-03-27,313.399994,318.600006,312.399994,317.799988,308.588409,265062
2019-03-28,319.600006,323.000000,317.200012,318.200012,308.976837,236655
2019-03-29,318.600006,324.000000,318.600006,320.000000,310.724640,243802
2019-04-01,320.000000,323.799988,319.200012,322.200012,312.860870,128328
2019-04-02,323.000000,323.200012,319.200012,320.200012,310.918854,110098
2019-04-03,321.399994,329.200012,321.399994,329.200012,319.657990,478807
2019-04-04,332.000000,338.399994,329.600006,336.399994,326.649261,270793
2019-04-05,336.600006,337.200012,333.399994,335.000000,325.289856,155537
2019-04-08,335.000000,335.799988,323.200012,328.399994,318.881165,306838
2019-04-09,329.000000,329.000000,325.399994,326.399994,316.939117,131087
2019-04-10,327.000000,332.600006,324.399994,332.600006,322.959442,142047
2019-04-11,332.799988,335.200012,331.399994,333.000000,323.347839,211494
2019-04-12,334.600006,335.600006,332.399994,334.000000,324.318848,278852
2019-04-15,334.799988,337.799988,333.399994,337.200012,327.426086,96878
2019-04-16,335.600006,351.200012,335.000000,351.200012,341.020294,281726
2019-04-17,349.000000,349.000000,342.000000,345.799988,335.776794,413072
2019-04-18,345.200012,347.000000,342.600006,345.799988,335.776794,106609
2019-04-23,345.000000,346.399994,342.000000,344.200012,334.223206,304917
2019-04-24,344.399994,351.000000,344.399994,350.000000,339.855072,286986
2019-04-25,351.600006,352.200012,345.000000,350.399994,340.243469,176460
2019-04-26,331.399994,358.399994,330.200012,352.799988,342.573914,380265
2019-04-29,352.799988,353.399994,342.399994,350.000000,339.855072,297787
2019-04-30,350.000000,352.399994,348.600006,351.000000,340.826080,112530
2019-05-02,350.000000,353.000000,349.000000,351.200012,341.020294,285770
2019-05-03,354.600006,361.600006,353.799988,353.799988,343.544922,269591
2019-05-06,352.000000,352.000000,347.600006,351.399994,341.214478,108536
2019-05-07,350.200012,353.799988,345.399994,346.399994,336.359406,281728
2019-05-08,346.000000,357.399994,344.000000,345.000000,335.000000,257902
2019-05-09,329.600006,329.600006,308.799988,321.200012,321.200012,858203
2019-05-10,320.200012,330.600006,319.600006,321.600006,321.600006,380292
2019-05-13,319.600006,320.799988,313.200012,314.399994,314.399994,217597
2019-05-14,314.399994,317.200012,311.799988,315.000000,315.000000,418532
2019-05-15,317.399994,317.600006,310.000000,312.600006,312.600006,247094
2019-05-16,312.399994,314.000000,309.600006,311.799988,311.799988,223380
2019-05-17,310.399994,312.399994,304.600006,307.200012,307.200012,271064
2019-05-20,305.200012,310.600006,305.000000,310.399994,310.399994,405104
2019-05-21,311.200012,316.799988,311.000000,315.600006,315.600006,419989
2019-05-22,316.600006,319.200012,314.399994,316.000000,316.000000,141038
2019-05-23,314.399994,314.399994,302.399994,305.000000,305.000000,299422
2019-05-24,307.399994,311.399994,307.000000,308.600006,308.600006,197447
2019-05-27,308.000000,309.000000,304.399994,306.200012,306.200012,121610
2019-05-28,306.399994,310.399994,305.600006,308.799988,308.799988,299561
2019-05-29,305.799988,307.399994,300.600006,301.200012,301.200012,135297
2019-05-31,303.000000,307.799988,301.000000,307.200012,307.200012,409691
2019-06-03,305.399994,311.399994,301.200012,311.000000,311.000000,344727
2019-06-04,312.600006,314.200012,306.200012,312.000000,312.000000,297230
2019-06-05,311.200012,322.200012,310.000000,321.399994,321.399994,292279
2019-06-07,321.600006,330.600006,320.000000,329.799988,329.799988,327827
2019-06-11,327.600006,333.000000,327.399994,332.399994,332.399994,109641
2019-06-12,329.000000,334.200012,329.000000,333.399994,333.399994,164283
2019-06-13,333.399994,338.000000,332.600006,337.799988,337.799988,170322
2019-06-14,336.600006,337.000000,331.600006,335.200012,335.200012,115875
2019-06-18,334.200012,338.799988,334.200012,338.399994,338.399994,232919
2019-06-19,337.000000,337.799988,333.799988,336.799988,336.799988,262980
2019-06-20,336.200012,337.399994,326.600006,326.600006,326.600006,503877
2019-06-24,331.399994,332.200012,316.600006,319.200012,319.200012,443189
2019-06-25,319.000000,320.600006,316.399994,317.799988,317.799988,176322
2019-06-26,315.799988,319.200012,314.600006,316.000000,316.000000,178375
2019-06-27,318.399994,319.399994,315.600006,316.799988,316.799988,141355
2019-06-28,317.600006,320.399994,317.399994,319.200012,319.200012,128987
2019-07-01,321.600006,324.000000,319.799988,320.600006,320.600006,155919
2019-07-02,320.000000,323.399994,319.200012,321.200012,321.200012,171372
2019-07-03,319.799988,322.799988,318.399994,321.200012,321.200012,159144
2019-07-04,321.200012,322.399994,319.600006,320.000000,320.000000,116436
2019-07-05,320.000000,322.000000,311.600006,312.399994,312.399994,188243
2019-07-08,313.200012,318.200012,313.000000,314.000000,314.000000,173625
2019-07-09,313.600006,317.600006,312.200012,315.799988,315.799988,176071
2019-07-10,316.799988,318.200012,312.799988,315.000000,315.000000,156801
2019-07-11,314.200012,316.799988,312.200012,316.600006,316.600006,149605
2019-07-12,316.200012,320.799988,314.799988,317.600006,317.600006,152121
2019-07-15,317.600006,326.000000,317.600006,324.799988,324.799988,176759
2019-07-16,323.200012,326.200012,317.399994,319.200012,319.200012,224361
2019-07-17,318.799988,322.399994,318.799988,320.799988,320.799988,132875
2019-07-18,319.799988,320.399994,313.799988,319.600006,319.600006,155843
2019-07-19,319.000000,322.200012,313.200012,321.799988,321.799988,190474
2019-07-22,319.399994,326.000000,319.399994,325.799988,325.799988,103741
2019-07-23,325.799988,329.000000,324.600006,325.200012,325.200012,101806
2019-07-24,324.000000,328.600006,323.799988,326.600006,326.600006,95876
2019-07-25,324.200012,328.200012,322.000000,326.000000,326.000000,151193
2019-07-26,325.799988,333.600006,324.600006,326.200012,326.200012,210741
2019-07-29,326.000000,339.600006,324.200012,335.000000,335.000000,222915
2019-07-30,334.600006,342.200012,332.000000,337.399994,337.399994,195685
2019-07-31,338.200012,339.600006,332.799988,333.000000,333.000000,163046
2019-08-01,333.000000,342.799988,330.799988,342.399994,342.399994,215444
2019-08-02,337.399994,344.000000,334.200012,340.000000,340.000000,298723
2019-08-06,322.799988,326.799988,319.000000,321.200012,321.200012,125729
2019-08-07,322.200012,328.399994,321.200012,325.799988,325.799988,101814
2019-08-08,328.000000,332.600006,328.000000,332.600006,332.600006,152747
2019-08-09,332.799988,334.000000,329.799988,329.799988,329.799988,60804
2019-08-12,330.200012,333.000000,328.000000,329.399994,329.399994,69339
2019-08-13,327.399994,330.399994,321.200012,328.200012,328.200012,103871
2019-08-14,326.600006,326.600006,318.399994,318.600006,318.600006,89044
2019-08-15,318.600006,325.799988,318.399994,321.399994,321.399994,143610
2019-08-16,323.000000,329.000000,323.000000,329.000000,329.000000,81541
2019-08-19,329.600006,333.600006,328.200012,333.600006,333.600006,125281
2019-08-20,332.200012,333.799988,328.399994,329.799988,329.799988,112242
2019-08-21,330.000000,335.399994,329.799988,332.000000,332.000000,99236
2019-08-22,331.799988,332.200012,326.000000,326.000000,326.000000,117518
2019-08-23,326.600006,331.200012,322.000000,322.000000,322.000000,162809
2019-08-26,312.000000,323.799988,312.000000,321.799988,321.799988,76023
2019-08-27,321.600006,326.399994,320.799988,325.600006,325.600006,287395
2019-08-28,326.200012,327.399994,318.600006,324.000000,324.000000,184024
2019-08-29,327.799988,328.600006,325.600006,328.200012,328.200012,158910
2019-08-30,329.799988,333.000000,329.200012,332.000000,332.000000,159900
2019-09-02,332.200012,334.799988,331.600006,332.200012,332.200012,113383
2019-09-03,332.200012,336.200012,331.200012,331.600006,331.600006,80153
2019-09-04,334.000000,336.399994,332.000000,334.200012,334.200012,66484
2019-09-05,334.600006,337.000000,308.000000,318.000000,318.000000,408498
2019-09-06,322.200012,330.399994,319.000000,329.600006,329.600006,231876
2019-09-09,331.200012,332.000000,325.200012,329.200012,329.200012,137455
2019-09-10,329.399994,329.799988,322.399994,325.799988,325.799988,97921
2019-09-11,326.000000,331.399994,326.000000,328.399994,328.399994,154553
2019-09-12,328.399994,339.600006,328.399994,335.600006,335.600006,244111
2019-09-13,337.399994,341.399994,336.799988,341.200012,341.200012,135265
2019-09-16,337.399994,341.799988,337.000000,339.200012,339.200012,86039
2019-09-17,340.200012,344.399994,338.200012,341.399994,341.399994,142365
2019-09-18,341.600006,344.200012,340.600006,341.200012,341.200012,212089
2019-09-19,339.799988,346.200012,339.399994,342.399994,342.399994,186716
2019-09-20,342.600006,347.000000,342.200012,343.799988,343.799988,226663
2019-09-23,342.799988,342.799988,337.600006,340.600006,340.600006,121948
2019-09-24,339.799988,340.799988,336.399994,337.399994,337.399994,198256
2019-09-25,335.799988,338.600006,330.399994,338.600006,338.600006,620195
2019-09-26,339.200012,342.000000,337.600006,339.000000,339.000000,283035
2019-09-27,340.399994,342.600006,338.799988,341.799988,341.799988,108403
2019-09-30,341.799988,346.399994,341.399994,346.000000,346.000000,392233
2019-10-01,346.000000,352.600006,345.600006,347.000000,347.000000,226182
2019-10-02,347.399994,347.399994,341.000000,344.399994,344.399994,336385
2019-10-03,344.200012,348.799988,341.000000,345.799988,345.799988,266667
2019-10-04,346.200012,350.799988,344.799988,350.799988,350.799988,167252
2019-10-07,351.000000,360.000000,350.000000,359.399994,359.399994,454139
2019-10-08,360.000000,361.000000,357.200012,360.600006,360.600006,396591
2019-10-09,360.600006,364.200012,356.600006,362.600006,362.600006,201242
