Date,Open,High,Low,Close,Adj Close,Volume
2019-01-15,40.020000,40.400002,39.299999,39.459999,39.358250,351231
2019-01-16,40.240002,40.480000,39.779999,40.220001,40.116295,797023
2019-01-17,40.220001,41.020000,40.000000,40.680000,40.575104,733255
2019-01-18,41.240002,41.939999,41.099998,41.419998,41.313198,712648
2019-01-21,40.980000,41.080002,39.700001,40.119999,40.016544,1027590
2019-01-22,39.880001,40.139999,38.380001,38.740002,38.640114,896799
2019-01-23,38.279999,38.520000,37.799999,38.099998,38.001755,1007233
2019-01-24,38.000000,38.700001,37.200001,37.380001,37.283619,1240726
2019-01-25,38.240002,39.560001,38.000000,39.259998,39.158768,1309314
2019-01-28,39.400002,40.480000,38.779999,40.200001,40.096344,1115463
2019-01-29,40.400002,41.320000,40.000000,40.779999,40.674850,1067218
2019-01-30,41.020000,41.799999,41.000000,41.540001,41.432892,960791
2019-01-31,41.799999,42.340000,41.500000,41.599998,41.492733,716089
2019-02-01,41.000000,42.080002,41.000000,41.380001,41.273300,589020
2019-02-04,41.299999,41.439999,40.900002,41.220001,41.113712,410427
2019-02-05,42.000000,42.520000,41.279999,41.520000,41.412941,632492
2019-02-06,41.900002,43.939999,41.900002,43.180000,43.068661,948346
2019-02-07,43.180000,43.279999,42.480000,42.480000,42.370468,840878
2019-02-08,42.119999,42.599998,41.360001,41.700001,41.592476,773772
2019-02-11,41.599998,41.959999,41.400002,41.720001,41.612427,427962
2019-02-12,41.599998,42.040001,41.000000,41.240002,41.133663,611989
2019-02-13,41.799999,42.180000,41.340000,41.680000,41.572525,627747
2019-02-14,41.799999,42.040001,41.119999,41.700001,41.592476,388237
2019-02-15,42.000000,45.119999,41.540001,44.639999,44.524891,2263563
2019-02-18,45.240002,46.700001,45.240002,46.299999,46.180611,997826
2019-02-19,45.000000,47.439999,43.660000,46.299999,46.180611,4105191
2019-02-20,46.000000,47.560001,45.419998,47.320000,47.197987,2180375
2019-02-21,47.320000,47.700001,46.419998,46.759998,46.639427,1319408
2019-02-22,47.200001,49.000000,47.180000,48.779999,48.654217,1565695
2019-02-25,50.299999,50.500000,48.400002,49.099998,48.973396,2002635
2019-02-26,48.900002,49.299999,48.299999,48.980000,48.853703,896923
2019-02-27,48.759998,49.040001,48.000000,48.000000,47.876228,817312
2019-02-28,47.860001,47.860001,46.619999,47.259998,47.138134,986424
2019-03-01,47.360001,48.080002,47.160000,47.560001,47.437370,703120
2019-03-04,47.720001,47.980000,46.959999,47.259998,47.138134,796415
2019-03-05,47.660000,48.080002,47.099998,47.400002,47.277779,544145
2019-03-06,48.020000,48.459999,47.860001,48.139999,48.015869,831980
2019-03-07,46.000000,46.340000,44.160000,44.380001,44.265568,2163536
2019-03-08,43.840000,44.340000,43.259998,43.820000,43.707012,915120
2019-03-11,44.040001,44.840000,43.880001,44.599998,44.485001,682134
2019-03-12,44.700001,45.799999,44.340000,44.459999,44.345360,916246
2019-03-13,44.700001,45.299999,44.580002,45.259998,45.143295,604265
2019-03-14,45.160000,45.639999,44.560001,44.980000,44.864021,1661160
2019-03-15,44.400002,44.880001,43.799999,44.040001,43.926441,1084866
2019-03-18,44.060001,45.139999,44.060001,44.220001,44.105976,1092598
2019-03-19,44.299999,44.919998,44.200001,44.580002,44.465054,468219
2019-03-20,44.400002,44.860001,43.560001,43.980000,43.866596,704243
2019-03-21,44.599998,45.480000,44.599998,45.119999,45.034378,1225273
2019-03-22,45.000000,45.000000,42.939999,43.099998,43.018208,851275
2019-03-25,41.639999,42.380001,41.099998,42.200001,42.119919,1863147
2019-03-26,42.200001,43.060001,41.740002,42.740002,42.658894,599059
2019-03-27,42.700001,43.060001,42.000000,42.500000,42.419346,761318
2019-03-28,42.520000,43.660000,42.520000,43.000000,42.918400,701680
2019-03-29,43.400002,44.360001,43.360001,43.520000,43.437412,631892
2019-04-01,44.400002,45.740002,44.099998,45.320000,45.233994,1705608
2019-04-02,45.520000,45.540001,44.380001,44.880001,44.794834,642563
2019-04-03,45.200001,46.180000,45.200001,45.919998,45.832855,1034953
2019-04-04,45.500000,46.060001,45.099998,45.980000,45.892742,1579789
2019-04-05,46.099998,46.439999,45.639999,46.040001,45.952633,351463
2019-04-08,46.360001,46.779999,46.119999,46.459999,46.371834,495647
2019-04-09,46.799999,47.279999,45.619999,45.799999,45.713085,1053239
2019-04-10,46.060001,46.680000,45.799999,46.279999,46.192173,735840
2019-04-11,46.700001,47.459999,45.980000,46.200001,46.112328,1921394
2019-04-12,46.560001,48.540001,46.299999,48.459999,48.368038,1437867
2019-04-15,48.000000,51.299999,47.340000,50.400002,50.304356,2450779
2019-04-16,51.500000,53.400002,51.250000,52.299999,52.200748,2949937
2019-04-17,52.500000,54.299999,52.049999,53.799999,53.697903,1084929
2019-04-18,54.250000,54.400002,52.849998,53.799999,53.697903,637811
2019-04-23,53.500000,53.750000,52.200001,52.650002,52.550091,1082864
2019-04-24,52.500000,52.950001,50.900002,52.400002,52.300564,1325417
2019-04-25,52.599998,52.750000,50.250000,51.049999,50.953121,1904906
2019-04-26,51.099998,52.799999,51.099998,52.700001,52.599991,749013
2019-04-29,53.000000,53.700001,52.450001,52.549999,52.450275,829241
2019-04-30,52.200001,52.200001,51.299999,51.299999,51.202648,315426
2019-05-02,49.860001,50.150002,49.020000,49.279999,49.186481,1089987
2019-05-03,49.200001,49.799999,49.040001,49.320000,49.226406,734174
2019-05-06,48.459999,48.840000,47.520000,48.840000,48.747314,1256497
2019-05-07,48.900002,49.000000,47.500000,48.119999,48.028683,740150
2019-05-08,47.500000,48.180000,46.919998,47.540001,47.449783,938634
2019-05-09,47.000000,47.180000,46.119999,46.400002,46.311951,636669
2019-05-10,46.480000,47.279999,46.080002,46.779999,46.691223,940870
2019-05-13,47.040001,47.040001,44.200001,44.340000,44.255856,1354789
2019-05-14,44.919998,47.580002,44.919998,47.520000,47.429825,1174316
2019-05-15,48.259998,48.279999,46.779999,47.400002,47.310051,545737
2019-05-16,46.820000,47.779999,46.820000,47.299999,47.210236,613202
2019-05-17,47.060001,47.099998,45.599998,45.900002,45.812897,684950
2019-05-20,45.599998,45.619999,44.560001,45.400002,45.313847,691991
2019-05-21,45.400002,47.060001,45.320000,46.419998,46.331905,674113
2019-05-22,46.599998,46.599998,44.560001,44.939999,44.854717,1106888
2019-05-23,44.500000,44.639999,42.060001,43.139999,43.058132,1020601
2019-05-24,43.500000,44.860001,43.500000,44.360001,44.275818,617475
2019-05-27,44.759998,44.860001,43.860001,44.240002,44.156052,442651
2019-05-28,44.500000,44.840000,43.939999,44.099998,44.016312,526290
2019-05-29,43.380001,43.380001,42.380001,42.380001,42.328373,269094
2019-05-31,42.180000,42.680000,41.619999,42.160000,42.108639,427429
2019-06-03,42.160000,43.240002,41.619999,42.900002,42.847740,403285
2019-06-04,43.200001,44.700001,43.200001,44.259998,44.206078,636208
2019-06-05,44.860001,45.259998,43.200001,44.099998,44.046272,1042863
2019-06-07,44.299999,45.220001,43.980000,44.500000,44.445789,367556
2019-06-11,45.680000,47.240002,45.680000,47.000000,46.942741,866016
2019-06-12,46.939999,47.259998,46.200001,46.380001,46.323498,538319
2019-06-13,46.419998,47.939999,46.080002,47.759998,47.701813,689512
2019-06-14,47.759998,47.759998,46.599998,47.119999,47.062595,299268
2019-06-18,47.400002,49.840000,47.220001,49.240002,49.180016,1578987
2019-06-19,49.419998,49.619999,48.220001,48.439999,48.380985,673519
2019-06-20,49.799999,51.450001,49.060001,50.549999,50.488419,1220883
2019-06-24,48.720001,49.660000,48.720001,49.520000,49.459675,746786
2019-06-25,49.939999,50.450001,49.500000,50.150002,50.088909,547386
2019-06-26,50.299999,50.950001,49.540001,50.500000,50.438477,661283
2019-06-27,50.599998,51.250000,50.549999,50.950001,50.887932,560909
2019-06-28,50.250000,50.799999,50.099998,50.500000,50.438477,466531
2019-07-01,51.450001,51.900002,51.299999,51.549999,51.487198,497536
2019-07-02,51.700001,51.799999,49.660000,51.150002,51.087688,590328
2019-07-03,51.500000,51.799999,51.099998,51.799999,51.736897,478824
2019-07-04,51.700001,51.700001,50.599998,51.299999,51.237503,782852
2019-07-05,51.299999,51.299999,49.959999,50.599998,50.538353,654260
2019-07-08,50.400002,50.650002,49.820000,50.250000,50.188786,1268364
2019-07-09,50.299999,50.500000,48.820000,49.000000,48.940308,746355
2019-07-10,48.980000,49.959999,48.439999,49.639999,49.579525,741475
2019-07-11,50.200001,50.599998,49.599998,50.299999,50.238720,370784
2019-07-12,50.650002,51.200001,49.980000,50.250000,50.188786,624649
2019-07-15,50.950001,51.099998,50.299999,50.599998,50.538353,427374
2019-07-16,51.000000,51.599998,50.500000,51.250000,51.187565,454473
2019-07-17,51.299999,51.700001,50.099998,50.400002,50.338604,474219
2019-07-18,50.150002,50.250000,49.540001,49.560001,49.499626,385476
2019-07-19,49.840000,52.799999,49.720001,51.700001,51.637016,802263
2019-07-22,52.000000,52.700001,51.000000,51.200001,51.137627,559163
2019-07-23,50.900002,51.450001,49.720001,50.599998,50.538353,853664
2019-07-24,50.549999,50.549999,49.160000,49.500000,49.439697,798603
2019-07-25,46.000000,48.380001,44.000000,48.200001,48.141281,2712984
2019-07-26,47.779999,47.779999,46.180000,46.500000,46.443352,866872
2019-07-29,46.860001,47.139999,45.419998,47.080002,47.022648,985141
2019-07-30,47.380001,47.419998,46.299999,47.320000,47.262352,514785
2019-07-31,47.740002,47.959999,46.840000,47.000000,46.942741,250581
2019-08-01,46.419998,46.700001,45.520000,46.619999,46.563206,795007
2019-08-02,45.500000,45.639999,44.419998,44.619999,44.565639,910904
2019-08-06,43.680000,44.119999,42.259998,42.380001,42.328373,1122858
2019-08-07,42.860001,43.240002,41.759998,42.500000,42.448227,1309682
2019-08-08,43.080002,44.660000,42.700001,44.200001,44.146152,1522579
2019-08-09,44.919998,45.459999,42.599998,42.820000,42.767834,1461558
2019-08-12,43.340000,43.619999,42.220001,42.520000,42.468201,1379139
2019-08-13,42.660000,44.759998,42.200001,44.500000,44.445789,912764
2019-08-14,44.680000,44.680000,42.779999,42.959999,42.907665,697782
2019-08-15,43.060001,43.480000,41.720001,42.520000,42.468201,1269041
2019-08-16,43.000000,43.480000,41.880001,42.000000,41.948833,2621294
2019-08-19,42.360001,43.180000,42.360001,43.099998,43.047493,764081
2019-08-20,43.619999,43.759998,43.020000,43.400002,43.347130,887970
2019-08-21,43.619999,44.060001,43.560001,43.939999,43.886471,755906
2019-08-22,43.480000,43.980000,43.000000,43.580002,43.526909,469393
2019-08-23,43.619999,44.360001,43.060001,43.259998,43.207294,519982
2019-08-26,42.380001,43.660000,42.000000,43.580002,43.526909,402212
2019-08-27,43.000000,43.779999,42.740002,43.060001,43.007545,891556
2019-08-28,43.279999,44.040001,43.040001,43.860001,43.806568,693555
2019-08-29,43.480000,44.980000,43.480000,44.840000,44.785374,694363
2019-08-30,44.860001,46.500000,44.619999,46.160000,46.103767,659285
2019-09-02,46.500000,46.700001,45.560001,45.560001,45.504498,350196
2019-09-03,45.560001,46.340000,45.320000,46.139999,46.083790,892920
2019-09-04,46.720001,47.480000,46.240002,47.040001,46.982693,1615052
2019-09-05,47.000000,48.279999,47.000000,48.000000,47.972118,1364899
2019-09-06,48.880001,49.240002,47.900002,48.459999,48.431850,828487
2019-09-09,48.259998,48.779999,47.959999,48.340000,48.311920,634075
2019-09-10,48.320000,49.820000,48.139999,49.580002,49.551205,1057001
2019-09-11,50.099998,51.549999,49.959999,50.900002,50.870438,2436162
2019-09-12,51.500000,51.799999,49.939999,50.349998,50.320751,1463291
2019-09-13,50.250000,50.849998,49.840000,50.200001,50.170841,914836
2019-09-16,49.540001,49.599998,48.799999,49.459999,49.431271,1158448
2019-09-17,49.340000,49.639999,48.540001,49.200001,49.171425,471845
2019-09-18,49.180000,49.740002,48.939999,49.200001,49.171425,387445
2019-09-19,48.480000,49.060001,48.040001,48.980000,48.951550,734773
2019-09-20,49.320000,49.680000,48.900002,49.279999,49.251373,610949
2019-09-23,49.060001,49.060001,47.740002,48.340000,48.311920,595930
2019-09-24,47.919998,48.500000,47.139999,47.139999,47.112617,572916
2019-09-25,47.439999,47.779999,46.520000,47.619999,47.592339,642498
2019-09-26,47.820000,48.279999,46.480000,46.799999,46.772816,817185
2019-09-27,46.820000,47.480000,46.799999,47.060001,47.032665,666829
2019-09-30,46.360001,47.020000,46.099998,47.020000,46.992687,906812
2019-10-01,46.380001,46.779999,45.820000,46.220001,46.193153,2655276
2019-10-02,45.540001,45.980000,44.740002,45.240002,45.213726,1682467
2019-10-03,45.119999,45.520000,44.220001,45.340000,45.313663,1455277
2019-10-04,45.320000,46.299999,45.040001,45.680000,45.653469,1287873
2019-10-07,45.720001,46.779999,45.500000,46.779999,46.752827,521054
2019-10-08,46.919998,47.540001,45.459999,45.919998,45.893326,917911
2019-10-09,45.959999,46.880001,45.700001,46.099998,46.073223,530567
2019-10-10,46.160000,48.040001,46.160000,47.820000,47.792225,1027818
2019-10-11,47.759998,50.500000,46.860001,50.349998,50.320751,2897787
2019-10-14,50.000000,50.250000,49.400002,49.779999,49.751083,595476
2019-10-15,50.150002,50.599998,49.500000,49.720001,49.691120,632190
2019-10-16,49.220001,50.400002,48.840000,50.099998,50.070896,775746
2019-10-17,49.480000,50.700001,49.200001,50.500000,50.470669,1193266
2019-10-18,50.049999,50.750000,49.799999,50.349998,50.320751,447167
2019-10-21,50.049999,51.299999,50.000000,50.599998,50.570606,574251
2019-10-22,50.549999,50.900002,49.799999,50.299999,50.270782,556720
2019-10-23,49.540001,50.450001,49.000000,49.540001,49.511227,1250616
2019-10-24,50.700001,51.400002,49.779999,50.000000,49.970959,1829023
2019-10-25,50.299999,51.750000,50.299999,50.299999,50.270782,1623346
2019-10-28,50.450001,51.500000,50.450001,51.349998,51.320171,2488794
2019-10-29,51.150002,51.349998,50.599998,50.700001,50.670551,371438
2019-10-30,50.549999,50.950001,49.139999,49.320000,49.291351,781739
2019-10-31,49.480000,49.480000,48.279999,48.700001,48.671715,857000
2019-11-01,48.720001,49.200001,48.720001,48.720001,48.691704,52536
2019-11-04,49.959999,51.150002,49.880001,51.000000,50.970375,1291932
2019-11-05,51.349998,53.849998,51.250000,53.000000,52.969215,1863683
2019-11-06,53.900002,54.400002,53.650002,53.900002,53.868694,1572778
2019-11-07,54.000000,54.500000,53.200001,54.400002,54.368404,1366844
2019-11-08,54.099998,54.900002,53.599998,54.549999,54.518314,1903485
2019-11-11,54.549999,55.099998,53.400002,54.200001,54.168518,848241
2019-11-12,53.799999,54.500000,53.549999,53.950001,53.918663,766389
2019-11-13,53.799999,54.000000,53.049999,53.599998,53.568867,528818
2019-11-14,53.049999,53.799999,52.750000,53.500000,53.468925,592945
2019-11-15,54.000000,55.400002,53.650002,55.150002,55.117970,1330522
2019-11-18,55.599998,55.799999,54.200001,54.700001,54.668228,524401
2019-11-19,54.700001,55.150002,54.000000,54.250000,54.218491,706844
2019-11-20,53.950001,54.299999,53.150002,54.299999,54.268459,790232
2019-11-21,53.349998,53.349998,52.549999,52.799999,52.769329,659128
2019-11-22,53.049999,53.500000,52.599998,53.049999,53.019184,883442
2019-11-25,53.150002,54.450001,53.150002,53.799999,53.768749,1059762
2019-11-26,54.000000,54.450001,52.599998,53.200001,53.169098,872849
2019-11-27,54.049999,54.849998,53.250000,53.349998,53.319012,1331762
2019-11-28,52.900002,53.200001,52.150002,52.349998,52.319592,658868
2019-11-29,52.150002,52.250000,51.349998,51.500000,51.470085,492054
2019-12-02,51.750000,52.450001,51.750000,52.200001,52.169682,330571
2019-12-03,52.349998,52.349998,50.349998,51.000000,50.970375,571135
2019-12-04,50.799999,52.150002,50.299999,51.650002,51.619999,1101940
2019-12-05,52.400002,52.799999,51.299999,51.450001,51.450001,756494
2019-12-06,52.000000,53.099998,51.750000,52.950001,52.950001,771560
2019-12-09,53.299999,54.000000,52.900002,53.849998,53.849998,1009598
2019-12-10,53.950001,54.299999,53.349998,53.900002,53.900002,533488
2019-12-11,53.400002,54.799999,53.000000,54.549999,54.549999,747053
2019-12-12,54.599998,55.200001,53.799999,55.150002,55.150002,783804
2019-12-13,55.099998,56.349998,54.049999,54.599998,54.599998,1195564
2019-12-16,55.000000,55.500000,54.450001,55.200001,55.200001,864803
2019-12-17,55.400002,55.400002,54.700001,54.900002,54.900002,497536
2019-12-18,54.849998,54.849998,54.099998,54.599998,54.599998,524818
2019-12-19,54.650002,55.349998,54.299999,55.150002,55.150002,919884
2019-12-20,55.349998,55.799999,54.950001,54.950001,54.950001,1035367
2019-12-23,54.950001,55.299999,54.700001,55.200001,55.200001,285737
2019-12-27,55.599998,56.299999,55.500000,55.500000,55.500000,432632
