Date,Open,High,Low,Close,Adj Close,Volume
2019-01-16,5.940000,6.045000,5.785000,6.035000,5.723862,1257441
2019-01-17,5.965000,6.080000,5.870000,6.055000,5.742831,463474
2019-01-18,6.100000,6.260000,6.070000,6.250000,5.927778,1021446
2019-01-21,6.250000,6.265000,6.140000,6.170000,5.851902,707350
2019-01-22,6.170000,6.215000,6.110000,6.170000,5.851902,514885
2019-01-23,6.190000,6.365000,6.110000,6.285000,5.960973,818670
2019-01-24,6.320000,6.465000,6.265000,6.435000,6.103240,1041660
2019-01-25,6.475000,6.525000,6.370000,6.485000,6.150662,856421
2019-01-28,6.505000,6.505000,6.165000,6.260000,5.937263,1032303
2019-01-29,6.260000,6.450000,6.260000,6.360000,6.032107,598729
2019-01-30,6.405000,6.425000,6.265000,6.385000,6.055818,572185
2019-01-31,6.420000,6.475000,6.280000,6.340000,6.013138,764608
2019-02-01,6.340000,6.470000,6.245000,6.355000,6.027364,497816
2019-02-04,6.365000,6.520000,6.350000,6.450000,6.117466,564017
2019-02-05,6.505000,6.505000,6.400000,6.440000,6.107982,514764
2019-02-06,6.440000,6.590000,6.440000,6.500000,6.164889,1068340
2019-02-07,6.585000,6.600000,6.225000,6.365000,6.036849,1225491
2019-02-08,6.300000,6.440000,6.135000,6.150000,5.832933,787674
2019-02-11,6.190000,6.215000,6.095000,6.200000,5.880355,1048061
2019-02-12,6.275000,6.330000,6.040000,6.075000,5.761800,815597
2019-02-13,6.065000,6.105000,5.890000,6.030000,5.719120,1144425
2019-02-14,6.050000,6.120000,5.975000,5.995000,5.685924,628405
2019-02-15,6.030000,6.240000,5.985000,6.220000,5.899324,1670384
2019-02-18,6.235000,6.315000,6.085000,6.180000,5.861386,789003
2019-02-19,6.195000,6.280000,6.070000,6.070000,5.757058,557611
2019-02-20,6.125000,6.165000,6.060000,6.150000,5.832933,517187
2019-02-21,6.155000,6.155000,6.000000,6.010000,5.700151,604898
2019-02-22,6.025000,6.130000,6.020000,6.035000,5.723862,929480
2019-02-25,6.120000,6.420000,6.120000,6.315000,5.989427,792517
2019-02-26,6.315000,6.435000,6.250000,6.420000,6.089013,421468
2019-02-27,6.420000,6.420000,6.220000,6.235000,5.913551,619480
2019-02-28,6.225000,6.225000,6.075000,6.085000,5.771285,683190
2019-03-01,6.160000,6.400000,6.110000,6.345000,6.017879,1002058
2019-03-04,6.400000,6.485000,6.325000,6.460000,6.126951,866093
2019-03-05,6.460000,6.460000,6.240000,6.265000,5.942004,581977
2019-03-06,6.290000,6.290000,6.130000,6.160000,5.842418,732085
2019-03-07,6.175000,6.220000,6.015000,6.025000,5.714378,620589
2019-03-08,6.000000,6.000000,5.825000,5.905000,5.600564,1071788
2019-03-11,5.930000,6.015000,5.900000,5.945000,5.638502,576040
2019-03-12,5.995000,6.040000,5.880000,5.990000,5.681182,814241
2019-03-13,5.970000,5.995000,5.885000,5.890000,5.586338,628763
2019-03-14,5.905000,5.995000,5.895000,5.955000,5.647986,755528
2019-03-15,5.965000,6.045000,5.920000,6.020000,5.709635,958553
2019-03-18,6.050000,6.130000,6.025000,6.030000,5.719120,630353
2019-03-19,6.065000,6.170000,6.005000,6.100000,5.785511,991235
2019-03-20,6.100000,6.110000,5.955000,5.985000,5.676440,694098
2019-03-21,6.000000,6.005000,5.885000,5.905000,5.600564,574866
2019-03-22,5.835000,5.850000,5.575000,5.620000,5.330257,2188323
2019-03-25,5.620000,5.635000,5.495000,5.535000,5.249640,1343207
2019-03-26,5.555000,5.585000,5.505000,5.535000,5.249640,727779
2019-03-27,5.620000,5.765000,5.615000,5.695000,5.401391,897239
2019-03-28,5.660000,5.740000,5.620000,5.625000,5.335000,885394
2019-03-29,5.445000,5.550000,5.385000,5.465000,5.465000,1515590
2019-04-01,5.532000,5.718000,5.532000,5.694000,5.694000,739297
2019-04-02,5.740000,5.840000,5.650000,5.815000,5.815000,768211
2019-04-03,5.835000,6.065000,5.830000,6.015000,6.015000,913422
2019-04-04,6.015000,6.090000,5.940000,6.065000,6.065000,474607
2019-04-05,6.070000,6.145000,5.985000,6.040000,6.040000,616311
2019-04-08,6.055000,6.100000,5.945000,5.965000,5.965000,401193
2019-04-09,5.980000,6.000000,5.870000,5.885000,5.885000,448261
2019-04-10,5.890000,5.945000,5.870000,5.880000,5.880000,301999
2019-04-11,5.900000,5.955000,5.870000,5.925000,5.925000,364083
2019-04-12,5.905000,6.050000,5.845000,6.030000,6.030000,482136
2019-04-15,6.000000,6.040000,5.875000,5.895000,5.895000,523252
2019-04-16,5.950000,5.955000,5.785000,5.830000,5.830000,595947
2019-04-17,5.820000,5.840000,5.665000,5.665000,5.665000,726554
2019-04-18,5.665000,5.800000,5.625000,5.750000,5.750000,484277
2019-04-23,5.775000,5.800000,5.685000,5.735000,5.735000,487254
2019-04-24,5.715000,5.715000,5.625000,5.635000,5.635000,390809
