Date,Open,High,Low,Close,Adj Close,Volume
2019-01-15,143.500000,144.000000,140.000000,140.000000,136.332825,2303
2019-01-16,140.500000,145.500000,140.500000,145.000000,141.201859,3155
2019-01-17,144.500000,146.500000,143.500000,144.500000,140.714951,4460
2019-01-18,145.500000,148.000000,145.500000,148.000000,144.123276,1318
2019-01-21,148.000000,149.000000,147.500000,147.500000,143.636368,3004
2019-01-22,149.000000,149.500000,148.000000,148.000000,144.123276,1714
2019-01-23,148.000000,148.000000,147.000000,147.000000,143.149475,1110
2019-01-24,148.000000,149.000000,147.500000,149.000000,145.097092,705
2019-01-25,149.000000,151.500000,149.000000,149.500000,145.583984,1376
2019-01-28,150.500000,151.000000,149.000000,149.000000,145.097092,2093
2019-01-29,149.000000,151.000000,147.500000,147.500000,143.636368,3887
2019-01-30,139.000000,139.000000,131.500000,136.000000,132.437607,58313
2019-01-31,137.000000,138.500000,134.000000,135.500000,131.950699,33877
2019-02-01,136.500000,137.000000,134.000000,135.500000,131.950699,20484
2019-02-04,136.500000,138.000000,136.000000,136.000000,132.437607,19746
2019-02-05,137.000000,138.000000,136.000000,138.000000,134.385208,9191
2019-02-06,139.000000,139.000000,137.500000,139.000000,135.359024,6421
2019-02-07,139.000000,139.000000,137.000000,138.000000,134.385208,2494
2019-02-08,138.000000,138.500000,136.000000,136.000000,132.437607,3763
2019-02-11,136.000000,138.500000,136.000000,137.000000,133.411407,16751
2019-02-12,138.500000,139.000000,136.500000,138.000000,134.385208,4782
2019-02-13,138.500000,139.000000,137.000000,137.000000,133.411407,2511
2019-02-14,138.000000,139.000000,137.000000,137.000000,133.411407,3010
2019-02-15,137.000000,138.500000,136.500000,138.500000,134.872116,832
2019-02-18,138.500000,138.500000,136.500000,136.500000,132.924515,6416
2019-02-19,137.000000,138.000000,136.000000,136.000000,132.437607,6197
2019-02-20,136.000000,139.000000,136.000000,139.000000,135.359024,4314
2019-02-21,139.000000,139.000000,137.000000,137.000000,133.411407,2186
2019-02-22,137.500000,141.000000,137.500000,140.000000,136.332825,3018
2019-02-25,140.500000,142.000000,139.500000,140.500000,136.819733,2683
2019-02-26,138.500000,140.500000,138.500000,139.000000,135.359024,2614
2019-02-27,139.500000,140.500000,139.000000,139.500000,135.845932,651
2019-02-28,139.500000,139.500000,137.500000,137.500000,133.898315,2123
2019-03-01,137.500000,138.500000,137.000000,137.500000,133.898315,1334
2019-03-04,137.500000,139.500000,137.000000,139.000000,135.359024,2302
2019-03-05,139.500000,140.000000,137.000000,137.000000,133.411407,954
2019-03-06,138.000000,140.000000,137.000000,139.500000,135.845932,3424
2019-03-07,138.500000,138.500000,136.500000,136.500000,132.924515,639
2019-03-08,136.500000,137.000000,135.000000,136.500000,132.924515,1609
2019-03-11,135.500000,137.500000,135.500000,137.000000,133.411407,2222
2019-03-12,137.500000,141.000000,137.500000,140.000000,136.332825,6221
2019-03-13,138.500000,141.000000,138.000000,141.000000,137.306625,9785
2019-03-14,140.500000,141.000000,139.000000,140.500000,136.819733,519
2019-03-15,140.500000,142.000000,140.000000,140.000000,136.332825,4940
2019-03-18,140.000000,142.500000,139.500000,142.500000,138.767349,17229
2019-03-19,142.000000,142.500000,141.000000,141.500000,137.793533,1566
2019-03-20,142.000000,144.500000,141.500000,142.500000,138.767349,2665
2019-03-21,143.000000,143.500000,141.000000,142.000000,138.280426,1742
2019-03-22,142.000000,142.500000,141.000000,142.500000,138.767349,1316
2019-03-25,142.000000,142.500000,140.000000,141.500000,137.793533,565
2019-03-26,141.500000,143.000000,140.500000,141.500000,137.793533,1196
