Date,Open,High,Low,Close,Adj Close,Volume
2019-01-15,7.860000,7.887000,7.760000,7.790000,7.085531,1428449
2019-01-16,7.845000,7.879000,7.786000,7.866000,7.154658,2565965
2019-01-17,7.854000,7.883000,7.785000,7.872000,7.160115,1581574
2019-01-18,7.920000,8.052000,7.911000,8.004000,7.280178,3481707
2019-01-21,8.047000,8.059000,7.976000,7.995000,7.271992,1651199
2019-01-22,7.960000,8.004000,7.861000,7.968000,7.247434,2111682
2019-01-23,7.966000,8.046000,7.939000,8.007000,7.282907,1910254
2019-01-24,8.030000,8.114000,8.006000,8.074000,7.343848,4221776
2019-01-25,8.106000,8.128000,8.051000,8.051000,7.322927,3022657
2019-01-28,8.060000,8.060000,7.952000,7.977000,7.255620,2679795
2019-01-29,7.990000,7.990000,7.871000,7.931000,7.213780,3800890
2019-01-30,7.958000,7.967000,7.882000,7.960000,7.240157,1885558
2019-01-31,7.965000,8.003000,7.861000,7.930000,7.212870,7289981
2019-02-01,7.966000,7.990000,7.907000,7.966000,7.245615,1620787
2019-02-04,8.000000,8.013000,7.879000,7.931000,7.213780,1829913
2019-02-05,7.976000,8.019000,7.931000,8.005000,7.281088,2920175
2019-02-06,7.900000,8.107000,7.812000,8.100000,7.367497,9984975
2019-02-07,8.110000,8.178000,7.973000,7.973000,7.251982,4549945
2019-02-08,7.996000,8.000000,7.916000,7.930000,7.212870,2992256
2019-02-11,7.992000,7.995000,7.912000,7.931000,7.213780,27533591
2019-02-12,7.980000,8.038000,7.966000,8.030000,7.303827,2586090
2019-02-13,8.057000,8.086000,7.996000,8.074000,7.343848,2401018
2019-02-14,8.107000,8.107000,7.948000,7.970000,7.249253,4038023
2019-02-15,7.970000,8.140000,7.945000,8.100000,7.367497,6359022
2019-02-18,8.170000,8.235000,8.130000,8.218000,7.474826,3685986
2019-02-19,8.232000,8.282000,8.084000,8.173000,7.433895,4773683
2019-02-20,8.184000,8.194000,8.002000,8.025000,7.299279,5306112
2019-02-21,8.020000,8.020000,7.640000,7.640000,6.949095,16345273
2019-02-22,7.687000,7.765000,7.560000,7.700000,7.003669,6930693
2019-02-25,7.800000,7.809000,7.754000,7.766000,7.063701,2771571
2019-02-26,7.731000,7.771000,7.650000,7.730000,7.030957,3394497
2019-02-27,7.740000,7.950000,7.706000,7.935000,7.217418,7678531
2019-02-28,7.940000,8.009000,7.882000,7.999000,7.275630,4531644
2019-03-01,8.020000,8.025000,7.961000,7.995000,7.271992,5752351
2019-03-04,7.941000,7.941000,7.465000,7.681000,6.986388,26689980
2019-03-05,7.771000,7.832000,7.730000,7.804000,7.098265,5867395
2019-03-06,7.820000,7.834000,7.712000,7.726000,7.027318,6407451
2019-03-07,7.740000,7.778000,7.648000,7.674000,6.980021,3360524
2019-03-08,7.620000,7.688000,7.591000,7.688000,6.992755,2539254
2019-03-11,7.741000,7.865000,7.726000,7.835000,7.126461,4230831
2019-03-12,7.887000,7.910000,7.796000,7.840000,7.131009,2290068
2019-03-13,7.850000,7.889000,7.811000,7.846000,7.136467,3052958
2019-03-14,7.865000,7.957000,7.852000,7.955000,7.235609,3513296
2019-03-15,7.990000,8.026000,7.912000,8.019000,7.293822,6779840
2019-03-18,8.063000,8.158000,8.038000,8.125000,7.390236,2861369
2019-03-19,8.150000,8.160000,8.075000,8.097000,7.364768,4048801
2019-03-20,8.100000,8.128000,8.023000,8.079000,7.348396,2824048
2019-03-21,8.071000,8.073000,7.990000,8.057000,7.328385,2641304
2019-03-22,8.088000,8.094000,7.900000,7.900000,7.185583,3695443
2019-03-25,7.920000,7.990000,7.869000,7.901000,7.186492,2021804
2019-03-26,7.950000,7.974000,7.904000,7.960000,7.240157,2723243
2019-03-27,7.997000,7.997000,7.845000,7.891000,7.177397,4720396
