Date,Open,High,Low,Close,Adj Close,Volume
2019-01-16,25.926701,26.600000,25.793301,26.306700,25.654228,1587375
2019-01-17,26.299999,26.533300,26.000000,26.066700,25.420181,1219386
2019-01-18,26.166700,26.393299,26.086700,26.286699,25.634722,1421667
2019-01-21,26.286699,26.879999,26.286699,26.799999,26.135292,1021956
2019-01-22,26.700001,26.860001,26.186701,26.333300,25.680168,1629879
2019-01-23,26.266701,26.586700,26.020000,26.306700,25.654228,808836
2019-01-24,26.426701,27.139999,26.353300,27.006701,26.336866,1625916
2019-01-25,27.160000,27.393299,26.666700,26.879999,26.213306,1740972
2019-01-28,26.879999,26.940001,26.260000,26.446699,25.790754,1166403
2019-01-29,26.546700,26.713301,26.346701,26.639999,25.979259,653985
2019-01-30,26.693300,27.153299,26.693300,27.000000,26.330332,1480674
2019-01-31,27.153299,27.226700,26.600000,26.713301,26.050743,1635027
2019-02-01,26.613300,27.280001,26.613300,26.766701,26.102819,1218024
2019-02-04,26.826700,27.486700,26.746700,27.273300,26.596853,1099500
2019-02-05,27.653299,27.793301,27.313299,27.400000,26.720409,1409952
2019-02-06,28.713301,29.326700,27.713301,28.153299,27.455027,2495385
2019-02-07,28.666700,28.780001,28.266701,28.486700,27.780157,1599735
2019-02-08,28.273300,28.959999,28.219999,28.826700,28.111725,1419489
2019-02-11,28.900000,29.293301,28.793301,28.879999,28.163704,1115469
2019-02-12,29.000000,29.253300,28.799999,29.086700,28.365276,1289529
2019-02-13,29.166700,29.166700,28.700001,28.799999,28.085686,1325115
2019-02-14,28.820000,29.093300,28.793301,29.013300,28.293697,1020351
2019-02-15,29.086700,29.340000,28.933300,29.126699,28.404284,1524846
2019-02-18,29.200001,29.320000,29.053301,29.093300,28.371714,734850
2019-02-19,29.073299,29.373301,28.719999,28.740000,28.027176,1150248
2019-02-20,28.766701,28.959999,28.639999,28.726700,28.014206,747312
2019-02-21,28.733299,28.906700,28.606701,28.853300,28.137665,1061166
2019-02-22,28.766701,29.000000,28.606701,28.840000,28.124695,917259
2019-02-25,28.933300,29.219999,28.593300,28.719999,28.007671,902412
2019-02-26,28.713301,29.133301,28.653299,29.133301,28.410721,658410
2019-02-27,29.100000,29.139999,28.753300,28.833300,28.118160,955095
2019-02-28,28.833300,28.933300,28.166700,28.166700,27.468096,1797621
2019-03-01,29.333300,30.186701,29.033300,30.166700,29.418489,3322989
2019-03-04,30.233299,30.766701,30.100000,30.246700,29.496506,1801509
2019-03-05,30.293301,30.633301,29.913300,30.333300,29.580957,1251351
2019-03-06,30.260000,30.446699,30.219999,30.366699,29.613529,833865
2019-03-07,30.366699,30.406700,30.073299,30.260000,29.509476,855066
2019-03-08,30.000000,30.113300,29.673300,29.833300,29.093359,1417014
2019-03-11,30.086700,30.773300,30.053301,30.773300,30.010044,1196574
2019-03-12,30.946699,31.473301,30.746700,31.000000,30.231121,1925850
2019-03-13,30.893299,30.986700,30.693300,30.886700,30.120632,1274034
2019-03-14,30.866699,31.639999,30.860001,31.633301,30.848715,1150221
2019-03-15,31.633301,31.920000,31.453300,31.506701,30.725256,2323344
2019-03-18,31.553301,31.840000,31.453300,31.813299,31.024250,836814
2019-03-19,31.820000,32.259998,31.793301,32.113300,31.316809,986922
2019-03-20,31.893299,32.013302,31.120001,31.120001,30.348146,1241661
2019-03-21,31.133301,31.600000,31.133301,31.466700,30.686247,833181
2019-03-22,31.466700,31.606701,31.226700,31.333300,30.556154,939423
2019-03-25,31.146700,31.299999,30.879999,31.166700,30.393688,786288
2019-03-26,31.340000,31.526699,31.213301,31.400000,30.621201,1001301
2019-03-27,31.620001,32.386700,31.600000,32.366699,31.563923,1829283
2019-03-28,32.279999,32.340000,31.553301,31.553301,30.770699,1169733
2019-03-29,31.700001,31.866699,31.353300,31.666700,30.881287,1053261
2019-04-01,32.006699,32.206699,31.806700,31.973301,31.180281,1166238
2019-04-02,32.000000,32.973301,31.900000,32.546700,31.739458,1353414
2019-04-03,32.200001,32.840000,32.169998,32.619999,32.186737,1174106
2019-04-04,32.529999,32.709999,32.169998,32.389999,31.959793,848903
2019-04-05,32.430000,33.000000,32.430000,32.860001,32.423553,997842
2019-04-08,33.000000,33.200001,32.700001,33.200001,32.759037,1342393
2019-04-09,33.220001,33.330002,32.720001,32.720001,32.285412,1220623
2019-04-10,32.770000,33.299999,32.750000,32.810001,32.374218,1119514
2019-04-11,32.810001,32.869999,32.520000,32.560001,32.127537,646650
2019-04-12,32.599998,32.740002,32.360001,32.619999,32.186737,911581
2019-04-15,32.700001,32.799999,32.540001,32.759998,32.324879,904006
2019-04-16,32.849998,32.950001,32.259998,32.470001,32.038734,697343
2019-04-17,32.470001,32.580002,31.879999,31.920000,31.496037,865956
2019-04-18,31.950001,32.540001,31.930000,32.209999,31.782185,825544
2019-04-23,32.360001,33.119999,32.360001,32.970001,32.532093,933976
2019-04-24,33.000000,33.000000,32.209999,32.209999,31.782185,1119811
