Date,Open,High,Low,Close,Adj Close,Volume
2019-01-21,5.350000,5.368000,5.300000,5.344000,5.157681,7298914
2019-01-22,5.318000,5.334000,5.236000,5.264000,5.080471,14047754
2019-01-23,5.222000,5.362000,5.204000,5.314000,5.128728,14887661
2019-01-24,5.332000,5.442000,5.308000,5.430000,5.240684,17460725
2019-01-25,5.500000,5.742000,5.486000,5.742000,5.541806,35886031
2019-01-28,5.740000,5.740000,5.598000,5.626000,5.429850,27418083
2019-01-29,5.620000,5.704000,5.592000,5.700000,5.501270,20115948
2019-01-30,5.716000,5.734000,5.592000,5.682000,5.483898,22634211
2019-01-31,5.342000,5.600000,5.266000,5.508000,5.315964,62727794
2019-02-01,5.484000,5.500000,5.352000,5.400000,5.211730,25270117
2019-02-04,5.360000,5.390000,5.226000,5.268000,5.084332,19129849
2019-02-05,5.328000,5.328000,5.240000,5.302000,5.117146,23200049
2019-02-06,5.272000,5.354000,5.262000,5.316000,5.130658,15354531
2019-02-07,5.304000,5.306000,5.224000,5.236000,5.053448,17828347
2019-02-08,5.236000,5.398000,5.200000,5.390000,5.202078,25179174
2019-02-11,5.448000,5.482000,5.408000,5.466000,5.275429,16163501
2019-02-12,5.484000,5.518000,5.416000,5.438000,5.248405,15743572
2019-02-13,5.460000,5.590000,5.450000,5.570000,5.375803,18464009
2019-02-14,5.600000,5.612000,5.534000,5.536000,5.342988,11350696
2019-02-15,5.516000,5.578000,5.488000,5.568000,5.373872,17562523
2019-02-18,5.550000,5.580000,5.532000,5.540000,5.346848,8035707
2019-02-19,5.532000,5.548000,5.370000,5.396000,5.207869,17750459
2019-02-20,5.384000,5.406000,5.300000,5.346000,5.159613,18377819
2019-02-21,5.328000,5.412000,5.306000,5.386000,5.198218,15480941
2019-02-22,5.422000,5.474000,5.376000,5.444000,5.254195,12979531
2019-02-25,5.480000,5.508000,5.398000,5.408000,5.219451,16479140
2019-02-26,5.400000,5.414000,5.320000,5.402000,5.213660,13650711
2019-02-27,5.386000,5.386000,5.310000,5.336000,5.149961,10068641
2019-02-28,5.320000,5.360000,5.282000,5.316000,5.130658,15317243
2019-03-01,5.340000,5.396000,5.312000,5.330000,5.144170,19192973
2019-03-04,5.372000,5.388000,5.330000,5.334000,5.148031,15836779
2019-03-05,5.340000,5.412000,5.334000,5.378000,5.190496,14131988
