Date,Open,High,Low,Close,Adj Close,Volume
2019-01-16,294.600006,296.100006,292.100006,293.899994,289.042145,455808
2019-01-17,293.600006,299.299988,292.500000,298.000000,293.074371,361938
2019-01-18,299.700012,302.100006,298.200012,299.700012,294.746307,348159
2019-01-21,300.000000,302.100006,299.000000,300.700012,295.729767,286483
2019-01-22,299.500000,300.700012,293.100006,293.299988,288.452057,300647
2019-01-23,292.399994,295.200012,290.799988,290.799988,285.993378,597869
2019-01-24,278.000000,282.500000,270.399994,274.100006,269.569427,1809117
2019-01-25,270.100006,275.399994,264.500000,268.200012,263.766968,1525515
2019-01-28,271.100006,278.000000,265.600006,276.899994,272.323151,982776
2019-01-29,277.500000,280.899994,272.100006,279.500000,274.880157,561189
2019-01-30,280.600006,280.799988,276.100006,277.600006,273.011597,449917
2019-01-31,278.100006,279.299988,271.600006,272.100006,267.602478,602982
2019-02-01,272.799988,279.200012,272.799988,278.000000,273.404968,724977
2019-02-04,275.700012,279.700012,275.200012,278.899994,274.290070,424879
2019-02-05,282.200012,290.399994,281.000000,290.399994,285.600006,794320
2019-02-06,290.700012,291.000000,286.000000,288.000000,283.239685,493698
2019-02-07,287.700012,292.399994,287.600006,287.600006,282.846283,537854
2019-02-08,287.600006,290.100006,285.299988,285.500000,280.781006,555614
2019-02-11,287.200012,289.899994,286.000000,288.299988,283.534698,242042
2019-02-12,290.299988,293.100006,289.299988,291.799988,286.976868,320513
2019-02-13,292.700012,295.000000,290.399994,292.200012,287.370270,312314
2019-02-14,292.399994,296.399994,291.899994,294.100006,289.238861,302490
2019-02-15,294.100006,298.500000,292.000000,298.500000,293.566132,379943
2019-02-18,299.000000,301.600006,297.600006,299.399994,294.451233,297790
2019-02-19,299.500000,301.799988,294.799988,297.899994,292.976044,332043
2019-02-20,298.000000,303.899994,297.899994,303.799988,298.778503,382284
2019-02-21,304.799988,306.299988,302.200012,305.399994,300.352081,543811
2019-02-22,305.700012,306.100006,302.200012,304.600006,299.565308,343077
2019-02-25,305.899994,306.100006,301.799988,305.100006,300.057037,317779
2019-02-26,304.799988,307.399994,303.399994,305.299988,300.253723,305795
2019-02-27,305.000000,305.700012,301.799988,302.500000,297.500000,372570
2019-02-28,296.799988,299.500000,292.399994,297.799988,297.799988,386432
2019-03-01,299.000000,301.399994,296.799988,296.799988,296.799988,265445
2019-03-04,293.899994,296.700012,292.299988,293.500000,293.500000,645875
2019-03-05,294.000000,300.299988,292.299988,298.399994,298.399994,364616
2019-03-06,298.000000,298.799988,295.600006,297.299988,297.299988,342569
2019-03-07,298.000000,303.899994,296.799988,300.000000,300.000000,849486
2019-03-08,298.600006,301.500000,298.399994,300.000000,300.000000,547598
2019-03-11,300.299988,302.200012,299.600006,300.899994,300.899994,256555
2019-03-12,302.399994,305.100006,300.799988,303.500000,303.500000,331191
2019-03-13,303.500000,308.299988,303.000000,308.299988,308.299988,439842
2019-03-14,308.500000,312.700012,306.700012,311.000000,311.000000,677280
2019-03-15,311.399994,312.799988,308.899994,310.000000,310.000000,557814
2019-03-18,310.299988,311.600006,307.600006,308.799988,308.799988,293505
2019-03-19,309.600006,312.500000,308.600006,311.799988,311.799988,386290
2019-03-20,310.000000,311.799988,309.200012,311.100006,311.100006,221318
2019-03-21,310.100006,317.399994,309.899994,317.399994,317.399994,449796
2019-03-22,318.399994,320.500000,314.700012,315.899994,315.899994,488338
2019-03-25,315.000000,315.000000,310.200012,313.399994,313.399994,338433
2019-03-26,306.000000,312.799988,305.000000,312.700012,312.700012,469220
2019-03-27,312.500000,313.299988,308.100006,308.500000,308.500000,369262
2019-03-28,309.000000,314.799988,309.000000,311.299988,311.299988,468766
2019-03-29,311.000000,314.000000,306.000000,306.000000,306.000000,531631
2019-04-01,305.700012,312.899994,305.600006,309.799988,309.799988,541691
2019-04-02,310.000000,311.399994,303.700012,306.500000,306.500000,452080
2019-04-03,306.500000,308.299988,303.200012,306.700012,306.700012,493605
2019-04-04,306.600006,307.799988,304.100006,304.500000,304.500000,431671
2019-04-05,305.000000,316.799988,305.000000,315.899994,315.899994,866037
2019-04-08,316.200012,318.000000,313.000000,316.799988,316.799988,313264
2019-04-09,317.000000,319.399994,315.600006,317.000000,317.000000,358259
2019-04-10,317.500000,318.700012,315.399994,316.700012,316.700012,245358
2019-04-11,315.700012,318.000000,311.500000,312.500000,312.500000,435935
2019-04-12,312.399994,315.200012,311.799988,314.600006,314.600006,298400
2019-04-15,315.000000,315.799988,312.600006,314.700012,314.700012,342139
2019-04-16,314.299988,314.600006,310.100006,313.299988,313.299988,429211
2019-04-17,314.500000,314.600006,309.200012,311.899994,311.899994,521074
2019-04-23,312.000000,316.899994,307.500000,316.899994,316.899994,597954
2019-04-24,302.000000,319.100006,300.100006,309.000000,309.000000,1675030
2019-04-25,302.000000,304.799988,296.500000,297.100006,297.100006,1236418
2019-04-26,296.799988,303.899994,295.299988,303.899994,303.899994,631611
2019-04-29,303.500000,307.600006,303.500000,305.600006,305.600006,524864
2019-04-30,304.799988,310.200012,304.399994,310.200012,310.200012,1288004
2019-05-01,311.000000,311.200012,307.299988,311.000000,311.000000,188819
2019-05-02,311.000000,312.299988,309.200012,311.000000,311.000000,496503
2019-05-03,311.000000,313.399994,308.600006,312.000000,312.000000,497378
2019-05-06,308.700012,310.899994,303.899994,310.899994,310.899994,302750
2019-05-07,308.600006,314.799988,307.600006,309.399994,309.399994,1180228
2019-05-08,309.299988,317.600006,309.299988,317.600006,317.600006,632407
2019-05-09,316.899994,321.700012,315.899994,320.200012,320.200012,669012
2019-05-10,321.000000,324.600006,318.799988,324.399994,324.399994,696105
2019-05-13,325.000000,325.500000,319.399994,320.000000,320.000000,602688
2019-05-14,320.100006,323.299988,319.500000,322.000000,322.000000,405720
2019-05-15,325.000000,325.500000,317.899994,321.000000,321.000000,532398
2019-05-16,321.799988,324.600006,319.100006,323.000000,323.000000,498575
2019-05-20,328.399994,328.399994,316.799988,320.000000,320.000000,589006
2019-05-21,321.700012,323.100006,319.100006,322.299988,322.299988,367715
2019-05-22,321.799988,327.299988,321.000000,323.100006,323.100006,477782
2019-05-23,321.200012,322.299988,318.000000,320.000000,320.000000,444836
2019-05-24,320.000000,321.899994,319.100006,320.000000,320.000000,362647
2019-05-27,322.899994,323.399994,318.799988,320.299988,320.299988,187924
2019-05-28,320.299988,322.399994,317.799988,321.299988,321.299988,611998
2019-05-29,319.000000,320.500000,313.399994,314.600006,314.600006,626632
2019-06-03,313.899994,320.100006,311.100006,320.100006,320.100006,731831
2019-06-04,319.000000,319.399994,314.600006,317.500000,317.500000,521675
2019-06-06,320.000000,328.000000,319.399994,328.000000,328.000000,525644
2019-06-07,300.000000,308.799988,297.100006,306.100006,306.100006,2362387
2019-06-11,307.700012,315.600006,306.700012,315.600006,315.600006,1262086
2019-06-12,313.799988,316.200012,312.399994,314.700012,314.700012,776897
2019-06-13,315.000000,315.399994,308.600006,310.000000,310.000000,658365
2019-06-14,308.799988,310.700012,303.399994,305.000000,305.000000,789764
2019-06-17,300.000000,308.500000,297.399994,302.000000,302.000000,847987
2019-06-18,301.399994,307.399994,300.000000,307.000000,307.000000,780852
2019-06-19,307.000000,316.700012,304.500000,316.700012,316.700012,1255664
2019-06-20,316.700012,317.299988,309.799988,310.799988,310.799988,636920
2019-06-21,311.500000,311.500000,304.500000,306.000000,306.000000,834466
2019-06-24,305.299988,307.000000,303.500000,303.700012,303.700012,387035
2019-06-25,302.000000,306.700012,301.299988,305.700012,305.700012,380752
2019-06-26,305.000000,308.000000,303.700012,303.700012,303.700012,340325
2019-06-27,305.100006,307.700012,301.000000,305.600006,305.600006,495912
2019-06-28,306.100006,308.399994,304.000000,306.100006,306.100006,491658
2019-07-01,310.000000,312.899994,309.100006,311.000000,311.000000,367781
2019-07-02,310.899994,311.700012,308.500000,310.200012,310.200012,254583
2019-07-03,309.799988,316.899994,308.200012,313.899994,313.899994,343208
2019-07-04,313.799988,314.500000,310.000000,314.000000,314.000000,211223
2019-07-05,314.600006,315.500000,310.100006,310.700012,310.700012,304686
2019-07-08,310.200012,313.000000,309.200012,311.000000,311.000000,244984
2019-07-09,304.799988,308.700012,303.000000,307.000000,307.000000,441228
2019-07-10,306.000000,306.899994,303.899994,306.200012,306.200012,474453
2019-07-11,305.899994,308.100006,305.500000,306.600006,306.600006,331412
2019-07-12,306.899994,311.500000,306.000000,310.200012,310.200012,370786
2019-07-15,310.000000,313.399994,308.000000,311.100006,311.100006,320730
2019-07-16,309.899994,314.000000,307.500000,312.799988,312.799988,319928
2019-07-17,311.500000,316.200012,310.000000,314.500000,314.500000,421847
2019-07-18,313.600006,316.500000,311.899994,316.399994,316.399994,291357
2019-07-19,316.399994,318.000000,314.799988,316.000000,316.000000,272049
2019-07-22,315.700012,316.100006,313.100006,315.000000,315.000000,265676
2019-07-23,315.600006,319.000000,314.299988,319.000000,319.000000,311026
2019-07-24,319.500000,320.100006,315.600006,317.899994,317.899994,204564
2019-07-25,318.000000,319.299988,314.600006,318.000000,318.000000,272729
2019-07-26,318.500000,320.500000,315.600006,316.299988,316.299988,433509
2019-07-29,316.600006,320.399994,314.399994,319.700012,319.700012,167547
2019-07-30,319.000000,319.000000,312.200012,313.000000,313.000000,311332
2019-07-31,313.799988,314.500000,310.200012,313.299988,313.299988,432327
2019-08-01,312.299988,315.600006,310.700012,315.100006,315.100006,351714
2019-08-02,311.899994,315.299988,309.299988,311.100006,311.100006,369178
2019-08-05,309.500000,310.500000,297.600006,301.799988,301.799988,720292
2019-08-06,299.600006,304.200012,296.399994,301.299988,301.299988,595742
2019-08-07,301.299988,305.399994,300.899994,301.799988,301.799988,723963
2019-08-08,300.000000,301.000000,283.399994,288.799988,288.799988,1500576
2019-08-09,287.000000,295.799988,285.500000,291.500000,291.500000,813142
2019-08-12,291.899994,293.100006,278.799988,280.399994,280.399994,695483
2019-08-13,279.500000,281.700012,275.100006,279.200012,279.200012,767534
2019-08-14,278.399994,278.399994,272.899994,273.899994,273.899994,741262
2019-08-15,274.899994,276.500000,268.399994,272.600006,272.600006,594904
2019-08-16,272.000000,278.100006,271.899994,278.100006,278.100006,510874
2019-08-19,280.500000,283.500000,277.299988,279.200012,279.200012,476947
2019-08-20,279.299988,283.200012,276.700012,277.600006,277.600006,635485
2019-08-21,278.399994,280.000000,276.700012,276.700012,276.700012,585381
2019-08-22,276.600006,278.500000,273.899994,274.299988,274.299988,532853
2019-08-23,274.399994,276.500000,271.799988,273.000000,273.000000,519198
2019-08-26,271.000000,273.000000,267.799988,270.899994,270.899994,428241
2019-08-27,271.000000,272.200012,268.399994,271.500000,271.500000,814674
2019-08-28,271.899994,271.899994,267.500000,269.399994,269.399994,378399
2019-08-29,270.600006,282.500000,270.600006,281.799988,281.799988,785864
2019-08-30,283.100006,291.299988,282.700012,289.299988,289.299988,794263
2019-09-02,288.500000,290.299988,286.299988,288.299988,288.299988,297667
2019-09-03,288.000000,291.000000,285.899994,286.799988,286.799988,405358
2019-09-04,288.100006,294.700012,288.100006,294.700012,294.700012,393973
2019-09-05,296.399994,297.299988,290.299988,290.299988,290.299988,518201
2019-09-06,292.000000,293.399994,288.799988,291.299988,291.299988,355449
2019-09-09,290.899994,293.500000,290.399994,291.399994,291.399994,311712
2019-09-10,292.000000,292.899994,287.500000,292.200012,292.200012,398434
2019-09-11,292.899994,301.000000,292.200012,301.000000,301.000000,398723
2019-09-12,301.700012,302.299988,291.500000,293.500000,293.500000,734138
2019-09-13,293.000000,295.500000,291.500000,291.799988,291.799988,336300
2019-09-16,290.100006,296.700012,289.100006,293.299988,293.299988,307751
2019-09-17,293.000000,296.700012,291.899994,296.700012,296.700012,400761
2019-09-18,297.200012,297.600006,294.799988,297.299988,297.299988,325656
2019-09-19,297.000000,298.799988,291.700012,293.500000,293.500000,446201
2019-09-20,292.700012,293.500000,288.600006,290.299988,290.299988,655831
2019-09-23,290.200012,293.799988,287.299988,291.799988,291.799988,308738
2019-09-24,292.899994,295.000000,290.200012,291.000000,291.000000,291715
2019-09-25,291.299988,291.500000,285.600006,287.500000,287.500000,377609
2019-09-26,287.000000,291.000000,286.700012,290.600006,290.600006,423998
2019-09-27,291.500000,291.600006,288.399994,289.700012,289.700012,309408
2019-09-30,286.000000,288.899994,282.000000,288.000000,288.000000,459703
2019-10-01,286.000000,286.899994,279.299988,281.500000,281.500000,654422
2019-10-02,280.000000,283.799988,279.299988,279.700012,279.700012,660103
2019-10-03,279.399994,283.399994,277.600006,281.799988,281.799988,362594
2019-10-04,282.799988,285.100006,282.100006,282.500000,282.500000,528885
2019-10-07,283.500000,287.100006,283.500000,286.000000,286.000000,326115
2019-10-08,286.000000,288.299988,283.899994,284.100006,284.100006,259626
2019-10-09,283.799988,287.500000,283.000000,284.200012,284.200012,443128
2019-10-10,269.899994,286.700012,268.700012,283.299988,283.299988,1781153
2019-10-11,283.899994,296.100006,283.500000,292.600006,292.600006,619831
2019-10-14,292.600006,299.299988,291.200012,298.399994,298.399994,524883
2019-10-15,298.000000,314.799988,297.799988,304.399994,304.399994,1034471
2019-10-16,303.500000,305.399994,296.399994,298.399994,298.399994,560705
2019-10-17,295.100006,297.200012,287.299988,287.899994,287.899994,958717
2019-10-18,287.100006,292.399994,286.500000,286.899994,286.899994,624496
2019-10-21,286.799988,290.500000,286.799988,289.100006,289.100006,390979
2019-10-22,289.100006,291.799988,286.700012,290.000000,290.000000,637387
2019-10-23,290.000000,306.399994,289.000000,304.299988,304.299988,1268130
2019-10-24,303.799988,310.500000,302.399994,310.000000,310.000000,596107
2019-10-25,311.399994,317.200012,306.500000,316.500000,316.500000,646539
2019-10-28,315.899994,317.600006,312.299988,315.200012,315.200012,402042
2019-10-29,314.399994,314.399994,308.899994,310.500000,310.500000,468605
2019-10-30,310.299988,315.299988,308.700012,315.000000,315.000000,616844
2019-10-31,315.000000,319.000000,313.299988,315.399994,315.399994,373799
2019-11-01,316.600006,320.399994,316.399994,319.399994,319.399994,241695
2019-11-04,318.000000,320.500000,315.399994,319.799988,319.799988,601347
2019-11-05,319.700012,321.899994,317.899994,321.100006,321.100006,309084
2019-11-06,320.899994,323.700012,319.200012,323.700012,323.700012,336955
2019-11-07,325.299988,325.500000,319.200012,320.000000,320.000000,381296
2019-11-08,320.700012,322.299988,316.500000,318.000000,318.000000,417979
2019-11-11,317.899994,319.399994,314.899994,316.700012,316.700012,323388
2019-11-12,316.399994,318.700012,314.399994,316.700012,316.700012,333833
2019-11-13,314.200012,315.899994,313.299988,314.700012,314.700012,341487
2019-11-14,314.799988,315.700012,311.600006,313.899994,313.899994,347512
2019-11-15,314.000000,315.899994,312.100006,314.100006,314.100006,294079
2019-11-18,310.500000,316.600006,310.500000,316.000000,316.000000,303117
2019-11-19,316.200012,316.799988,312.200012,312.399994,312.399994,245949
2019-11-20,315.000000,320.500000,314.100006,317.799988,317.799988,587082
2019-11-21,316.899994,321.000000,315.299988,319.000000,319.000000,438563
2019-11-22,318.000000,319.899994,317.799988,318.100006,318.100006,304635
2019-11-25,318.100006,325.500000,318.000000,325.500000,325.500000,288338
2019-11-26,325.600006,328.799988,323.500000,328.799988,328.799988,479825
2019-11-27,328.500000,328.899994,325.700012,325.700012,325.700012,357374
2019-11-28,325.799988,327.299988,323.799988,326.399994,326.399994,135270
2019-11-29,325.500000,326.700012,323.399994,324.000000,324.000000,250880
2019-12-02,323.899994,332.600006,323.200012,329.600006,329.600006,591707
2019-12-03,329.100006,329.700012,325.200012,326.100006,326.100006,320851
2019-12-04,325.600006,329.399994,325.500000,327.799988,327.799988,214219
2019-12-05,328.000000,330.299988,327.100006,330.000000,330.000000,182111
2019-12-06,326.799988,329.899994,326.100006,329.899994,329.899994,171983
2019-12-09,330.000000,335.000000,329.899994,334.299988,334.299988,291767
2019-12-10,334.200012,334.200012,328.100006,329.399994,329.399994,297101
2019-12-11,328.200012,329.500000,323.600006,324.000000,324.000000,338324
2019-12-12,325.399994,329.500000,324.799988,326.500000,326.500000,496641
2019-12-13,330.000000,331.799988,325.600006,326.000000,326.000000,506353
2019-12-16,327.500000,328.700012,323.100006,323.600006,323.600006,561858
2019-12-17,320.299988,322.600006,317.899994,321.500000,321.500000,738702
2019-12-18,321.000000,322.200012,318.799988,319.000000,319.000000,485330
2019-12-19,319.200012,320.000000,317.200012,319.100006,319.100006,394087
2019-12-20,318.899994,321.899994,317.600006,319.899994,319.899994,421066
2019-12-23,320.700012,327.100006,320.399994,326.899994,326.899994,302823
2019-12-27,327.000000,331.299988,326.500000,330.000000,330.000000,176130
2019-12-30,329.000000,329.600006,326.000000,326.000000,326.000000,163830
2020-01-02,326.399994,329.600006,324.700012,327.100006,327.100006,272837
2020-01-03,326.399994,326.799988,321.899994,322.500000,322.500000,227524
2020-01-06,321.000000,322.399994,317.000000,321.200012,321.200012,222047
2020-01-07,321.200012,325.299988,321.100006,322.000000,322.000000,258822
2020-01-08,326.799988,328.799988,322.700012,322.700012,322.700012,444422
2020-01-09,322.700012,323.399994,316.100006,316.200012,316.200012,633448
2020-01-10,316.000000,322.000000,314.899994,322.000000,322.000000,388412
2020-01-13,321.500000,322.899994,318.799988,320.000000,320.000000,288252
2020-01-14,318.000000,319.000000,314.500000,318.399994,318.399994,331505
2020-01-15,315.399994,318.500000,314.700012,318.500000,318.500000,365612
2020-01-16,319.000000,321.399994,318.100006,318.399994,318.399994,76887
