Date,Open,High,Low,Close,Adj Close,Volume
2019-01-21,4.044000,4.059000,3.970000,3.992000,3.812396,1801724
2019-01-22,3.882000,3.907000,3.719000,3.797000,3.626169,4423015
2019-01-23,3.800000,3.888000,3.749000,3.812000,3.640494,2209397
2019-01-24,3.830000,3.919000,3.830000,3.918000,3.741725,1857631
2019-01-25,3.940000,4.020000,3.939000,4.005000,3.824811,3106151
2019-01-28,4.010000,4.046000,3.896000,3.904000,3.728355,2240162
2019-01-29,3.933000,3.971000,3.859000,3.859000,3.685380,2499828
2019-01-30,3.877000,3.929000,3.826000,3.855000,3.681560,3057775
2019-01-31,3.800000,3.930000,3.726000,3.747000,3.578419,6489845
2019-02-01,3.770000,3.886000,3.729000,3.814000,3.642404,2966866
2019-02-04,3.828000,3.843000,3.685000,3.727000,3.559319,3577355
2019-02-05,3.764000,3.956000,3.759000,3.938000,3.760825,4730141
2019-02-06,3.960000,4.113000,3.944000,4.015000,3.834361,5096318
2019-02-07,3.700000,3.835000,3.502000,3.502000,3.344442,17445285
2019-02-08,3.500000,3.580000,3.150000,3.168000,3.025468,13501715
2019-02-11,3.200000,3.425000,3.200000,3.407000,3.253716,7829426
2019-02-12,3.420000,3.460000,3.247000,3.289000,3.141025,6557134
2019-02-13,3.320000,3.362000,3.224000,3.344000,3.193550,4071657
2019-02-14,3.367000,3.380000,3.289000,3.322000,3.172540,3773036
2019-02-15,3.300000,3.356000,3.268000,3.354000,3.203100,3758387
2019-02-18,3.371000,3.458000,3.370000,3.420000,3.266131,3302043
2019-02-19,3.434000,3.446000,3.388000,3.424000,3.269951,2487207
2019-02-20,3.451000,3.550000,3.445000,3.545000,3.385507,3414390
2019-02-21,3.550000,3.550000,3.456000,3.482000,3.325341,2422424
2019-02-22,3.488000,3.559000,3.476000,3.538000,3.378822,2688175
2019-02-25,3.570000,3.682000,3.570000,3.582000,3.420842,2880698
2019-02-26,3.590000,3.638000,3.518000,3.615000,3.452358,3440054
2019-02-27,3.600000,3.642000,3.541000,3.562000,3.401742,3637785
2019-02-28,3.540000,3.553000,3.437000,3.503000,3.345397,4104086
2019-03-01,3.536000,3.669000,3.536000,3.597000,3.435167,4075002
2019-03-04,3.637000,3.649000,3.593000,3.606000,3.443762,2045644
2019-03-05,3.614000,3.678000,3.590000,3.602000,3.439942,2565244
2019-03-06,3.605000,3.614000,3.559000,3.576000,3.415112,1836837
2019-03-07,3.560000,3.561000,3.462000,3.482000,3.325341,3256006
2019-03-08,3.448000,3.448000,3.356000,3.395000,3.242255,2947015
2019-03-11,3.420000,3.459000,3.380000,3.419000,3.265176,2434455
2019-03-12,3.458000,3.540000,3.429000,3.435000,3.280456,4003371
2019-03-13,3.420000,3.486000,3.398000,3.479000,3.322476,1952336
2019-03-14,3.489000,3.509000,3.416000,3.438000,3.283321,2467222
2019-03-15,3.477000,3.501000,3.451000,3.468000,3.311971,3597982
2019-03-18,3.500000,3.591000,3.499000,3.519000,3.360677,2819366
2019-03-19,3.550000,3.569000,3.456000,3.569000,3.408427,2478234
2019-03-20,3.531000,3.646000,3.502000,3.602000,3.439942,2705176
2019-03-21,3.610000,3.730000,3.610000,3.650000,3.485783,2663067
2019-03-22,3.670000,3.670000,3.439000,3.450000,3.294781,4280145
2019-03-25,3.456000,3.469000,3.323000,3.335000,3.184955,4269497
2019-03-26,3.357000,3.435000,3.320000,3.371000,3.219335,3293130
2019-03-27,3.401000,3.466000,3.317000,3.334000,3.184000,3264863
2019-03-28,3.210000,3.260000,3.175000,3.186000,3.186000,3249424
2019-03-29,3.230000,3.263000,3.210000,3.238000,3.238000,2384683
2019-04-01,3.320000,3.487000,3.310000,3.454000,3.454000,5573017
2019-04-02,3.478000,3.610000,3.472000,3.590000,3.590000,4760221
2019-04-03,3.663000,3.788000,3.651000,3.692000,3.692000,5368589
2019-04-04,3.710000,3.719000,3.592000,3.681000,3.681000,3245211
2019-04-05,3.690000,3.740000,3.630000,3.680000,3.680000,2647186
2019-04-08,3.696000,3.710000,3.602000,3.677000,3.677000,3461224
2019-04-09,3.677000,3.759000,3.665000,3.684000,3.684000,2595640
2019-04-10,3.680000,3.749000,3.637000,3.660000,3.660000,2894704
2019-04-11,3.660000,3.690000,3.596000,3.620000,3.620000,2512644
2019-04-12,3.590000,3.713000,3.474000,3.698000,3.698000,4683763
2019-04-15,3.695000,3.728000,3.660000,3.677000,3.677000,1829361
2019-04-16,3.680000,3.708000,3.626000,3.662000,3.662000,1748036
2019-04-17,3.642000,3.798000,3.642000,3.733000,3.733000,3201323
2019-04-18,3.723000,3.725000,3.611000,3.691000,3.691000,1920196
2019-04-23,3.690000,3.694000,3.630000,3.634000,3.634000,1651566
2019-04-24,3.631000,3.645000,3.503000,3.515000,3.515000,2751829
2019-04-25,3.503000,3.608000,3.460000,3.480000,3.480000,3272959
2019-04-26,3.479000,3.479000,3.394000,3.419000,3.419000,2645887
2019-04-29,3.431000,3.472000,3.407000,3.446000,3.446000,1624602
2019-04-30,3.459000,3.459000,3.382000,3.399000,3.399000,1880231
2019-05-02,3.375000,3.375000,3.253000,3.260000,3.260000,3287785
2019-05-03,3.225000,3.277000,3.185000,3.253000,3.253000,3411424
2019-05-06,3.152000,3.223000,3.094000,3.216000,3.216000,3407095
2019-05-07,3.080000,3.148000,2.900000,3.030000,3.030000,9595512
2019-05-08,3.031000,3.112000,2.972000,3.040000,3.040000,5604399
2019-05-09,3.040000,3.040000,2.763000,2.763000,2.763000,9754203
2019-05-10,2.800000,2.901000,2.792000,2.835000,2.835000,5549273
2019-05-13,2.835000,2.836000,2.697000,2.702000,2.702000,5061178
2019-05-14,2.739000,2.850000,2.706000,2.828000,2.828000,4472181
2019-05-15,2.875000,2.875000,2.706000,2.776000,2.776000,3885477
2019-05-16,2.776000,2.817000,2.742000,2.817000,2.817000,2487682
2019-05-17,2.815000,2.832000,2.722000,2.821000,2.821000,2850435
2019-05-20,2.840000,2.840000,2.721000,2.725000,2.725000,3287303
2019-05-21,2.751000,2.817000,2.733000,2.810000,2.810000,2151404
2019-05-22,2.810000,2.810000,2.739000,2.751000,2.751000,2033415
2019-05-23,2.725000,2.730000,2.595000,2.618000,2.618000,4333230
2019-05-24,2.697000,2.734000,2.662000,2.709000,2.709000,4123056
2019-05-27,2.736000,2.755000,2.717000,2.735000,2.735000,861095
2019-05-28,2.740000,2.758000,2.657000,2.670000,2.670000,2352232
2019-05-29,2.622000,2.622000,2.562000,2.620000,2.620000,3563589
2019-05-31,2.600000,2.640000,2.544000,2.632000,2.632000,2893165
2019-06-03,2.623000,2.623000,2.515000,2.609000,2.609000,3913013
2019-06-04,2.600000,2.680000,2.563000,2.663000,2.663000,3614977
2019-06-05,2.697000,2.712000,2.605000,2.631000,2.631000,2750843
2019-06-06,2.629000,2.671000,2.606000,2.627000,2.627000,1576002
2019-06-07,2.642000,2.678000,2.627000,2.658000,2.658000,1666188
2019-06-10,2.688000,2.763000,2.685000,2.723000,2.723000,2257503
2019-06-11,2.770000,2.851000,2.758000,2.841000,2.841000,3107430
2019-06-12,2.925000,3.017000,2.880000,2.905000,2.905000,4869062
2019-06-13,2.900000,2.952000,2.854000,2.942000,2.942000,2331351
2019-06-14,2.931000,2.932000,2.805000,2.805000,2.805000,3203570
2019-06-17,2.820000,2.845000,2.706000,2.741000,2.741000,2754934
2019-06-18,2.741000,2.955000,2.718000,2.950000,2.950000,3589978
2019-06-19,2.950000,2.975000,2.875000,2.938000,2.938000,2049990
2019-06-20,2.976000,3.041000,2.910000,2.986000,2.986000,5989525
2019-06-24,2.986000,3.022000,2.860000,2.874000,2.874000,2441187
2019-06-25,2.874000,2.895000,2.805000,2.828000,2.828000,2648488
2019-06-26,2.830000,2.975000,2.821000,2.952000,2.952000,4162853
2019-06-27,2.899000,2.985000,2.886000,2.967000,2.967000,3555667
2019-06-28,2.967000,3.010000,2.947000,3.000000,3.000000,2914535
2019-07-01,3.053000,3.120000,3.020000,3.046000,3.046000,3746066
2019-07-02,3.051000,3.060000,2.951000,2.989000,2.989000,3061540
2019-07-03,2.971000,3.002000,2.910000,2.994000,2.994000,1832748
2019-07-04,2.990000,3.048000,2.944000,2.958000,2.958000,2366027
2019-07-05,2.950000,2.961000,2.887000,2.908000,2.908000,2080056
2019-07-08,2.886000,2.958000,2.864000,2.889000,2.889000,1782669
2019-07-09,2.880000,2.880000,2.777000,2.780000,2.780000,3014526
2019-07-10,2.801000,2.844000,2.771000,2.771000,2.771000,2066780
2019-07-11,2.800000,2.819000,2.672000,2.673000,2.673000,4046303
2019-07-12,2.691000,2.722000,2.640000,2.649000,2.649000,3985967
2019-07-15,2.676000,2.735000,2.670000,2.703000,2.703000,2562083
2019-07-16,2.710000,2.832000,2.710000,2.825000,2.825000,3031856
2019-07-17,2.779000,2.791000,2.670000,2.674000,2.674000,4253312
2019-07-18,2.670000,2.714000,2.647000,2.685000,2.685000,2043316
2019-07-19,2.734000,2.806000,2.710000,2.792000,2.792000,3366234
2019-07-22,2.795000,2.873000,2.760000,2.793000,2.793000,3271577
2019-07-23,2.801000,2.931000,2.801000,2.920000,2.920000,4859739
2019-07-24,2.900000,2.918000,2.833000,2.858000,2.858000,2364927
2019-07-25,2.865000,2.924000,2.767000,2.799000,2.799000,3320450
2019-07-26,2.800000,2.800000,2.719000,2.723000,2.723000,2115387
2019-07-29,2.730000,2.743000,2.668000,2.686000,2.686000,1968214
2019-07-30,2.700000,2.721000,2.590000,2.603000,2.603000,3271729
2019-07-31,2.600000,2.648000,2.592000,2.610000,2.610000,3250368
2019-08-01,2.490000,2.630000,2.440000,2.470000,2.470000,7056985
2019-08-02,2.411000,2.470000,2.370000,2.441000,2.441000,4880800
2019-08-05,2.366000,2.494000,2.357000,2.428000,2.428000,6885420
2019-08-06,2.420000,2.512000,2.397000,2.466000,2.466000,3912186
2019-08-07,2.486000,2.535000,2.441000,2.523000,2.523000,3279541
2019-08-08,2.570000,2.654000,2.570000,2.636000,2.636000,4139402
2019-08-09,2.650000,2.679000,2.576000,2.590000,2.590000,3370611
2019-08-12,2.612000,2.631000,2.529000,2.570000,2.570000,2572682
2019-08-13,2.568000,2.733000,2.514000,2.692000,2.692000,4006945
2019-08-14,2.690000,2.690000,2.505000,2.509000,2.509000,4295424
2019-08-15,2.518000,2.575000,2.420000,2.514000,2.514000,4418851
2019-08-16,2.523000,2.567000,2.521000,2.549000,2.549000,2482935
2019-08-19,2.588000,2.648000,2.570000,2.642000,2.642000,3415399
2019-08-20,2.632000,2.650000,2.572000,2.602000,2.602000,2516500
2019-08-21,2.605000,2.670000,2.590000,2.623000,2.623000,1975806
2019-08-22,2.618000,2.720000,2.583000,2.709000,2.709000,3180429
2019-08-23,2.741000,2.770000,2.610000,2.634000,2.634000,2962472
2019-08-26,2.600000,2.660000,2.563000,2.622000,2.622000,2799654
2019-08-27,2.630000,2.639000,2.569000,2.580000,2.580000,2441764
2019-08-28,2.582000,2.585000,2.475000,2.529000,2.529000,3750548
2019-08-29,2.530000,2.590000,2.520000,2.590000,2.590000,2384665
2019-08-30,2.594000,2.672000,2.581000,2.627000,2.627000,3281060
2019-09-02,2.644000,2.748000,2.625000,2.730000,2.730000,4734172
2019-09-03,2.734000,2.734000,2.677000,2.687000,2.687000,3164039
2019-09-04,2.730000,2.804000,2.707000,2.801000,2.801000,3341799
2019-09-05,2.836000,2.900000,2.830000,2.893000,2.893000,3756608
2019-09-06,2.912000,2.934000,2.840000,2.909000,2.909000,2522019
2019-09-09,2.910000,2.948000,2.883000,2.933000,2.933000,1952904
2019-09-10,2.928000,2.973000,2.903000,2.941000,2.941000,3160031
2019-09-11,2.950000,3.010000,2.947000,2.950000,2.950000,2697643
2019-09-12,2.991000,3.023000,2.945000,2.979000,2.979000,2906291
2019-09-13,2.987000,3.118000,2.976000,3.097000,3.097000,5050242
2019-09-16,3.074000,3.103000,3.001000,3.086000,3.086000,2602497
2019-09-17,3.048000,3.086000,2.972000,3.031000,3.031000,3533965
2019-09-18,3.035000,3.087000,2.907000,2.934000,2.934000,4231821
2019-09-19,2.915000,2.931000,2.823000,2.831000,2.831000,4240992
2019-09-20,2.840000,2.857000,2.775000,2.830000,2.830000,2976788
2019-09-23,2.827000,2.827000,2.722000,2.730000,2.730000,3015243
2019-09-24,2.725000,2.740000,2.527000,2.542000,2.542000,9869259
2019-09-25,2.546000,2.562000,2.472000,2.515000,2.515000,5222234
2019-09-26,2.525000,2.540000,2.450000,2.454000,2.454000,4851898
2019-09-27,2.475000,2.505000,2.453000,2.467000,2.467000,3181087
2019-09-30,2.479000,2.489000,2.410000,2.417000,2.417000,4097104
2019-10-01,2.439000,2.470000,2.383000,2.386000,2.386000,3780902
2019-10-02,2.400000,2.407000,2.345000,2.352000,2.352000,4140293
2019-10-03,2.350000,2.356000,2.291000,2.309000,2.309000,4279030
2019-10-04,2.331000,2.338000,2.219000,2.231000,2.231000,5619317
2019-10-07,2.231000,2.284000,2.160000,2.273000,2.273000,4184139
2019-10-08,2.291000,2.320000,2.248000,2.267000,2.267000,3658732
2019-10-09,2.260000,2.303000,2.243000,2.260000,2.260000,3592619
2019-10-10,2.260000,2.419000,2.260000,2.410000,2.410000,5447228
2019-10-11,2.521000,2.621000,2.510000,2.614000,2.614000,8171992
2019-10-14,2.628000,2.637000,2.510000,2.565000,2.565000,3804456
2019-10-15,2.570000,2.621000,2.556000,2.618000,2.618000,2529222
2019-10-16,2.610000,2.691000,2.578000,2.663000,2.663000,4025478
2019-10-17,2.650000,2.695000,2.614000,2.686000,2.686000,2652624
2019-10-18,2.650000,2.685000,2.592000,2.612000,2.612000,3084678
2019-10-21,2.612000,2.738000,2.608000,2.724000,2.724000,4235851
2019-10-22,2.720000,2.762000,2.687000,2.702000,2.702000,2103337
2019-10-23,2.679000,2.772000,2.642000,2.713000,2.713000,3230778
2019-10-24,2.705000,2.755000,2.654000,2.675000,2.675000,2398986
2019-10-25,2.678000,2.716000,2.662000,2.693000,2.693000,2323207
2019-10-28,2.693000,2.710000,2.616000,2.676000,2.676000,3566273
2019-10-29,2.676000,2.684000,2.596000,2.650000,2.650000,2205651
2019-10-30,2.600000,2.640000,2.529000,2.564000,2.564000,3486030
2019-10-31,2.427000,2.640000,2.400000,2.539000,2.539000,7244750
2019-11-01,2.530000,2.688000,2.508000,2.630000,2.630000,2690950
2019-11-04,2.630000,2.800000,2.628000,2.742000,2.742000,5519434
2019-11-05,2.761000,2.912000,2.745000,2.847000,2.847000,5010564
2019-11-06,2.800000,2.836000,2.769000,2.810000,2.810000,3981398
2019-11-07,2.810000,2.891000,2.802000,2.870000,2.870000,3562959
2019-11-08,2.855000,2.888000,2.804000,2.878000,2.878000,3459562
2019-11-11,2.859000,2.904000,2.815000,2.864000,2.864000,3173583
2019-11-12,2.867000,2.905000,2.818000,2.830000,2.830000,2806904
2019-11-13,2.810000,2.853000,2.744000,2.763000,2.763000,2866335
2019-11-14,2.760000,2.788000,2.719000,2.738000,2.738000,2050393
2019-11-15,2.751000,2.780000,2.712000,2.753000,2.753000,1936875
2019-11-18,2.765000,2.809000,2.674000,2.688000,2.688000,2230677
2019-11-19,2.694000,2.759000,2.680000,2.731000,2.731000,2384619
2019-11-20,2.710000,2.742000,2.673000,2.739000,2.739000,2177864
2019-11-21,2.698000,2.716000,2.640000,2.659000,2.659000,3389650
2019-11-22,2.650000,2.783000,2.650000,2.781000,2.781000,3525738
2019-11-25,2.780000,2.810000,2.691000,2.749000,2.749000,4250276
2019-11-26,2.750000,2.776000,2.690000,2.710000,2.710000,2458031
2019-11-27,2.730000,2.770000,2.701000,2.701000,2.701000,1836127
2019-11-28,2.690000,2.700000,2.601000,2.616000,2.616000,3292050
2019-11-29,2.608000,2.658000,2.584000,2.601000,2.601000,2353719
2019-12-02,2.610000,2.670000,2.590000,2.591000,2.591000,3131968
2019-12-03,2.591000,2.614000,2.540000,2.553000,2.553000,2754124
2019-12-04,2.552000,2.660000,2.550000,2.625000,2.625000,2408799
2019-12-05,2.640000,2.658000,2.595000,2.611000,2.611000,2321424
2019-12-09,2.646000,2.768000,2.643000,2.729000,2.729000,4389224
2019-12-10,2.736000,2.786000,2.690000,2.770000,2.770000,2606973
2019-12-11,2.765000,2.807000,2.742000,2.768000,2.768000,2814564
2019-12-12,2.771000,2.789000,2.674000,2.761000,2.761000,3726050
2019-12-13,2.814000,2.882000,2.801000,2.835000,2.835000,4757495
2019-12-16,2.856000,2.938000,2.846000,2.876000,2.876000,3549873
