Date,Open,High,Low,Close,Adj Close,Volume
2019-01-15,55.250000,55.950001,55.250000,55.500000,50.378384,134110
2019-01-16,55.799999,56.299999,55.549999,56.200001,51.013786,164319
2019-01-17,56.049999,56.900002,56.000000,56.250000,51.059174,168683
2019-01-18,56.750000,56.950001,56.200001,56.250000,51.059174,176228
2019-01-21,56.200001,56.799999,56.000000,56.700001,51.467648,142238
2019-01-22,56.700001,57.750000,56.599998,57.650002,52.329979,269430
2019-01-23,57.799999,57.799999,57.000000,57.099998,51.830730,201968
2019-01-24,57.200001,57.799999,57.049999,57.150002,51.876122,136556
2019-01-25,57.099998,57.799999,57.099998,57.400002,52.103054,137648
2019-01-28,57.700001,57.849998,57.099998,57.299999,52.012276,209693
2019-01-29,57.549999,58.700001,57.549999,58.500000,53.101540,244008
2019-01-30,58.549999,58.799999,58.150002,58.299999,52.919994,247476
2019-01-31,58.400002,59.849998,58.400002,59.500000,54.009258,379446
2019-02-01,59.799999,59.900002,59.099998,59.549999,54.054642,255995
2019-02-04,59.950001,59.950001,58.650002,59.200001,53.736946,244600
2019-02-05,60.000000,60.000000,56.950001,58.500000,53.101540,861087
2019-02-06,58.549999,60.049999,58.250000,59.450001,53.963871,278556
2019-02-07,59.500000,59.849998,58.299999,58.599998,53.192310,270999
2019-02-08,58.450001,58.650002,57.900002,58.450001,53.056152,210864
2019-02-11,58.500000,59.250000,58.450001,58.900002,53.464630,227473
2019-02-12,59.000000,59.400002,58.150002,58.500000,53.101540,273595
2019-02-13,58.599998,59.150002,58.099998,58.450001,53.056152,131317
2019-02-14,58.450001,59.500000,58.450001,59.000000,53.555397,305188
2019-02-15,59.049999,59.950001,58.650002,59.950001,54.417732,372051
2019-02-18,59.750000,60.349998,59.299999,59.450001,53.963871,158145
2019-02-19,59.349998,59.500000,58.849998,58.950001,53.510010,86192
2019-02-20,59.099998,60.299999,59.099998,59.849998,54.326958,339840
2019-02-21,59.849998,59.849998,59.200001,59.200001,53.736946,149410
2019-02-22,59.299999,60.400002,59.200001,59.799999,54.281574,137791
2019-02-25,59.799999,60.349998,59.450001,59.900002,54.372345,152185
2019-02-26,60.000000,60.000000,59.400002,59.549999,54.054642,222588
2019-02-27,59.549999,59.799999,59.049999,59.650002,54.145416,210197
2019-02-28,59.650002,59.950001,59.099998,59.950001,54.417732,314637
2019-03-01,60.400002,60.500000,59.599998,59.650002,54.145416,157961
2019-03-04,59.700001,60.150002,59.700001,59.799999,54.281574,177533
2019-03-05,59.799999,60.150002,59.650002,59.950001,54.417732,219368
2019-03-06,59.950001,59.950001,59.000000,59.549999,54.054642,525760
2019-03-07,59.500000,59.700001,58.950001,59.400002,53.918484,358309
2019-03-08,59.250000,59.500000,58.650002,59.250000,53.782330,133434
2019-03-11,59.250000,59.750000,58.799999,58.900002,53.464630,281854
2019-03-12,59.150002,59.900002,59.000000,59.549999,54.054642,135291
2019-03-13,59.849998,61.299999,59.599998,60.349998,54.780819,397915
2019-03-14,60.549999,61.799999,60.500000,60.950001,55.325451,745548
2019-03-15,58.000000,58.700001,58.000000,58.200001,52.829224,19894699
2019-03-18,58.299999,58.849998,58.299999,58.500000,53.101540,788487
2019-03-19,58.650002,59.299999,58.400002,58.950001,53.510010,841316
2019-03-20,59.200001,59.200001,58.349998,58.700001,53.283081,921732
2019-03-21,58.650002,58.700001,58.000000,58.049999,52.693066,678987
2019-03-22,58.150002,58.150002,57.099998,57.099998,51.830730,1008029
2019-03-25,57.250000,57.250000,56.599998,56.599998,51.376873,794319
2019-03-26,56.700001,56.900002,56.250000,56.799999,51.558414,670200
2019-03-27,57.000000,57.450001,56.849998,57.000000,51.739960,469911
2019-03-28,57.200001,57.549999,56.500000,57.000000,51.739960,687387
2019-03-29,57.000000,57.700001,56.799999,57.599998,52.284588,405955
2019-04-01,58.650002,59.299999,58.500000,59.000000,53.555397,1095448
2019-04-02,59.150002,59.750000,59.000000,59.299999,53.827713,561161
2019-04-03,59.450001,60.299999,59.099998,59.549999,54.054642,675019
2019-04-04,59.700001,60.900002,59.400002,60.799999,55.189289,576764
2019-04-05,60.799999,61.000000,60.299999,60.450001,54.871590,484103
2019-04-08,60.549999,60.700001,59.799999,60.049999,54.508503,467951
2019-04-09,60.200001,61.200001,59.950001,60.500000,54.916973,681088
2019-04-10,60.500000,60.700001,60.299999,60.500000,54.916973,345350
2019-04-11,60.549999,60.650002,60.400002,60.450001,54.871590,447272
2019-04-12,60.549999,60.900002,60.349998,60.900002,55.280064,443454
2019-04-15,61.150002,61.450001,60.849998,60.900002,55.280064,429226
2019-04-16,61.000000,61.599998,61.000000,61.599998,55.915462,404745
2019-04-17,61.650002,61.900002,61.200001,61.700001,56.006237,347313
2019-04-18,61.849998,61.950001,61.349998,61.549999,55.870079,351279
2019-04-23,62.000000,62.500000,61.799999,62.349998,56.596252,491196
2019-04-24,61.599998,61.799999,58.599998,59.099998,53.646168,2768982
2019-04-25,59.500000,60.200001,58.700001,59.500000,54.009258,1043171
2019-04-26,58.500000,58.599998,57.700001,58.099998,54.525417,623909
2019-04-29,58.099998,59.549999,58.099998,59.400002,55.745438,645082
2019-04-30,59.500000,59.500000,58.650002,58.799999,55.182350,228103
2019-05-02,58.750000,58.900002,57.900002,58.000000,54.431576,465632
2019-05-03,57.900002,58.799999,57.900002,58.549999,54.947731,386783
2019-05-06,58.000000,58.250000,57.250000,58.250000,54.666191,395576
2019-05-07,58.200001,58.450001,57.400002,57.549999,54.009258,304592
2019-05-08,57.400002,57.750000,57.000000,57.099998,53.586945,302309
2019-05-09,57.000000,57.299999,56.500000,56.549999,53.070786,435804
2019-05-10,56.549999,57.400002,56.549999,57.000000,53.493095,271976
2019-05-13,57.000000,57.049999,55.750000,55.849998,52.413849,460867
2019-05-14,55.849998,56.450001,55.700001,56.200001,52.742317,257407
2019-05-15,56.450001,56.650002,55.900002,56.349998,52.883087,334091
2019-05-16,56.400002,56.500000,55.750000,56.299999,52.836166,668922
2019-05-17,56.500000,56.599998,55.750000,56.150002,52.695393,309685
2019-05-20,56.150002,56.299999,55.549999,55.650002,52.226158,238794
2019-05-21,55.700001,56.049999,55.650002,55.799999,52.366924,205411
2019-05-22,56.049999,56.099998,54.849998,55.099998,51.709995,636472
2019-05-23,55.150002,55.500000,54.650002,54.950001,51.569221,459896
2019-05-24,54.849998,55.750000,54.849998,55.400002,51.991539,293058
2019-05-27,55.650002,55.950001,54.900002,55.150002,51.756920,248676
2019-05-28,55.299999,55.700001,54.700001,55.049999,51.663071,456387
2019-05-29,55.000000,55.099998,54.400002,54.500000,51.146912,210650
2019-05-31,54.599998,55.299999,54.200001,55.299999,51.897686,764603
2019-06-03,55.299999,55.299999,54.299999,54.799999,51.428452,387609
2019-06-04,54.799999,55.950001,54.650002,55.799999,52.366924,303417
2019-06-05,54.799999,56.150002,54.799999,55.150002,51.756920,17127943
2019-06-07,55.450001,56.599998,55.349998,56.200001,52.742317,1260425
2019-06-11,56.200001,56.650002,56.099998,56.500000,53.023857,439726
2019-06-12,56.450001,56.500000,56.049999,56.349998,52.883087,352856
2019-06-13,56.049999,56.299999,55.700001,55.799999,52.366924,448804
2019-06-14,55.849998,56.150002,55.150002,55.400002,51.991539,394357
2019-06-18,55.250000,55.400002,54.650002,55.349998,51.944614,893603
2019-06-19,55.450001,55.549999,55.099998,55.400002,51.991539,317206
2019-06-20,55.500000,55.750000,54.299999,54.349998,51.006134,1456637
2019-06-24,54.450001,54.950001,54.150002,54.500000,51.146912,805173
2019-06-25,54.349998,54.950001,54.299999,54.799999,51.428452,561303
2019-06-26,54.750000,55.349998,54.549999,55.150002,51.756920,556732
2019-06-27,55.400002,55.650002,54.700001,54.849998,51.475376,411469
2019-06-28,54.950001,55.299999,54.900002,55.299999,51.897686,230764
2019-07-01,55.650002,56.900002,55.599998,56.700001,53.211555,620108
2019-07-02,56.950001,57.000000,56.099998,56.200001,52.742317,569644
2019-07-03,56.349998,56.799999,56.049999,56.299999,52.836166,776495
2019-07-04,56.450001,56.500000,55.900002,56.049999,52.601543,643785
2019-07-05,56.150002,56.400002,55.650002,56.099998,52.648468,753470
2019-07-08,56.200001,56.849998,56.000000,56.700001,53.211555,689846
2019-07-09,56.750000,57.000000,56.400002,56.599998,53.117706,505362
2019-07-10,56.750000,57.200001,56.650002,56.900002,53.399250,432206
2019-07-11,57.200001,57.250000,56.599998,56.950001,53.446175,348466
2019-07-12,57.150002,57.900002,57.000000,57.599998,54.056179,477017
2019-07-15,57.700001,58.000000,57.500000,57.849998,54.290798,420547
2019-07-16,57.549999,57.900002,57.349998,57.650002,54.103107,511613
2019-07-17,57.849998,57.849998,57.200001,57.500000,53.962334,481873
2019-07-18,57.250000,57.299999,56.549999,57.000000,53.493095,324973
2019-07-19,57.349998,57.349998,56.450001,57.200001,53.680794,582676
2019-07-22,57.299999,57.700001,57.049999,57.599998,54.056179,396095
2019-07-23,58.500000,59.450001,57.299999,57.849998,54.290798,1629946
2019-07-24,57.849998,57.849998,55.700001,56.849998,53.352325,1182697
2019-07-25,57.000000,57.150002,55.400002,55.750000,52.320004,795908
2019-07-26,55.799999,55.900002,55.099998,55.549999,52.132305,792314
2019-07-29,55.549999,56.099998,55.150002,56.000000,52.554623,404798
