Date,Open,High,Low,Close,Adj Close,Volume
2019-01-21,1540.000000,1540.000000,1500.000000,1510.000000,1478.969727,1029
2019-01-22,1510.000000,1530.000000,1470.000000,1485.000000,1454.483521,741
2019-01-23,1475.000000,1485.000000,1465.000000,1485.000000,1454.483521,194
2019-01-24,1465.000000,1495.000000,1450.000000,1455.000000,1425.099976,935
2019-01-25,1480.000000,1535.000000,1480.000000,1530.000000,1498.558716,1451
2019-01-28,1540.000000,1555.000000,1515.000000,1525.000000,1493.661499,535
2019-01-29,1530.000000,1550.000000,1520.000000,1550.000000,1518.147705,278
2019-01-30,1550.000000,1555.000000,1525.000000,1550.000000,1518.147705,638
2019-01-31,1550.000000,1560.000000,1515.000000,1515.000000,1483.866943,529
2019-02-01,1525.000000,1525.000000,1500.000000,1515.000000,1483.866943,630
2019-02-04,1525.000000,1525.000000,1485.000000,1495.000000,1464.277954,1145
2019-02-05,1500.000000,1540.000000,1500.000000,1525.000000,1493.661499,846
2019-02-06,1545.000000,1555.000000,1520.000000,1520.000000,1488.764282,915
2019-02-07,1535.000000,1595.000000,1535.000000,1590.000000,1557.325806,1582
2019-02-08,1520.000000,1520.000000,1385.000000,1420.000000,1390.819214,12124
2019-02-11,1430.000000,1430.000000,1365.000000,1395.000000,1366.333008,3497
2019-02-12,1405.000000,1455.000000,1400.000000,1430.000000,1400.613770,2109
2019-02-13,1440.000000,1490.000000,1440.000000,1485.000000,1454.483521,1558
2019-02-14,1495.000000,1530.000000,1495.000000,1505.000000,1474.072510,1585
2019-02-15,1510.000000,1525.000000,1490.000000,1500.000000,1469.175293,1586
2019-02-18,1515.000000,1535.000000,1510.000000,1530.000000,1498.558716,1143
2019-02-19,1545.000000,1545.000000,1485.000000,1495.000000,1464.277954,994
2019-02-20,1485.000000,1500.000000,1470.000000,1490.000000,1459.380737,966
2019-02-21,1500.000000,1500.000000,1460.000000,1465.000000,1434.894531,539
2019-02-22,1480.000000,1480.000000,1450.000000,1480.000000,1449.586304,1479
2019-02-25,1485.000000,1500.000000,1480.000000,1485.000000,1454.483521,1045
2019-02-26,1500.000000,1500.000000,1430.000000,1455.000000,1425.099976,1964
2019-02-27,1455.000000,1455.000000,1425.000000,1425.000000,1395.716431,2599
2019-02-28,1425.000000,1445.000000,1425.000000,1435.000000,1405.510986,658
2019-03-01,1435.000000,1435.000000,1415.000000,1425.000000,1395.716431,823
2019-03-04,1405.000000,1425.000000,1405.000000,1425.000000,1395.716431,744
2019-03-05,1425.000000,1450.000000,1425.000000,1450.000000,1420.202759,610
2019-03-06,1460.000000,1460.000000,1440.000000,1440.000000,1410.408203,826
2019-03-07,1435.000000,1435.000000,1415.000000,1425.000000,1395.716431,587
2019-03-08,1425.000000,1425.000000,1405.000000,1425.000000,1395.716431,736
2019-03-11,1425.000000,1425.000000,1400.000000,1410.000000,1381.024780,573
2019-03-12,1410.000000,1425.000000,1405.000000,1410.000000,1381.024780,284
2019-03-13,1405.000000,1420.000000,1405.000000,1405.000000,1376.127441,451
2019-03-14,1415.000000,1440.000000,1415.000000,1425.000000,1395.716431,430
2019-03-15,1435.000000,1470.000000,1425.000000,1450.000000,1420.202759,1625
2019-03-18,1470.000000,1480.000000,1455.000000,1460.000000,1429.997192,895
2019-03-19,1475.000000,1475.000000,1450.000000,1460.000000,1429.997192,530
2019-03-20,1475.000000,1480.000000,1445.000000,1455.000000,1425.099976,1155
2019-03-21,1445.000000,1450.000000,1425.000000,1435.000000,1405.510986,1288
2019-03-22,1430.000000,1435.000000,1395.000000,1410.000000,1381.024780,1633
2019-03-25,1410.000000,1410.000000,1340.000000,1365.000000,1336.949463,2185
2019-03-26,1365.000000,1370.000000,1345.000000,1350.000000,1322.257690,1134
2019-03-27,1355.000000,1370.000000,1350.000000,1360.000000,1332.052246,704
2019-03-28,1360.000000,1385.000000,1355.000000,1365.000000,1336.949463,434
2019-03-29,1375.000000,1395.000000,1365.000000,1385.000000,1356.538452,268
2019-04-01,1400.000000,1555.000000,1395.000000,1415.000000,1385.921997,1096
2019-04-02,1430.000000,1450.000000,1415.000000,1440.000000,1410.408203,1438
2019-04-03,1450.000000,1460.000000,1430.000000,1455.000000,1425.099976,701
2019-04-04,1435.000000,1435.000000,1390.000000,1425.000000,1425.000000,1329
2019-04-05,1425.000000,1425.000000,1415.000000,1420.000000,1420.000000,1181
2019-04-08,1440.000000,1440.000000,1385.000000,1410.000000,1410.000000,2173
2019-04-09,1410.000000,1410.000000,1395.000000,1400.000000,1400.000000,788
2019-04-10,1395.000000,1420.000000,1390.000000,1410.000000,1410.000000,1169
2019-04-11,1425.000000,1425.000000,1405.000000,1415.000000,1415.000000,1252
2019-04-12,1415.000000,1435.000000,1400.000000,1425.000000,1425.000000,653
2019-04-15,1470.000000,1485.000000,1460.000000,1480.000000,1480.000000,3033
2019-04-16,1490.000000,1495.000000,1460.000000,1485.000000,1485.000000,2318
2019-04-17,1490.000000,1515.000000,1485.000000,1490.000000,1490.000000,1255
2019-04-23,1495.000000,1515.000000,1490.000000,1510.000000,1510.000000,1982
2019-04-24,1510.000000,1515.000000,1470.000000,1500.000000,1500.000000,1344
2019-04-25,1500.000000,1525.000000,1495.000000,1510.000000,1510.000000,651
2019-04-26,1520.000000,1525.000000,1510.000000,1515.000000,1515.000000,964
2019-04-29,1515.000000,1560.000000,1515.000000,1555.000000,1555.000000,2083
2019-04-30,1555.000000,1585.000000,1530.000000,1580.000000,1580.000000,1428
2019-05-01,1590.000000,1590.000000,1560.000000,1570.000000,1570.000000,387
2019-05-02,1600.000000,1600.000000,1580.000000,1600.000000,1600.000000,1375
2019-05-03,1600.000000,1620.000000,1595.000000,1620.000000,1620.000000,966
2019-05-06,1600.000000,1600.000000,1540.000000,1590.000000,1590.000000,1311
2019-05-07,1600.000000,1600.000000,1570.000000,1570.000000,1570.000000,178
2019-05-08,1585.000000,1585.000000,1560.000000,1580.000000,1580.000000,259
2019-05-09,1590.000000,1590.000000,1545.000000,1550.000000,1550.000000,844
2019-05-10,1575.000000,1575.000000,1550.000000,1560.000000,1560.000000,393
2019-05-13,1545.000000,1560.000000,1515.000000,1535.000000,1535.000000,474
2019-05-14,1530.000000,1530.000000,1510.000000,1525.000000,1525.000000,512
2019-05-15,1540.000000,1550.000000,1510.000000,1525.000000,1525.000000,1703
2019-05-16,1570.000000,1570.000000,1530.000000,1550.000000,1550.000000,3002
2019-05-20,1550.000000,1600.000000,1550.000000,1560.000000,1560.000000,3176
2019-05-21,1575.000000,1650.000000,1575.000000,1650.000000,1650.000000,3785
2019-05-22,1645.000000,1645.000000,1595.000000,1595.000000,1595.000000,1113
2019-05-23,1590.000000,1590.000000,1550.000000,1555.000000,1555.000000,894
2019-05-24,1560.000000,1620.000000,1560.000000,1620.000000,1620.000000,2214
2019-05-27,1620.000000,1620.000000,1550.000000,1550.000000,1550.000000,682
2019-05-28,1550.000000,1595.000000,1550.000000,1590.000000,1590.000000,514
2019-05-29,1590.000000,1590.000000,1530.000000,1545.000000,1545.000000,896
2019-06-03,1540.000000,1540.000000,1455.000000,1500.000000,1500.000000,1296
2019-06-04,1490.000000,1515.000000,1475.000000,1515.000000,1515.000000,433
2019-06-06,1545.000000,1580.000000,1540.000000,1550.000000,1550.000000,4786
2019-06-07,1565.000000,1605.000000,1565.000000,1605.000000,1605.000000,916
2019-06-11,1605.000000,1605.000000,1560.000000,1580.000000,1580.000000,902
2019-06-12,1590.000000,1590.000000,1560.000000,1570.000000,1570.000000,259
2019-06-13,1570.000000,1575.000000,1550.000000,1570.000000,1570.000000,972
2019-06-14,1560.000000,1565.000000,1550.000000,1565.000000,1565.000000,891
2019-06-17,1570.000000,1570.000000,1550.000000,1560.000000,1560.000000,294
2019-06-18,1545.000000,1545.000000,1520.000000,1540.000000,1540.000000,468
2019-06-19,1540.000000,1555.000000,1540.000000,1550.000000,1550.000000,606
2019-06-20,1545.000000,1560.000000,1545.000000,1555.000000,1555.000000,565
2019-06-21,1540.000000,1565.000000,1540.000000,1560.000000,1560.000000,872
2019-06-24,1555.000000,1555.000000,1485.000000,1495.000000,1495.000000,996
2019-06-25,1495.000000,1500.000000,1480.000000,1495.000000,1495.000000,598
2019-06-26,1475.000000,1485.000000,1470.000000,1480.000000,1480.000000,687
2019-06-27,1485.000000,1500.000000,1475.000000,1500.000000,1500.000000,317
2019-06-28,1505.000000,1515.000000,1485.000000,1505.000000,1505.000000,757
2019-07-01,1505.000000,1535.000000,1505.000000,1515.000000,1515.000000,661
2019-07-02,1535.000000,1535.000000,1490.000000,1510.000000,1510.000000,150
2019-07-03,1490.000000,1560.000000,1490.000000,1560.000000,1560.000000,1180
2019-07-04,1535.000000,1545.000000,1515.000000,1520.000000,1520.000000,475
2019-07-05,1510.000000,1530.000000,1490.000000,1515.000000,1515.000000,1360
2019-07-08,1515.000000,1540.000000,1510.000000,1525.000000,1525.000000,929
2019-07-09,1525.000000,1525.000000,1490.000000,1500.000000,1500.000000,867
2019-07-10,1500.000000,1530.000000,1500.000000,1515.000000,1515.000000,533
2019-07-11,1515.000000,1535.000000,1515.000000,1520.000000,1520.000000,293
2019-07-12,1520.000000,1535.000000,1520.000000,1530.000000,1530.000000,421
2019-07-15,1530.000000,1545.000000,1520.000000,1535.000000,1535.000000,546
2019-07-16,1530.000000,1550.000000,1530.000000,1540.000000,1540.000000,237
2019-07-17,1550.000000,1550.000000,1515.000000,1515.000000,1515.000000,418
2019-07-18,1505.000000,1515.000000,1490.000000,1505.000000,1505.000000,804
2019-07-19,1510.000000,1515.000000,1505.000000,1505.000000,1505.000000,110
2019-07-22,1505.000000,1520.000000,1505.000000,1505.000000,1505.000000,158
2019-07-23,1510.000000,1535.000000,1510.000000,1530.000000,1530.000000,184
2019-07-24,1530.000000,1530.000000,1515.000000,1515.000000,1515.000000,81
2019-07-25,1530.000000,1530.000000,1500.000000,1520.000000,1520.000000,684
2019-07-26,1520.000000,1535.000000,1520.000000,1535.000000,1535.000000,201
2019-07-29,1530.000000,1530.000000,1520.000000,1520.000000,1520.000000,133
2019-07-30,1510.000000,1510.000000,1475.000000,1490.000000,1490.000000,771
2019-07-31,1480.000000,1490.000000,1475.000000,1485.000000,1485.000000,506
2019-08-01,1490.000000,1495.000000,1480.000000,1480.000000,1480.000000,426
2019-08-02,1480.000000,1480.000000,1445.000000,1465.000000,1465.000000,637
2019-08-05,1450.000000,1455.000000,1415.000000,1425.000000,1425.000000,1278
2019-08-06,1435.000000,1450.000000,1420.000000,1435.000000,1435.000000,703
2019-08-07,1450.000000,1450.000000,1415.000000,1415.000000,1415.000000,657
2019-08-08,1440.000000,1440.000000,1410.000000,1420.000000,1420.000000,491
2019-08-09,1420.000000,1420.000000,1395.000000,1405.000000,1405.000000,260
2019-08-12,1405.000000,1405.000000,1370.000000,1390.000000,1390.000000,245
2019-08-13,1390.000000,1390.000000,1350.000000,1385.000000,1385.000000,854
2019-08-14,1370.000000,1370.000000,1305.000000,1305.000000,1305.000000,1229
2019-08-15,1305.000000,1335.000000,1290.000000,1300.000000,1300.000000,893
2019-08-16,1275.000000,1360.000000,1275.000000,1330.000000,1330.000000,2203
2019-08-19,1335.000000,1390.000000,1335.000000,1390.000000,1390.000000,655
2019-08-20,1400.000000,1425.000000,1380.000000,1425.000000,1425.000000,387
2019-08-21,1420.000000,1455.000000,1420.000000,1450.000000,1450.000000,261
