Date,Open,High,Low,Close,Adj Close,Volume
2019-01-15,8.680000,8.700000,8.525000,8.535000,8.134968,95154
2019-01-16,8.490000,8.675000,8.485000,8.665000,8.258876,113146
2019-01-17,8.610000,8.675000,8.560000,8.620000,8.215985,25900
2019-01-18,8.600000,8.760000,8.600000,8.660000,8.254109,34060
2019-01-21,8.720000,8.830000,8.650000,8.695000,8.287469,47815
2019-01-22,8.655000,8.760000,8.650000,8.705000,8.297001,27705
2019-01-23,8.655000,8.655000,8.425000,8.460000,8.063484,89392
2019-01-24,8.455000,8.600000,8.395000,8.410000,8.015827,87430
2019-01-25,8.420000,8.590000,8.420000,8.490000,8.092077,218960
2019-01-28,8.470000,8.775000,8.450000,8.750000,8.339891,111183
2019-01-29,8.700000,8.895000,8.700000,8.720000,8.311298,74054
2019-01-30,8.560000,8.785000,8.560000,8.760000,8.349423,63101
2019-01-31,8.745000,8.785000,8.480000,8.480000,8.082546,84464
2019-02-01,8.470000,8.580000,8.470000,8.475000,8.077782,48259
2019-02-04,8.505000,8.535000,8.455000,8.505000,8.106375,25553
2019-02-05,8.460000,8.700000,8.460000,8.690000,8.282703,103329
2019-02-06,9.100000,9.275000,8.955000,9.060000,8.635362,154397
2019-02-07,8.855000,9.065000,8.695000,9.030000,8.606768,229096
2019-02-08,8.995000,8.995000,8.780000,8.865000,8.449502,69972
2019-02-11,9.065000,9.065000,8.860000,8.860000,8.444736,53378
2019-02-12,8.865000,8.975000,8.835000,8.955000,8.535283,61975
2019-02-13,8.955000,9.015000,8.900000,8.925000,8.506690,61865
2019-02-14,8.910000,9.015000,8.880000,8.910000,8.492393,55760
2019-02-15,8.905000,9.010000,8.830000,8.845000,8.430440,54223
2019-02-18,8.860000,8.870000,8.735000,8.755000,8.344658,58693
2019-02-19,8.795000,8.795000,8.570000,8.570000,8.168327,60230
2019-02-20,8.645000,8.695000,8.540000,8.670000,8.263641,56864
2019-02-21,8.600000,8.705000,8.600000,8.675000,8.268407,33339
2019-02-22,8.670000,8.740000,8.670000,8.740000,8.330360,29930
2019-02-25,8.700000,8.725000,8.555000,8.580000,8.177859,53819
2019-02-26,8.580000,8.685000,8.530000,8.595000,8.192157,51947
2019-02-27,8.605000,8.680000,8.555000,8.635000,8.230282,180307
2019-02-28,8.635000,8.740000,8.550000,8.740000,8.330360,91716
2019-03-01,8.700000,8.840000,8.700000,8.815000,8.401844,57527
2019-03-04,8.850000,8.865000,8.740000,8.750000,8.339891,66248
2019-03-05,8.760000,8.760000,8.640000,8.700000,8.292235,66698
2019-03-06,8.700000,8.715000,8.595000,8.680000,8.273172,47493
2019-03-07,8.560000,8.660000,8.530000,8.600000,8.196922,71838
2019-03-08,8.540000,8.625000,8.500000,8.595000,8.192157,42548
2019-03-11,8.700000,8.810000,8.685000,8.805000,8.392314,60442
2019-03-12,8.815000,8.965000,8.775000,8.945000,8.525752,54179
2019-03-13,8.910000,9.015000,8.860000,9.000000,8.578175,63008
2019-03-14,8.785000,9.070000,8.785000,9.070000,8.644894,37345
2019-03-15,9.070000,9.205000,9.010000,9.095000,8.668721,95764
2019-03-18,9.110000,9.290000,9.100000,9.270000,8.835520,59804
2019-03-19,9.285000,9.345000,9.210000,9.345000,8.907004,30231
2019-03-20,9.345000,9.345000,9.160000,9.160000,8.730676,53975
2019-03-21,9.165000,9.165000,9.035000,9.040000,8.616300,22400
2019-03-22,9.335000,9.335000,8.965000,8.965000,8.544815,33994
2019-03-25,8.970000,8.970000,8.790000,8.790000,8.378017,38945
2019-03-26,9.025000,9.025000,8.725000,8.775000,8.363720,45475
2019-03-27,8.755000,9.120000,8.755000,8.960000,8.540049,146860
2019-03-28,8.555000,8.835000,8.555000,8.760000,8.589073,44761
2019-03-29,8.720000,8.780000,8.625000,8.735000,8.564561,41337
2019-04-01,8.740000,8.885000,8.700000,8.865000,8.692024,47700
2019-04-02,8.690000,8.980000,8.690000,8.750000,8.579268,120533
2019-04-03,8.820000,9.000000,8.820000,8.990000,8.814586,28879
2019-04-04,8.930000,8.985000,8.915000,8.945000,8.770463,307488
2019-04-05,8.900000,9.230000,8.880000,9.160000,8.981268,314105
2019-04-08,8.995000,9.145000,8.950000,9.040000,8.863610,85075
2019-04-09,9.040000,9.170000,9.030000,9.040000,8.863610,68914
2019-04-10,9.000000,9.115000,9.000000,9.080000,8.902829,39283
2019-04-11,9.080000,9.105000,9.040000,9.075000,8.897927,66636
2019-04-12,9.075000,9.195000,9.045000,9.135000,8.956757,40729
2019-04-15,9.160000,9.315000,9.110000,9.310000,9.128342,68287
2019-04-16,9.200000,9.435000,9.200000,9.285000,9.103829,70752
2019-04-17,9.280000,9.370000,9.180000,9.220000,9.040098,22330
2019-04-18,9.410000,9.410000,9.175000,9.245000,9.064610,35992
2019-04-23,9.295000,9.335000,9.195000,9.300000,9.118537,57457
2019-04-24,9.300000,9.365000,9.225000,9.275000,9.094025,39702
2019-04-25,9.275000,9.285000,9.100000,9.135000,8.956757,24108
2019-04-26,9.000000,9.305000,9.000000,9.280000,9.098927,44719
2019-04-29,8.920000,9.395000,8.920000,9.340000,9.157757,54579
2019-04-30,9.270000,9.295000,9.050000,9.090000,8.912635,45573
2019-05-02,9.090000,9.090000,8.650000,8.760000,8.589073,110911
2019-05-03,8.750000,8.750000,8.405000,8.580000,8.412585,117861
2019-05-06,8.480000,8.500000,8.320000,8.440000,8.275317,56602
