Date,Open,High,Low,Close,Adj Close,Volume
2019-01-16,90.250000,91.000000,87.500000,88.250000,86.209541,6182
2019-01-17,91.000000,91.750000,89.250000,90.750000,88.651733,5310
2019-01-18,91.500000,91.500000,90.250000,90.500000,88.407516,3478
2019-01-21,90.750000,107.000000,90.500000,99.750000,97.443642,6754
2019-01-22,100.000000,100.000000,91.500000,91.500000,89.384399,7470
2019-01-23,92.250000,99.250000,91.500000,96.250000,94.024567,17024
2019-01-24,98.000000,99.750000,97.500000,98.000000,95.734108,8568
2019-01-25,98.750000,100.000000,98.000000,98.500000,96.222549,7350
2019-01-28,99.250000,99.750000,83.250000,86.500000,84.500000,35896
2019-01-29,87.750000,90.000000,82.500000,83.750000,81.813583,14936
2019-01-30,84.000000,86.250000,82.000000,83.000000,81.080925,7040
2019-01-31,83.000000,87.000000,83.000000,86.000000,84.011566,8540
2019-02-01,86.000000,86.500000,83.000000,84.500000,82.546242,6010
2019-02-04,84.500000,86.000000,83.000000,86.000000,84.011566,7398
2019-02-05,85.000000,86.000000,85.000000,85.000000,83.034683,424
2019-02-06,85.250000,85.750000,84.500000,84.750000,82.790466,4752
2019-02-07,85.000000,87.500000,85.000000,87.500000,85.476883,2124
2019-02-08,87.500000,87.500000,82.750000,83.750000,81.813583,7542
2019-02-11,83.500000,85.500000,83.500000,85.500000,83.523125,6096
2019-02-12,84.250000,85.750000,84.250000,85.250000,83.278908,1034
2019-02-13,85.000000,85.000000,83.750000,84.250000,82.302025,2516
2019-02-14,83.250000,83.750000,77.500000,82.250000,80.348267,8460
2019-02-15,79.500000,81.250000,79.500000,80.000000,78.150291,2254
2019-02-18,80.000000,82.250000,80.000000,81.750000,79.859833,1314
2019-02-19,80.000000,82.500000,79.250000,82.500000,80.592491,4122
2019-02-20,81.500000,82.500000,80.250000,82.500000,80.592491,3122
2019-02-21,82.000000,82.000000,80.250000,81.500000,79.615608,1754
2019-02-22,81.500000,81.500000,80.250000,81.000000,79.127167,3362
2019-02-25,81.000000,81.500000,80.250000,81.000000,79.127167,342
2019-02-26,80.750000,80.750000,79.250000,79.750000,77.906075,6096
2019-02-27,80.000000,80.000000,79.250000,80.000000,78.150291,4006
2019-02-28,79.500000,80.000000,79.250000,79.250000,77.417633,462
2019-03-01,79.250000,79.500000,79.000000,79.250000,77.417633,2562
2019-03-04,79.250000,80.250000,78.500000,80.250000,78.394508,2880
2019-03-05,80.250000,80.750000,79.000000,80.750000,78.882950,2696
2019-03-06,80.500000,80.500000,80.000000,80.250000,78.394508,2802
2019-03-07,79.500000,80.500000,79.000000,80.250000,78.394508,4330
2019-03-08,78.750000,80.250000,77.500000,80.000000,78.150291,6066
2019-03-11,79.000000,81.500000,79.000000,81.000000,79.127167,3598
2019-03-12,81.000000,81.500000,80.250000,81.500000,79.615608,1190
2019-03-13,80.000000,82.500000,80.000000,82.500000,80.592491,1754
2019-03-14,81.500000,84.000000,81.500000,84.000000,82.057808,3734
2019-03-15,83.500000,91.500000,83.500000,88.000000,85.965317,5238
2019-03-18,90.000000,90.500000,89.250000,90.000000,87.919075,3002
2019-03-19,90.250000,91.750000,90.250000,90.500000,88.407516,1786
2019-03-20,90.250000,92.000000,90.000000,91.750000,89.628616,2298
2019-03-21,92.000000,92.000000,91.000000,91.500000,89.384399,1610
2019-03-22,91.250000,91.250000,88.250000,90.500000,88.407516,3520
2019-03-25,90.000000,90.000000,88.250000,90.000000,87.919075,2698
2019-03-26,89.000000,89.000000,88.750000,89.000000,86.942200,126
2019-03-27,90.000000,90.500000,89.750000,90.000000,87.919075,2962
2019-03-28,85.250000,91.500000,85.250000,90.250000,88.163300,2644
2019-03-29,90.250000,91.250000,90.250000,90.500000,88.407516,230
2019-04-01,90.750000,91.500000,90.750000,91.500000,89.384399,8058
2019-04-02,91.500000,94.000000,91.500000,93.500000,91.338150,2292
2019-04-03,93.500000,97.500000,92.000000,94.000000,91.826591,7104
2019-04-04,94.000000,94.000000,92.000000,93.500000,91.338150,2102
2019-04-05,93.500000,96.000000,91.500000,91.500000,89.384399,1906
