Date,Open,High,Low,Close,Adj Close,Volume
2019-01-15,35.200001,35.450001,35.000000,35.200001,33.836361,34533
2019-01-16,35.200001,35.500000,35.150002,35.500000,34.124741,1199
2019-01-17,35.650002,35.650002,35.299999,35.400002,34.028614,8967
2019-01-18,35.500000,35.849998,35.450001,35.500000,34.124741,6300
2019-01-21,35.500000,36.250000,35.500000,36.250000,34.845684,35627
2019-01-22,36.200001,36.200001,35.450001,35.450001,34.076675,23661
2019-01-23,35.849998,35.849998,35.099998,35.099998,33.740234,17354
2019-01-24,35.450001,35.450001,35.000000,35.049999,33.692169,21574
2019-01-25,35.500000,35.549999,35.299999,35.400002,34.028614,4832
2019-01-28,35.650002,35.700001,35.200001,35.200001,33.836361,27017
2019-01-29,35.200001,35.500000,35.200001,35.200001,33.836361,13151
2019-01-30,35.200001,35.500000,35.150002,35.500000,34.124741,7297
2019-01-31,35.500000,35.500000,35.099998,35.099998,33.740234,17794
2019-02-01,35.500000,35.500000,35.150002,35.450001,34.076675,12089
2019-02-04,35.500000,35.750000,35.200001,35.200001,33.836361,13253
2019-02-05,35.349998,35.400002,35.000000,35.400002,34.028614,38410
2019-02-06,35.200001,35.400002,35.099998,35.150002,33.788296,12472
2019-02-07,35.400002,35.400002,35.000000,35.200001,33.836361,33439
2019-02-08,35.200001,35.349998,35.099998,35.299999,33.932484,4168
2019-02-11,35.299999,35.450001,35.150002,35.349998,33.980549,19163
2019-02-12,35.150002,35.450001,35.150002,35.299999,33.932484,13936
2019-02-13,35.400002,35.900002,35.400002,35.549999,34.172802,66362
2019-02-14,35.549999,35.950001,35.549999,35.950001,34.557304,36119
2019-02-15,35.950001,36.299999,35.799999,35.900002,34.509243,177447
2019-02-18,36.549999,36.549999,35.650002,35.650002,34.268929,27612
2019-02-19,35.599998,36.049999,35.400002,35.599998,34.220863,62576
2019-02-20,35.599998,36.000000,35.599998,35.650002,34.268929,16199
2019-02-21,36.000000,36.099998,35.750000,35.950001,34.557304,19348
2019-02-22,36.200001,36.299999,36.000000,36.250000,34.845684,29331
2019-02-25,36.250000,36.750000,36.250000,36.349998,34.941807,62184
2019-02-26,36.650002,36.700001,36.349998,36.349998,34.941807,11346
2019-02-27,36.500000,36.599998,36.349998,36.400002,34.989876,49800
2019-02-28,36.700001,36.750000,36.500000,36.500000,35.085999,82177
2019-03-01,36.500000,36.599998,36.349998,36.500000,35.085999,9640
2019-03-04,36.549999,36.599998,35.900002,36.500000,35.085999,82312
2019-03-05,36.549999,36.549999,36.049999,36.099998,34.701492,7945
