Date,Open,High,Low,Close,Adj Close,Volume
2019-01-15,94.000000,95.300003,93.000000,93.599998,87.972748,65104
2019-01-16,93.699997,95.199997,93.599998,94.300003,88.630669,48294
2019-01-17,94.300003,96.900002,94.300003,94.699997,89.006615,36850
2019-01-18,94.699997,96.400002,94.699997,95.699997,89.946495,50857
2019-01-21,97.000000,98.000000,95.800003,95.800003,90.040482,72632
2019-01-22,95.900002,95.900002,94.199997,95.199997,89.476555,37806
2019-01-23,95.199997,95.199997,94.400002,94.900002,89.194595,18991
2019-01-24,94.900002,95.699997,94.599998,95.199997,89.476555,20969
2019-01-25,95.300003,96.900002,95.300003,96.300003,90.510422,41766
2019-01-28,96.599998,96.599998,95.000000,95.400002,89.664536,41466
2019-01-29,95.300003,95.699997,94.400002,95.199997,89.476555,43936
2019-01-30,97.000000,98.599998,95.900002,98.300003,92.390182,95677
2019-01-31,99.300003,99.800003,97.500000,97.900002,92.014229,46692
2019-02-01,98.099998,99.500000,98.099998,98.699997,92.766129,40855
2019-02-04,99.000000,99.800003,98.800003,99.199997,93.236069,34818
2019-02-05,99.300003,101.000000,99.300003,100.800003,94.739883,58097
2019-02-06,101.000000,101.000000,98.699997,99.300003,93.330063,91438
2019-02-07,99.300003,99.599998,97.099998,97.099998,91.262321,49962
2019-02-08,97.099998,97.400002,96.099998,97.000000,91.168335,41075
2019-02-11,97.000000,98.199997,97.000000,97.900002,92.014229,16765
2019-02-12,97.900002,98.400002,97.400002,98.099998,92.202202,27315
2019-02-13,97.599998,99.000000,97.599998,98.500000,92.578156,30551
2019-02-14,98.000000,98.900002,97.099998,97.699997,91.826248,35240
2019-02-15,98.099998,100.000000,97.599998,100.000000,93.987976,128363
2019-02-18,99.699997,100.000000,99.099998,100.000000,93.987976,44351
2019-02-19,99.500000,100.400002,99.500000,100.400002,94.363930,39901
2019-02-20,100.599998,100.599998,97.300003,97.800003,91.920242,99598
2019-02-21,97.599998,97.800003,94.599998,95.300003,89.570549,106404
2019-02-22,95.099998,97.500000,94.599998,96.800003,90.980362,45985
2019-02-25,97.500000,98.400002,97.099998,97.199997,91.356308,36237
2019-02-26,97.500000,97.500000,96.699997,96.699997,90.886368,18195
2019-02-27,95.900002,97.900002,95.900002,97.199997,91.356308,35669
2019-02-28,97.400002,97.900002,95.900002,97.099998,91.262321,22007
2019-03-01,97.000000,98.500000,97.000000,97.800003,91.920242,30612
2019-03-04,97.800003,98.000000,95.099998,96.500000,90.698395,68568
2019-03-05,96.699997,96.900002,95.199997,96.400002,90.604408,34082
2019-03-06,96.400002,96.699997,95.199997,95.199997,89.476555,29339
2019-03-07,96.000000,97.599998,95.900002,96.500000,90.698395,34827
2019-03-08,96.500000,96.500000,95.000000,96.500000,90.698395,30460
2019-03-11,96.599998,97.599998,96.500000,97.000000,91.168335,23268
2019-03-12,97.099998,97.699997,96.300003,96.300003,90.510422,23746
2019-03-13,96.400002,97.199997,95.599998,96.500000,90.698395,43125
2019-03-14,97.000000,97.699997,96.699997,97.699997,91.826248,48462
2019-03-15,98.000000,99.500000,97.000000,99.500000,93.518036,57932
2019-03-18,100.000000,101.400002,99.800003,101.400002,95.303810,54458
2019-03-19,101.400002,102.199997,100.400002,101.000000,94.927856,39045
2019-03-20,101.000000,101.400002,99.900002,100.000000,93.987976,55109
2019-03-21,99.900002,100.800003,99.300003,100.199997,94.175949,45530
2019-03-22,100.400002,101.800003,99.300003,99.300003,93.330063,60952
2019-03-25,99.300003,101.000000,99.000000,100.800003,94.739883,65982
2019-03-26,100.800003,101.599998,99.800003,99.800003,93.800003,85862
2019-03-27,94.599998,95.199997,93.000000,93.699997,93.699997,104604
2019-03-28,93.099998,93.599998,85.599998,85.699997,85.699997,199999
2019-03-29,85.699997,86.400002,83.500000,85.900002,85.900002,100893
2019-04-01,86.099998,87.199997,85.599998,86.800003,86.800003,122718
2019-04-02,87.800003,89.400002,86.900002,88.900002,88.900002,77375
2019-04-03,90.099998,90.099998,89.000000,89.400002,89.400002,41513
2019-04-04,89.300003,90.199997,88.400002,89.400002,89.400002,81045
2019-04-05,90.000000,90.000000,89.099998,89.400002,89.400002,29221
2019-04-08,89.199997,89.300003,88.599998,89.199997,89.199997,43408
2019-04-09,89.300003,91.199997,89.300003,90.300003,90.300003,33097
2019-04-10,90.199997,91.599998,90.199997,90.599998,90.599998,50720
2019-04-11,90.599998,91.599998,89.400002,90.900002,90.900002,53022
