Date,Open,High,Low,Close,Adj Close,Volume
2019-01-16,104.800003,106.800003,104.000000,106.000000,100.561569,50809
2019-01-17,107.000000,107.800003,105.800003,107.199997,101.699997,31436
2019-01-18,107.400002,109.000000,107.400002,107.800003,102.269218,48235
2019-01-21,107.800003,108.000000,106.400002,107.199997,101.699997,75815
2019-01-22,107.199997,107.400002,106.199997,106.800003,101.320526,47818
2019-01-23,107.199997,108.000000,106.400002,107.000000,101.510262,23909
2019-01-24,106.800003,107.800003,106.400002,107.000000,101.510262,35999
2019-01-25,107.000000,107.800003,106.599998,106.599998,101.130783,84312
2019-01-28,107.199997,107.199997,105.599998,106.000000,100.561569,67108
2019-01-29,106.000000,106.199997,104.400002,104.599998,99.233398,51995
2019-01-30,104.800003,106.000000,103.800003,105.599998,100.182091,54846
2019-01-31,105.400002,106.400002,103.800003,104.599998,99.233398,51855
2019-02-01,104.599998,105.599998,104.599998,105.599998,100.182091,37847
2019-02-04,105.599998,106.000000,105.000000,105.800003,100.371834,39949
2019-02-05,106.000000,107.599998,105.800003,107.400002,101.889740,78310
2019-02-06,105.800003,105.800003,101.000000,104.599998,99.233398,231406
2019-02-07,104.599998,106.199997,104.000000,104.000000,98.664185,116989
2019-02-08,104.000000,104.800003,103.000000,103.400002,98.094963,66160
2019-02-11,103.400002,104.599998,103.199997,104.599998,99.233398,42739
2019-02-12,104.400002,105.400002,104.000000,105.199997,99.802612,46964
2019-02-13,105.400002,106.199997,105.199997,105.599998,100.182091,31500
2019-02-14,106.199997,107.000000,105.400002,105.800003,100.371834,53940
2019-02-15,106.199997,107.000000,105.400002,106.599998,101.130783,49373
2019-02-18,108.000000,108.599998,106.800003,108.599998,103.028175,52864
2019-02-19,108.599998,109.000000,106.599998,107.599998,102.079475,128625
2019-02-20,108.000000,108.800003,106.800003,106.800003,101.320526,118722
2019-02-21,106.800003,107.800003,106.000000,106.000000,100.561569,68761
2019-02-22,106.000000,107.800003,106.000000,107.000000,101.510262,24316
2019-02-25,107.800003,108.000000,107.199997,107.400002,101.889740,27650
2019-02-26,107.199997,109.800003,107.199997,108.800003,103.217918,127262
2019-02-27,108.599998,110.400002,108.599998,109.800003,104.166611,40294
2019-02-28,109.800003,110.400002,108.599998,108.800003,103.217918,42227
2019-03-01,108.800003,109.800003,108.800003,109.000000,103.407654,22080
2019-03-04,109.000000,110.599998,108.599998,109.599998,103.976868,76485
2019-03-05,109.800003,110.800003,109.199997,109.199997,103.597389,36663
2019-03-06,109.199997,109.199997,107.800003,107.800003,102.269218,50426
2019-03-07,108.000000,108.599998,107.000000,107.199997,101.699997,35403
2019-03-08,107.000000,107.199997,106.199997,107.000000,101.510262,30894
2019-03-11,109.199997,109.199997,107.400002,107.400002,101.889740,35821
2019-03-12,107.800003,108.000000,106.400002,106.400002,100.941048,28963
2019-03-13,106.599998,108.000000,106.599998,107.599998,102.079475,26022
2019-03-14,108.000000,108.000000,106.599998,106.599998,101.130783,70486
2019-03-15,107.000000,107.199997,106.000000,106.400002,100.941048,110747
2019-03-18,107.000000,108.400002,107.000000,107.800003,102.269218,156506
2019-03-19,108.199997,108.400002,107.000000,107.400002,101.889740,113111
2019-03-20,107.400002,108.400002,107.000000,107.000000,101.510262,58728
2019-03-21,107.199997,107.400002,105.000000,105.800003,100.371834,77521
2019-03-22,105.800003,106.800003,105.000000,105.599998,100.182091,62487
2019-03-25,105.800003,107.000000,104.800003,105.800003,100.371834,42923
2019-03-26,105.800003,106.800003,105.400002,106.400002,100.941048,26136
2019-03-27,106.400002,108.599998,106.400002,107.199997,101.699997,63876
2019-03-28,103.599998,103.599998,100.400002,100.599998,100.599998,101401
2019-03-29,101.400002,101.800003,99.800003,100.199997,100.199997,68392
2019-04-01,100.199997,100.800003,99.300003,100.400002,100.400002,63108
2019-04-02,100.400002,103.000000,100.199997,102.199997,102.199997,85938
2019-04-03,102.599998,104.199997,102.599998,104.199997,104.199997,40583
2019-04-04,104.199997,105.400002,103.000000,104.800003,104.800003,70645
2019-04-05,105.599998,105.800003,104.199997,104.599998,104.599998,43633
2019-04-08,104.800003,105.000000,102.800003,103.199997,103.199997,43538
2019-04-09,103.199997,104.199997,103.000000,103.800003,103.800003,39747
2019-04-10,104.000000,104.599998,103.800003,103.800003,103.800003,32324
2019-04-11,104.000000,105.000000,103.599998,104.400002,104.400002,29033
2019-04-12,104.400002,105.800003,104.199997,104.599998,104.599998,43410
2019-04-15,105.000000,105.800003,104.599998,105.199997,105.199997,25119
2019-04-16,105.000000,106.800003,105.000000,106.199997,106.199997,49831
2019-04-17,104.800003,105.400002,102.800003,104.000000,104.000000,69533
2019-04-18,104.000000,104.400002,103.400002,104.000000,104.000000,50958
2019-04-23,104.199997,105.400002,103.599998,105.000000,105.000000,66840
2019-04-24,105.000000,105.199997,104.000000,104.000000,104.000000,47504
2019-04-25,104.599998,104.800003,103.599998,104.599998,104.599998,38595
2019-04-26,104.400002,104.800003,103.599998,104.599998,104.599998,49834
2019-04-29,104.400002,105.000000,103.800003,104.199997,104.199997,30307
2019-04-30,104.000000,104.599998,103.000000,103.199997,103.199997,42744
2019-05-02,103.400002,105.000000,103.199997,104.000000,104.000000,64818
2019-05-03,103.800003,104.800003,103.800003,104.000000,104.000000,79861
2019-05-06,104.000000,104.000000,101.800003,104.000000,104.000000,97420
2019-05-07,104.000000,104.199997,101.599998,102.000000,102.000000,48918
2019-05-08,101.400002,102.199997,101.199997,102.000000,102.000000,24953
2019-05-09,101.599998,101.599998,100.000000,100.000000,100.000000,54029
2019-05-10,100.800003,101.800003,100.199997,100.400002,100.400002,27029
2019-05-13,100.400002,101.000000,100.000000,100.400002,100.400002,32149
2019-05-14,100.599998,101.000000,100.199997,101.000000,101.000000,28198
2019-05-15,101.800003,101.800003,100.000000,100.400002,100.400002,30752
2019-05-16,100.800003,101.800003,100.199997,101.800003,101.800003,40871
2019-05-17,102.000000,102.000000,100.199997,100.400002,100.400002,20896
2019-05-20,100.400002,101.199997,100.000000,100.199997,100.199997,33350
2019-05-21,100.199997,101.199997,100.199997,100.199997,100.199997,22016
2019-05-22,100.199997,100.599998,98.500000,99.199997,99.199997,45087
2019-05-23,99.199997,99.199997,97.099998,98.099998,98.099998,73962
2019-05-24,98.000000,98.500000,97.599998,97.599998,97.599998,45410
2019-05-27,99.000000,99.000000,97.099998,97.099998,97.099998,30917
2019-05-28,97.099998,97.300003,95.500000,97.000000,97.000000,48545
2019-05-29,97.000000,97.000000,95.900002,95.900002,95.900002,24854
2019-05-31,96.000000,96.000000,94.300003,94.300003,94.300003,53827
2019-06-03,94.300003,94.300003,92.800003,93.599998,93.599998,49393
2019-06-04,93.599998,95.400002,93.400002,95.199997,95.199997,35036
2019-06-05,95.199997,95.199997,93.400002,94.500000,94.500000,26479
2019-06-07,94.699997,94.699997,93.199997,94.300003,94.300003,79225
2019-06-11,95.599998,95.900002,95.300003,95.500000,95.500000,38283
2019-06-12,95.199997,95.500000,94.800003,95.199997,95.199997,24061
2019-06-13,95.199997,95.800003,94.599998,95.300003,95.300003,36619
2019-06-14,95.199997,95.199997,93.900002,94.300003,94.300003,23662
2019-06-18,95.300003,95.300003,94.599998,94.800003,94.800003,36221
2019-06-19,95.000000,95.900002,94.699997,95.900002,95.900002,37528
2019-06-20,95.900002,96.400002,94.900002,95.000000,95.000000,55887
2019-06-24,94.800003,96.199997,94.599998,95.300003,95.300003,42421
2019-06-25,95.300003,95.300003,93.699997,94.800003,94.800003,31343
2019-06-26,94.699997,95.199997,93.900002,94.599998,94.599998,23290
2019-06-27,95.000000,95.599998,94.500000,94.900002,94.900002,23324
2019-06-28,95.000000,95.400002,94.500000,95.000000,95.000000,31241
2019-07-01,95.400002,96.400002,95.199997,95.900002,95.900002,30128
2019-07-02,95.900002,95.900002,94.500000,95.500000,95.500000,34868
2019-07-03,95.400002,96.099998,95.000000,95.699997,95.699997,35141
2019-07-04,95.599998,97.500000,95.599998,97.300003,97.300003,26649
2019-07-05,97.300003,99.699997,97.300003,99.300003,99.300003,54810
2019-07-08,99.400002,100.400002,99.199997,99.900002,99.900002,26866
2019-07-09,99.900002,100.400002,99.300003,99.500000,99.500000,28539
2019-07-10,99.500000,100.199997,99.199997,99.300003,99.300003,11594
2019-07-11,99.500000,99.699997,98.000000,98.699997,98.699997,18142
2019-07-12,99.500000,100.199997,98.900002,99.599998,99.599998,42787
2019-07-15,99.599998,100.800003,99.599998,100.599998,100.599998,36452
2019-07-16,100.400002,100.800003,99.699997,100.599998,100.599998,28535
2019-07-17,98.099998,98.099998,95.000000,95.500000,95.500000,121813
2019-07-18,95.000000,95.699997,93.699997,95.300003,95.300003,38412
2019-07-19,95.300003,95.900002,95.000000,95.900002,95.900002,29122
2019-07-22,96.000000,96.300003,94.199997,94.400002,94.400002,51827
2019-07-23,94.900002,95.500000,94.199997,95.000000,95.000000,42128
2019-07-24,95.199997,95.400002,93.099998,93.400002,93.400002,60314
2019-07-25,93.500000,94.300003,92.800003,93.199997,93.199997,51973
2019-07-26,93.300003,93.599998,92.599998,93.000000,93.000000,46322
2019-07-29,93.099998,93.699997,92.599998,93.000000,93.000000,23969
2019-07-30,93.099998,93.300003,91.900002,92.400002,92.400002,70611
2019-07-31,92.099998,92.500000,91.699997,91.699997,91.699997,31831
2019-08-01,92.099998,93.400002,92.000000,92.500000,92.500000,62158
2019-08-02,92.099998,92.599998,91.099998,91.699997,91.699997,42070
2019-08-06,89.900002,90.199997,89.000000,89.099998,89.099998,41849
2019-08-07,89.300003,90.500000,89.000000,89.699997,89.699997,50684
2019-08-08,90.800003,91.800003,90.199997,91.500000,91.500000,33752
2019-08-09,91.199997,91.199997,90.300003,90.300003,90.300003,48554
2019-08-12,90.900002,91.500000,90.199997,90.199997,90.199997,24175
2019-08-13,90.300003,90.400002,88.900002,90.000000,90.000000,40364
2019-08-14,90.000000,90.000000,87.400002,87.699997,87.699997,53596
2019-08-15,87.500000,88.500000,87.000000,87.699997,87.699997,112281
2019-08-16,88.099998,90.300003,88.099998,90.300003,90.300003,72332
2019-08-19,90.300003,91.599998,89.699997,90.400002,90.400002,83936
2019-08-20,90.500000,90.500000,89.300003,89.500000,89.500000,31073
2019-08-21,89.400002,89.800003,88.900002,89.000000,89.000000,47205
2019-08-22,89.400002,90.099998,89.199997,89.400002,89.400002,63212
2019-08-23,90.000000,90.500000,88.300003,88.500000,88.500000,34194
2019-08-26,88.500000,88.500000,87.599998,87.699997,87.699997,38673
2019-08-27,88.400002,89.300003,88.099998,88.800003,88.800003,56799
2019-08-28,88.599998,89.300003,88.000000,88.199997,88.199997,45874
2019-08-29,88.300003,90.000000,88.300003,89.599998,89.599998,56028
2019-08-30,89.900002,91.099998,89.699997,90.699997,90.699997,46801
2019-09-02,90.599998,90.699997,89.300003,89.500000,89.500000,38909
2019-09-03,89.800003,89.800003,88.500000,88.500000,88.500000,37666
2019-09-04,89.900002,90.500000,89.099998,89.099998,89.099998,33264
2019-09-05,89.699997,91.800003,89.699997,91.699997,91.699997,47920
2019-09-06,91.699997,92.300003,91.300003,91.800003,91.800003,71637
2019-09-09,91.900002,94.400002,91.099998,94.400002,94.400002,86516
2019-09-10,94.500000,96.099998,94.199997,95.800003,95.800003,62872
2019-09-11,95.900002,97.300003,95.699997,95.900002,95.900002,76179
2019-09-12,96.000000,97.199997,95.300003,96.199997,96.199997,81273
2019-09-13,96.900002,96.900002,96.199997,96.199997,96.199997,39509
2019-09-16,96.199997,96.400002,95.699997,95.800003,95.800003,42525
2019-09-17,95.699997,95.699997,93.599998,93.699997,93.699997,37942
2019-09-18,93.900002,94.199997,93.099998,93.099998,93.099998,32861
2019-09-19,93.099998,94.500000,93.099998,94.000000,94.000000,46855
2019-09-20,94.199997,94.500000,93.800003,94.000000,94.000000,40343
2019-09-23,93.900002,94.000000,90.900002,91.500000,91.500000,47997
2019-09-24,91.500000,92.300003,90.099998,90.099998,90.099998,53634
2019-09-25,90.099998,90.500000,88.800003,90.099998,90.099998,62010
2019-09-26,90.000000,90.900002,89.900002,90.800003,90.800003,43391
2019-09-27,91.900002,93.800003,91.500000,92.300003,92.300003,90218
2019-09-30,93.000000,94.199997,92.699997,93.000000,93.000000,34358
2019-10-01,93.199997,93.900002,92.500000,92.500000,92.500000,37436
2019-10-02,92.500000,92.800003,90.099998,90.099998,90.099998,52755
2019-10-03,90.099998,90.500000,88.800003,90.000000,90.000000,60354
2019-10-04,90.199997,90.800003,89.800003,90.199997,90.199997,35729
2019-10-07,90.199997,91.599998,90.099998,91.199997,91.199997,23097
2019-10-08,91.300003,91.699997,89.900002,90.699997,90.699997,48420
2019-10-09,90.099998,91.400002,90.099998,90.599998,90.599998,22674
2019-10-10,90.599998,92.400002,90.599998,92.400002,92.400002,27481
2019-10-11,92.000000,94.800003,92.000000,93.800003,93.800003,54216
2019-10-14,93.000000,93.599998,92.099998,92.900002,92.900002,43504
2019-10-15,92.900002,94.500000,92.900002,94.300003,94.300003,25213
2019-10-16,94.000000,94.599998,93.500000,94.199997,94.199997,28130
2019-10-17,94.099998,95.300003,94.099998,94.300003,94.300003,46873
2019-10-18,94.400002,94.900002,93.800003,94.199997,94.199997,18405
2019-10-21,94.099998,95.000000,94.099998,94.900002,94.900002,21837
2019-10-22,95.400002,97.000000,94.500000,96.500000,96.500000,45433
2019-10-23,96.500000,99.300003,94.099998,96.099998,96.099998,128773
2019-10-24,96.000000,99.000000,95.900002,98.099998,98.099998,95048
2019-10-25,98.000000,98.900002,97.800003,98.900002,98.900002,35484
2019-10-28,99.500000,99.699997,98.800003,99.400002,99.400002,65780
2019-10-29,99.199997,99.199997,97.400002,98.800003,98.800003,39706
2019-10-30,98.900002,99.099998,97.000000,97.500000,97.500000,74098
2019-10-31,98.099998,98.099998,96.300003,96.900002,96.900002,43847
2019-11-01,97.000000,97.199997,95.699997,96.599998,96.599998,10088
2019-11-04,97.699997,97.699997,96.599998,96.699997,96.699997,50058
2019-11-05,97.000000,97.400002,96.000000,97.400002,97.400002,26873
2019-11-06,97.199997,97.900002,96.199997,96.199997,96.199997,30986
2019-11-07,97.000000,97.500000,96.199997,97.000000,97.000000,40511
2019-11-08,97.699997,97.699997,96.199997,96.400002,96.400002,37349
2019-11-11,96.300003,96.599998,95.500000,96.500000,96.500000,28528
2019-11-12,96.599998,97.500000,96.500000,97.500000,97.500000,35666
2019-11-13,97.500000,97.500000,95.599998,96.199997,96.199997,22747
2019-11-14,96.699997,96.699997,95.300003,95.599998,95.599998,39289
2019-11-15,96.000000,97.099998,95.500000,96.800003,96.800003,50819
2019-11-18,97.000000,97.400002,94.900002,95.400002,95.400002,63803
2019-11-19,96.000000,96.900002,95.199997,95.699997,95.699997,57012
2019-11-20,95.699997,95.699997,93.500000,94.699997,94.699997,50250
2019-11-21,94.599998,95.300003,94.199997,94.900002,94.900002,28422
2019-11-22,95.300003,95.699997,94.900002,95.599998,95.599998,53091
2019-11-25,95.900002,96.300003,95.699997,96.000000,96.000000,23467
2019-11-26,96.000000,96.099998,94.599998,94.599998,94.599998,41420
2019-11-27,95.000000,95.699997,94.800003,95.500000,95.500000,30223
2019-11-28,95.400002,95.400002,94.099998,94.500000,94.500000,34873
2019-11-29,94.400002,95.000000,93.900002,94.500000,94.500000,23981
2019-12-02,94.900002,95.599998,93.300003,93.500000,93.500000,56244
2019-12-03,93.800003,94.300003,92.300003,92.300003,92.300003,38513
2019-12-04,92.500000,93.800003,92.400002,92.400002,92.400002,60803
2019-12-05,92.500000,93.599998,92.300003,92.599998,92.599998,64647
2019-12-06,93.699997,93.800003,92.300003,93.400002,93.400002,33740
2019-12-09,93.599998,94.599998,93.500000,94.300003,94.300003,31209
2019-12-10,94.400002,95.400002,93.900002,95.199997,95.199997,48916
2019-12-11,95.199997,96.599998,95.099998,96.400002,96.400002,27952
2019-12-12,96.400002,99.000000,96.300003,98.800003,98.800003,68217
2019-12-13,99.400002,102.400002,99.400002,101.000000,101.000000,121895
2019-12-16,101.000000,101.199997,99.599998,100.599998,100.599998,81739
2019-12-17,100.800003,102.199997,100.199997,102.199997,102.199997,53407
