Date,Open,High,Low,Close,Adj Close,Volume
2019-01-21,3.380000,3.380000,3.308000,3.310000,1.964472,8069
2019-01-22,3.300000,3.300000,3.154000,3.161000,1.876041,33221
2019-01-23,3.165000,3.222000,3.160000,3.161000,1.876041,7813
2019-01-24,3.190000,3.196000,3.161000,3.185000,1.890285,16150
2019-01-25,3.225000,3.257000,3.225000,3.257000,1.933016,28451
2019-01-28,3.258000,3.260000,3.136000,3.250000,1.928862,23159
2019-01-29,3.220000,3.392000,3.220000,3.263000,1.936577,72040
2019-01-30,3.303000,3.450000,3.303000,3.399000,2.017293,25240
2019-01-31,3.419000,3.480000,3.419000,3.434000,2.038065,10406
2019-02-01,3.475000,3.475000,3.422000,3.452000,2.048748,18053
2019-02-04,3.461000,3.461000,3.290000,3.329000,1.975748,29193
2019-02-05,3.370000,3.402000,3.343000,3.343000,1.984057,15067
2019-02-06,3.381000,3.381000,3.345000,3.370000,2.000081,33340
2019-02-07,3.460000,3.460000,3.280000,3.280000,1.946667,16236
2019-02-08,3.400000,3.400000,3.185000,3.185000,1.890285,4903
2019-02-11,3.250000,3.250000,3.200000,3.239000,1.922333,5986
2019-02-12,3.241000,3.241000,3.214000,3.220000,1.911057,9181
2019-02-13,3.214000,3.280000,3.214000,3.263000,1.936577,5746
2019-02-14,3.300000,3.300000,3.170000,3.190000,1.893252,12169
2019-02-15,3.187000,3.268000,3.150000,3.244000,1.925301,5467
2019-02-18,3.275000,3.287000,3.256000,3.267000,1.938951,8582
2019-02-19,3.253000,3.258000,3.222000,3.250000,1.928862,3763
2019-02-20,3.280000,3.400000,3.280000,3.335000,1.979309,11572
2019-02-21,3.400000,3.400000,3.343000,3.392000,2.013138,38555
2019-02-22,3.320000,3.477000,3.320000,3.451000,2.048155,26817
2019-02-25,3.477000,3.500000,3.430000,3.457000,2.051716,33357
2019-02-26,3.456000,3.456000,3.421000,3.450000,2.047561,8411
2019-02-27,3.441000,3.475000,3.422000,3.458000,2.052309,6535
2019-02-28,3.450000,3.450000,3.398000,3.436000,2.039252,26785
2019-03-01,3.443000,3.443000,3.416000,3.424000,2.032130,1404
2019-03-04,3.440000,3.449000,3.376000,3.376000,2.003642,16134
2019-03-05,3.369000,3.370000,3.324000,3.357000,1.992366,4204
2019-03-06,3.360000,3.373000,3.345000,3.359000,1.993553,3911
2019-03-07,3.365000,3.365000,3.247000,3.263000,1.936577,7660
2019-03-08,3.300000,3.300000,3.150000,3.180000,1.887317,17401
2019-03-11,3.203000,3.233000,3.193000,3.228000,1.915805,13213
2019-03-12,3.250000,3.300000,3.249000,3.285000,1.949634,8255
2019-03-13,3.290000,3.318000,3.257000,3.318000,1.969220,6405
2019-03-14,3.322000,3.350000,3.300000,3.300000,1.958537,8666
2019-03-15,3.300000,3.320000,3.290000,3.300000,1.958537,6135
2019-03-18,3.305000,3.406000,3.305000,3.381000,2.006610,17688
2019-03-19,3.382000,3.405000,3.350000,3.405000,2.020854,14604
2019-03-20,3.410000,3.410000,3.358000,3.371000,2.000675,2103
2019-03-21,3.366000,3.450000,3.366000,3.404000,2.020260,7725
2019-03-22,3.480000,3.480000,3.239000,3.251000,1.929455,15171
2019-03-25,3.300000,3.300000,3.160000,3.170000,1.881382,59844
2019-03-26,3.380000,3.380000,3.120000,3.166000,1.879008,20967
2019-03-27,3.177000,3.187000,3.145000,3.145000,1.866545,4548
2019-03-28,3.200000,3.201000,3.145000,3.150000,1.869512,8401
2019-03-29,3.189000,3.230000,3.189000,3.218000,1.909870,5321
2019-04-01,3.346000,3.353000,3.285000,3.351000,1.988805,11110
2019-04-02,3.480000,3.480000,3.378000,3.431000,2.036285,15537
2019-04-03,3.480000,3.580000,3.480000,3.556000,2.110472,35291
2019-04-04,3.556000,3.584000,3.496000,3.576000,2.122342,7030
2019-04-05,3.570000,3.615000,3.564000,3.600000,2.136585,44095
2019-04-08,3.700000,3.700000,3.617000,3.690000,2.190000,31466
2019-04-09,3.571000,3.571000,3.470000,3.472000,3.472000,42413
2019-04-10,3.458000,3.475000,3.442000,3.450000,3.450000,9603
2019-04-11,3.500000,3.500000,3.408000,3.408000,3.408000,11708
2019-04-12,3.408000,3.493000,3.380000,3.470000,3.470000,4911
2019-04-15,3.452000,3.494000,3.452000,3.494000,3.494000,3534
2019-04-16,3.484000,3.495000,3.463000,3.471000,3.471000,1126
2019-04-17,3.470000,3.578000,3.470000,3.559000,3.559000,6901
2019-04-18,3.570000,3.570000,3.535000,3.560000,3.560000,5323
2019-04-23,3.541000,3.573000,3.453000,3.453000,3.453000,5770
2019-04-24,3.443000,3.449000,3.380000,3.385000,3.385000,13745
2019-04-25,3.555000,3.555000,3.462000,3.517000,3.517000,9001
2019-04-26,3.550000,3.550000,3.428000,3.434000,3.434000,19858
2019-04-29,3.404000,3.423000,3.387000,3.395000,3.395000,13052
2019-04-30,3.380000,3.380000,3.340000,3.350000,3.350000,8351
2019-05-02,3.331000,3.332000,3.248000,3.261000,3.261000,24455
2019-05-03,3.261000,3.280000,3.230000,3.280000,3.280000,9257
2019-05-06,3.208000,3.210000,3.170000,3.210000,3.210000,28599
2019-05-07,3.300000,3.300000,3.105000,3.105000,3.105000,25131
2019-05-08,3.105000,3.150000,3.066000,3.103000,3.103000,12166
2019-05-09,3.086000,3.086000,2.987000,2.994000,2.994000,23718
2019-05-10,2.950000,3.049000,2.950000,3.013000,3.013000,8402
2019-05-13,3.017000,3.017000,2.909000,2.917000,2.917000,12222
2019-05-14,2.930000,2.957000,2.920000,2.945000,2.945000,11524
2019-05-15,2.961000,2.989000,2.911000,2.983000,2.983000,8246
2019-05-16,2.986000,3.021000,2.928000,3.014000,3.014000,27535
2019-05-17,2.942000,2.962000,2.935000,2.962000,2.962000,1361
2019-05-20,3.014000,3.015000,2.869000,2.892000,2.892000,18327
2019-05-21,2.970000,2.970000,2.892000,2.950000,2.950000,26346
2019-05-22,2.981000,2.981000,2.932000,2.932000,2.932000,25084
2019-05-23,2.925000,2.925000,2.850000,2.865000,2.865000,22640
2019-05-24,2.915000,2.924000,2.880000,2.919000,2.919000,2890
2019-05-27,2.950000,2.958000,2.927000,2.936000,2.936000,3829
2019-05-28,2.967000,2.967000,2.921000,2.945000,2.945000,10875
2019-05-29,2.891000,2.947000,2.800000,2.851000,2.851000,18181
2019-05-31,2.855000,2.855000,2.733000,2.744000,2.744000,32882
2019-06-03,2.754000,2.762000,2.677000,2.762000,2.762000,18032
2019-06-04,2.900000,2.900000,2.760000,2.829000,2.829000,11475
2019-06-05,2.900000,2.900000,2.806000,2.806000,2.806000,15394
2019-06-06,2.950000,2.950000,2.860000,2.860000,2.860000,1615
2019-06-07,2.856000,2.864000,2.832000,2.864000,2.864000,697
2019-06-10,2.900000,2.960000,2.878000,2.960000,2.960000,13868
2019-06-11,3.000000,3.039000,2.986000,3.025000,3.025000,10730
2019-06-12,2.961000,2.990000,2.950000,2.990000,2.990000,11038
2019-06-13,2.990000,3.000000,2.968000,3.000000,3.000000,3144
2019-06-14,3.000000,3.000000,2.945000,2.949000,2.949000,2131
2019-06-17,2.977000,2.977000,2.926000,2.928000,2.928000,2672
2019-06-18,2.928000,3.035000,2.892000,3.035000,3.035000,11700
2019-06-19,3.019000,3.028000,3.002000,3.002000,3.002000,1133
2019-06-20,3.054000,3.059000,3.000000,3.059000,3.059000,15011
2019-06-24,3.035000,3.035000,2.939000,2.939000,2.939000,2887
2019-06-25,2.955000,3.000000,2.916000,2.956000,2.956000,1826
2019-06-26,2.970000,3.048000,2.970000,2.994000,2.994000,4342
2019-06-27,3.031000,3.070000,3.005000,3.053000,3.053000,6070
2019-06-28,3.039000,3.058000,3.039000,3.048000,3.048000,4517
2019-07-01,3.081000,3.110000,3.048000,3.048000,3.048000,23480
2019-07-02,3.030000,3.030000,2.976000,2.990000,2.990000,5833
2019-07-03,3.000000,3.020000,2.974000,2.980000,2.980000,18579
2019-07-04,3.008000,3.030000,2.973000,2.975000,2.975000,7599
2019-07-05,2.975000,2.975000,2.943000,2.948000,2.948000,5085
2019-07-08,2.953000,3.000000,2.950000,2.965000,2.965000,5802
2019-07-09,3.000000,3.000000,2.830000,2.845000,2.845000,38740
2019-07-10,2.862000,2.911000,2.850000,2.863000,2.863000,17288
2019-07-11,3.100000,3.100000,2.780000,2.783000,2.783000,59333
2019-07-12,2.809000,2.827000,2.780000,2.784000,2.784000,12576
2019-07-15,2.950000,2.950000,2.800000,2.817000,2.817000,17056
2019-07-16,2.813000,2.827000,2.800000,2.821000,2.821000,13134
2019-07-17,2.803000,2.804000,2.750000,2.755000,2.755000,15179
2019-07-18,2.761000,2.761000,2.709000,2.742000,2.742000,22374
2019-07-19,2.701000,2.710000,2.561000,2.681000,2.681000,58931
2019-07-22,2.701000,2.717000,2.660000,2.660000,2.660000,13534
2019-07-23,2.670000,2.788000,2.670000,2.776000,2.776000,5934
2019-07-24,2.760000,2.760000,2.700000,2.718000,2.718000,3147
2019-07-25,2.740000,2.740000,2.640000,2.674000,2.674000,10274
2019-07-26,2.686000,2.702000,2.661000,2.661000,2.661000,5997
2019-07-29,2.682000,2.690000,2.660000,2.661000,2.661000,9838
2019-07-30,2.670000,2.670000,2.580000,2.580000,2.580000,13341
2019-07-31,2.586000,2.627000,2.573000,2.573000,2.573000,9929
2019-08-01,2.553000,2.562000,2.531000,2.550000,2.550000,20519
2019-08-02,2.524000,2.524000,2.430000,2.444000,2.444000,22555
2019-08-05,2.589000,2.589000,2.359000,2.362000,2.362000,34815
2019-08-06,2.360000,2.373000,2.330000,2.330000,2.330000,27866
2019-08-07,2.360000,2.361000,2.290000,2.305000,2.305000,23387
2019-08-08,2.361000,2.380000,2.349000,2.380000,2.380000,10484
2019-08-09,2.380000,2.380000,2.300000,2.318000,2.318000,12630
2019-08-12,2.321000,2.334000,2.251000,2.255000,2.255000,40469
2019-08-13,2.267000,2.342000,2.230000,2.342000,2.342000,21997
2019-08-14,2.341000,2.342000,2.200000,2.200000,2.200000,38886
2019-08-15,2.228000,2.228000,2.122000,2.166000,2.166000,93977
2019-08-16,2.209000,2.210000,2.170000,2.192000,2.192000,12846
2019-08-19,2.230000,2.266000,2.226000,2.240000,2.240000,36801
2019-08-20,2.291000,2.310000,2.250000,2.274000,2.274000,41023
2019-08-21,2.315000,2.335000,2.314000,2.315000,2.315000,5087
2019-08-22,2.321000,2.403000,2.308000,2.378000,2.378000,46649
2019-08-23,2.420000,2.440000,2.360000,2.372000,2.372000,30195
2019-08-26,2.354000,2.425000,2.344000,2.387000,2.387000,29602
2019-08-27,2.400000,2.430000,2.380000,2.410000,2.410000,23965
2019-08-28,2.420000,2.442000,2.402000,2.440000,2.440000,19475
2019-08-29,2.450000,2.484000,2.425000,2.480000,2.480000,29543
2019-08-30,2.520000,2.520000,2.484000,2.506000,2.506000,16591
