Date,Open,High,Low,Close,Adj Close,Volume
2019-01-21,2.840000,2.850000,2.755000,2.760000,1.454006,538355
2019-01-22,2.704000,2.708000,2.650000,2.665000,1.403959,1496961
2019-01-23,2.689000,2.689000,2.615000,2.629000,1.384994,441901
2019-01-24,2.631000,2.647000,2.601000,2.620000,1.380252,454998
2019-01-25,2.640000,2.678000,2.634000,2.676000,1.409754,309387
2019-01-28,2.685000,2.701000,2.598000,2.612000,1.376038,677664
2019-01-29,2.700000,2.775000,2.663000,2.708000,1.426612,1028356
2019-01-30,2.727000,2.884000,2.725000,2.835000,1.493517,1804864
2019-01-31,2.870000,2.936000,2.870000,2.907000,1.531448,724406
2019-02-01,2.932000,2.940000,2.871000,2.911000,1.533555,392861
2019-02-04,2.919000,2.919000,2.774000,2.798000,1.474025,505021
2019-02-05,2.799000,2.853000,2.795000,2.811000,1.480874,324824
2019-02-06,2.812000,2.828000,2.795000,2.809000,1.479820,279368
2019-02-07,2.800000,2.800000,2.738000,2.742000,1.444524,548150
2019-02-08,2.725000,2.725000,2.645000,2.650000,1.396057,372615
2019-02-11,2.670000,2.689000,2.650000,2.680000,1.411861,438840
2019-02-12,2.710000,2.713000,2.680000,2.690000,1.417129,218685
2019-02-13,2.700000,2.741000,2.689000,2.723000,1.434514,217445
2019-02-14,2.734000,2.750000,2.667000,2.685000,1.414495,321505
2019-02-15,2.666000,2.744000,2.638000,2.729000,1.437675,276217
2019-02-18,2.750000,2.766000,2.723000,2.744000,1.445577,238117
2019-02-19,2.744000,2.744000,2.682000,2.700000,1.422397,319054
2019-02-20,2.714000,2.837000,2.714000,2.829000,1.490356,704577
2019-02-21,2.821000,2.870000,2.780000,2.861000,1.507215,506944
2019-02-22,2.851000,2.937000,2.851000,2.885000,1.519858,380424
2019-02-25,2.934000,2.962000,2.880000,2.903000,1.529341,370710
2019-02-26,2.894000,2.910000,2.861000,2.896000,1.525653,341548
2019-02-27,2.910000,2.939000,2.884000,2.901000,1.528287,757639
2019-02-28,2.904000,2.904000,2.837000,2.888000,1.521438,232860
2019-03-01,2.897000,2.904000,2.855000,2.856000,1.504580,415410
2019-03-04,2.866000,2.880000,2.826000,2.839000,1.495625,458822
2019-03-05,2.830000,2.830000,2.775000,2.823000,1.487195,607962
2019-03-06,2.823000,2.823000,2.794000,2.810000,1.480347,149432
2019-03-07,2.796000,2.796000,2.712000,2.728000,1.437148,389049
2019-03-08,2.692000,2.692000,2.637000,2.666000,1.404486,714835
2019-03-11,2.700000,2.740000,2.677000,2.740000,1.443470,312672
2019-03-12,2.774000,2.779000,2.726000,2.758000,1.452953,247987
2019-03-13,2.754000,2.788000,2.725000,2.784000,1.466650,172217
2019-03-14,2.784000,2.808000,2.770000,2.784000,1.466650,289546
2019-03-15,2.807000,2.807000,2.780000,2.800000,1.475079,273502
2019-03-18,2.820000,2.885000,2.809000,2.848000,1.500366,477328
2019-03-19,2.873000,2.885000,2.843000,2.880000,1.517224,231348
2019-03-20,2.876000,2.888000,2.828000,2.869000,1.511429,340922
2019-03-21,2.876000,2.930000,2.863000,2.874000,1.514063,285862
