Date,Open,High,Low,Close,Adj Close,Volume
2019-01-16,81.949997,82.849998,81.500000,82.800003,76.704300,98726
2019-01-17,83.000000,83.800003,81.500000,83.800003,77.630676,150275
2019-01-18,83.800003,85.949997,83.650002,85.300003,79.020248,118744
2019-01-21,85.750000,85.750000,83.750000,84.050003,77.862274,65751
2019-01-22,83.500000,83.849998,82.250000,82.900002,76.796936,91529
2019-01-23,83.250000,84.900002,82.750000,84.599998,78.371780,85388
2019-01-24,84.599998,85.900002,83.800003,84.949997,78.696014,141375
2019-01-25,85.199997,86.050003,84.599998,85.800003,79.483444,140156
2019-01-28,86.750000,86.800003,83.050003,83.300003,77.167488,192613
2019-01-29,83.050003,83.750000,82.349998,82.800003,76.704300,160533
2019-01-30,82.550003,83.800003,82.250000,83.300003,77.167488,136514
2019-01-31,84.099998,85.500000,83.500000,84.349998,78.140182,200349
2019-02-01,84.699997,86.400002,84.199997,86.300003,79.946632,158127
2019-02-04,86.750000,86.750000,85.250000,86.500000,80.131905,136868
2019-02-05,86.599998,87.800003,86.300003,87.550003,81.104607,87357
2019-02-06,87.449997,87.500000,85.349998,85.349998,79.066566,113537
2019-02-07,85.599998,85.800003,83.949997,84.099998,77.908592,211239
2019-02-08,84.000000,84.150002,82.250000,82.500000,76.426384,234962
2019-02-11,83.050003,84.550003,82.699997,84.050003,77.862274,113381
2019-02-12,84.500000,84.500000,82.699997,83.650002,77.491722,163007
2019-02-13,83.800003,86.250000,83.650002,85.800003,79.483444,189928
2019-02-14,86.349998,86.349998,84.349998,85.000000,78.742332,153176
2019-02-15,85.000000,85.199997,84.250000,85.099998,78.834969,201014
2019-02-18,85.300003,86.250000,85.000000,86.000000,79.668716,82787
2019-02-19,85.800003,85.949997,84.800003,85.250000,78.973930,129107
2019-02-20,85.199997,88.199997,85.199997,87.800003,81.336205,119024
2019-02-21,89.000000,89.000000,87.250000,87.949997,81.475151,62709
2019-02-22,87.750000,89.199997,87.750000,88.550003,82.030991,178369
2019-02-25,88.550003,89.550003,88.550003,89.199997,82.633125,76965
2019-02-26,89.300003,89.300003,87.599998,88.900002,82.355217,87249
2019-02-27,88.349998,88.800003,87.500000,87.699997,81.243561,70524
2019-02-28,88.199997,88.199997,86.150002,86.599998,80.224541,96394
2019-03-01,87.449997,87.449997,86.250000,86.800003,80.409821,79163
2019-03-04,86.750000,87.849998,86.750000,87.300003,80.873009,91251
2019-03-05,88.099998,88.250000,86.800003,87.849998,81.382515,94116
2019-03-06,87.849998,89.000000,87.199997,87.500000,81.058281,95485
2019-03-07,86.849998,87.599998,86.599998,86.750000,80.363503,175586
2019-03-08,86.550003,87.400002,86.099998,87.050003,80.641418,126564
2019-03-11,87.250000,87.250000,85.550003,85.900002,79.576080,68730
2019-03-12,86.949997,87.000000,85.099998,85.800003,79.483444,149749
2019-03-13,85.500000,86.449997,84.750000,85.199997,78.927605,132422
2019-03-14,86.500000,88.699997,86.300003,86.900002,80.502457,411503
2019-03-15,87.449997,87.650002,86.550003,86.900002,80.502457,223324
2019-03-18,87.050003,87.099998,85.199997,85.500000,79.205521,165553
2019-03-19,85.599998,85.650002,84.650002,85.199997,78.927605,135995
2019-03-20,85.150002,85.349998,83.449997,84.300003,78.093872,311847
2019-03-21,84.500000,86.750000,84.050003,86.449997,80.085579,687296
2019-03-22,86.500000,87.099998,84.000000,84.000000,77.815956,216778
2019-03-25,84.050003,84.750000,83.099998,84.750000,78.510742,115643
2019-03-26,84.750000,84.750000,82.150002,83.400002,77.260124,222522
2019-03-27,83.400002,84.150002,83.099998,83.650002,77.491722,202860
2019-03-28,83.599998,84.449997,83.550003,83.699997,77.538033,108414
2019-03-29,84.650002,84.650002,82.599998,83.000000,76.889572,224165
2019-04-01,83.300003,83.800003,82.750000,83.000000,76.889572,178333
2019-04-02,83.050003,83.300003,82.650002,83.050003,76.935898,465137
2019-04-03,83.000000,83.000000,81.400002,81.900002,75.870552,315533
2019-04-04,82.000000,82.000000,80.250000,80.500000,74.573624,274849
2019-04-05,80.500000,80.800003,79.750000,79.949997,74.064110,437993
2019-04-08,80.500000,80.849998,79.849998,79.949997,74.064110,678750
2019-04-09,80.000000,81.800003,79.500000,81.550003,75.546326,563619
2019-04-10,81.199997,81.900002,80.250000,81.500000,75.500000,368727
2019-04-11,76.800003,77.699997,75.800003,76.849998,76.849998,1032813
2019-04-12,77.099998,78.900002,76.349998,78.400002,78.400002,351159
2019-04-15,78.650002,78.650002,77.099998,77.699997,77.699997,174392
2019-04-16,77.599998,78.849998,77.599998,78.650002,78.650002,216936
2019-04-17,78.949997,78.949997,78.150002,78.500000,78.500000,148039
2019-04-23,78.650002,78.699997,77.250000,78.099998,78.099998,267527
2019-04-24,78.050003,78.050003,77.300003,77.349998,77.349998,120223
2019-04-25,77.500000,79.449997,77.400002,78.449997,78.449997,496809
2019-04-26,78.449997,79.400002,78.150002,79.300003,79.300003,123217
2019-04-29,79.800003,79.800003,78.949997,79.300003,79.300003,175941
2019-04-30,79.300003,80.250000,79.099998,79.250000,79.250000,92347
2019-05-01,80.000000,80.000000,79.050003,79.800003,79.800003,54970
2019-05-02,80.000000,80.000000,77.750000,78.849998,78.849998,261746
2019-05-03,78.949997,79.550003,78.599998,79.550003,79.550003,166093
2019-05-06,78.300003,78.849998,77.500000,78.650002,78.650002,90191
2019-05-07,78.050003,78.800003,78.000000,78.699997,78.699997,119715
2019-05-08,78.300003,78.349998,76.750000,76.849998,76.849998,140593
2019-05-09,77.099998,77.099998,75.250000,75.500000,75.500000,237898
2019-05-10,75.150002,76.500000,75.150002,76.449997,76.449997,128734
2019-05-13,76.750000,76.750000,74.400002,75.199997,75.199997,141096
2019-05-14,75.250000,75.449997,74.250000,74.750000,74.750000,180671
2019-05-15,74.750000,75.300003,72.250000,74.199997,74.199997,210583
2019-05-16,74.500000,76.349998,73.949997,76.349998,76.349998,169691
2019-05-20,77.000000,79.000000,75.849998,76.750000,76.750000,147314
2019-05-21,76.750000,78.099998,76.250000,77.900002,77.900002,164929
2019-05-22,77.949997,77.949997,76.099998,76.650002,76.650002,170785
2019-05-23,78.849998,83.449997,77.500000,82.550003,82.550003,821341
2019-05-24,83.199997,84.400002,80.099998,80.150002,80.150002,381381
2019-05-27,81.000000,82.000000,79.699997,81.400002,81.400002,183571
2019-05-28,81.449997,83.099998,81.099998,82.000000,82.000000,276266
2019-05-29,81.900002,82.300003,81.099998,81.400002,81.400002,262897
2019-06-03,80.900002,80.900002,79.000000,79.900002,79.900002,246956
2019-06-04,80.000000,80.650002,79.000000,79.699997,79.699997,170614
2019-06-06,79.800003,81.500000,79.800003,80.599998,80.599998,204537
2019-06-07,81.400002,81.849998,80.550003,81.449997,81.449997,187545
2019-06-11,82.000000,82.550003,81.599998,81.599998,81.599998,156314
2019-06-12,81.550003,82.199997,78.599998,79.050003,79.050003,225187
2019-06-13,79.050003,79.550003,78.300003,78.650002,78.650002,166212
2019-06-14,78.650002,79.150002,78.099998,78.099998,78.099998,173935
2019-06-17,79.500000,79.500000,77.500000,77.599998,77.599998,88539
2019-06-18,77.900002,77.900002,77.050003,77.050003,77.050003,85028
2019-06-19,77.099998,77.750000,76.699997,76.949997,76.949997,175715
2019-06-20,77.550003,78.449997,76.699997,78.349998,78.349998,199872
2019-06-21,78.000000,79.300003,77.500000,77.500000,77.500000,526659
2019-06-24,78.000000,78.500000,77.250000,77.500000,77.500000,142247
2019-06-25,77.849998,78.150002,77.099998,77.699997,77.699997,180884
2019-06-26,77.699997,78.050003,77.199997,77.550003,77.550003,155902
2019-06-27,78.449997,78.449997,76.550003,77.250000,77.250000,195728
2019-06-28,77.050003,77.500000,76.500000,76.500000,76.500000,167096
2019-07-01,77.599998,78.699997,77.199997,78.599998,78.599998,177979
2019-07-02,79.150002,79.349998,77.750000,78.449997,78.449997,208957
2019-07-03,78.349998,80.449997,78.349998,80.000000,80.000000,258245
2019-07-04,80.250000,81.000000,79.599998,80.000000,80.000000,104106
2019-07-05,81.000000,81.000000,79.699997,79.699997,79.699997,108653
2019-07-08,80.000000,81.300003,79.400002,79.550003,79.550003,100274
2019-07-09,79.599998,80.000000,79.000000,79.699997,79.699997,126743
2019-07-10,79.750000,80.000000,78.349998,78.349998,78.349998,92556
2019-07-11,78.400002,78.800003,77.250000,77.449997,77.449997,103071
2019-07-12,78.099998,78.099998,76.400002,76.750000,76.750000,171033
2019-07-15,76.699997,76.750000,75.699997,76.050003,76.050003,111195
2019-07-16,76.000000,76.199997,75.300003,75.699997,75.699997,115173
2019-07-17,76.099998,76.099998,75.000000,75.150002,75.150002,88499
2019-07-18,75.199997,75.199997,73.849998,74.199997,74.199997,147840
2019-07-19,74.650002,74.650002,73.949997,74.099998,74.099998,103829
2019-07-22,74.500000,74.500000,73.300003,73.300003,73.300003,119095
2019-07-23,73.550003,74.099998,73.500000,73.550003,73.550003,117247
2019-07-24,74.199997,74.400002,73.400002,73.550003,73.550003,116730
2019-07-25,73.400002,74.050003,72.699997,72.750000,72.750000,267302
2019-07-26,73.849998,73.849998,72.500000,72.750000,72.750000,115809
2019-07-29,73.349998,73.699997,72.050003,73.449997,73.449997,114822
2019-07-30,73.300003,73.750000,72.500000,72.550003,72.550003,97116
2019-07-31,72.500000,72.949997,70.800003,71.099998,71.099998,367359
2019-08-01,71.150002,72.550003,71.099998,72.099998,72.099998,122693
2019-08-02,72.150002,73.800003,71.900002,73.500000,73.500000,225951
2019-08-05,73.550003,73.550003,71.900002,72.699997,72.699997,81130
2019-08-06,72.849998,72.949997,72.050003,72.250000,72.250000,287228
2019-08-07,72.300003,73.500000,72.250000,72.699997,72.699997,111991
2019-08-08,72.699997,73.849998,72.599998,73.550003,73.550003,129106
