Date,Open,High,Low,Close,Adj Close,Volume
2019-01-16,155.699997,158.000000,155.160004,156.619995,155.955017,40647
2019-01-17,156.979996,161.360001,156.059998,159.000000,158.324921,73621
2019-01-18,159.000000,162.000000,158.899994,160.440002,159.758820,87714
2019-01-21,159.000000,159.979996,157.220001,157.220001,156.552490,75889
2019-01-22,157.199997,158.979996,156.020004,156.139999,155.477066,55501
2019-01-23,155.339996,157.000000,153.059998,155.860001,155.198257,46646
2019-01-24,155.080002,155.759995,153.399994,155.000000,154.341904,98409
2019-01-25,155.119995,155.899994,153.800003,154.119995,153.465637,90550
2019-01-28,154.119995,156.000000,154.119995,154.679993,154.023254,37509
2019-01-29,154.800003,155.679993,153.139999,153.179993,152.529633,74421
2019-01-30,153.000000,156.000000,152.919998,154.360001,153.704620,88610
2019-01-31,155.979996,160.000000,154.979996,159.660004,158.982132,168757
2019-02-01,160.000000,165.179993,160.000000,161.660004,160.973633,190247
2019-02-04,162.000000,166.000000,161.720001,161.720001,161.033371,118577
2019-02-05,161.860001,164.839996,161.860001,162.899994,162.208359,158005
2019-02-06,162.919998,163.500000,158.320007,159.320007,158.643570,120815
2019-02-07,159.500000,169.119995,159.500000,166.279999,165.574020,207727
2019-02-08,169.000000,190.000000,169.000000,188.500000,187.699677,368217
2019-02-11,184.619995,187.940002,181.100006,184.960007,184.174713,359235
2019-02-12,184.940002,190.880005,184.000000,185.820007,185.031067,228555
2019-02-13,184.119995,187.860001,181.440002,181.440002,180.669647,100097
2019-02-14,181.440002,184.000000,174.179993,176.660004,175.909943,417811
2019-02-15,176.660004,183.699997,176.660004,180.380005,179.614151,106979
2019-02-18,182.000000,189.240005,182.000000,187.360001,186.564514,129563
2019-02-19,188.000000,189.979996,185.500000,188.580002,187.779343,119239
2019-02-20,188.580002,194.399994,185.000000,186.919998,186.126389,99987
2019-02-21,187.119995,189.419998,182.619995,184.399994,183.617081,84538
2019-02-22,184.399994,188.720001,183.279999,186.460007,185.668350,67400
2019-02-25,188.000000,190.639999,187.000000,190.080002,189.272964,114473
2019-02-26,190.000000,195.000000,189.139999,191.000000,190.189056,197454
2019-02-27,191.000000,191.000000,185.119995,187.539993,186.743744,99074
2019-02-28,187.539993,190.199997,186.000000,187.520004,186.723846,139878
2019-03-01,188.059998,193.300003,188.059998,192.660004,191.842010,91548
2019-03-04,194.000000,200.500000,193.039993,195.360001,194.530548,157633
2019-03-05,195.259995,202.050003,194.179993,200.300003,199.449585,244260
2019-03-06,200.000000,201.000000,193.399994,193.679993,192.857681,2108693
2019-03-07,193.679993,194.460007,190.740005,193.100006,192.280151,141484
2019-03-08,192.300003,196.440002,189.679993,195.039993,194.211899,100584
2019-03-11,195.039993,201.199997,195.039993,197.259995,196.422470,133267
2019-03-12,198.000000,199.240005,193.139999,195.759995,194.928848,165382
2019-03-13,195.399994,197.380005,192.259995,197.100006,196.263168,176317
2019-03-14,197.100006,203.350006,197.100006,198.539993,197.697037,181492
2019-03-15,199.000000,208.949997,199.000000,206.750000,205.872192,233171
2019-03-18,206.750000,206.750000,195.419998,199.000000,198.155090,182301
2019-03-19,199.119995,206.350006,199.119995,203.649994,202.785339,173748
2019-03-20,203.600006,209.449997,203.000000,208.149994,207.266235,211802
2019-03-21,208.149994,210.949997,202.000000,205.100006,204.229202,181782
2019-03-22,205.149994,206.949997,202.050003,204.000000,203.133865,250224
2019-03-25,202.699997,205.500000,200.449997,205.000000,204.129623,107357
2019-03-26,205.000000,207.500000,203.399994,205.649994,204.776855,437170
2019-03-27,205.000000,208.750000,202.050003,204.000000,203.133865,277509
2019-03-28,204.000000,209.500000,203.000000,208.100006,207.216461,243303
2019-03-29,208.100006,211.649994,205.050003,211.649994,210.751373,156808
2019-04-01,212.000000,223.600006,212.000000,214.600006,213.688873,140336
2019-04-02,215.600006,219.399994,215.000000,218.399994,217.472717,189226
2019-04-03,219.399994,222.000000,213.600006,217.199997,216.277817,107729
2019-04-04,215.600006,218.399994,214.399994,216.000000,215.082916,88020
2019-04-05,215.399994,219.199997,215.000000,217.000000,216.078674,151358
2019-04-08,217.000000,218.399994,215.399994,217.800003,216.875275,98670
2019-04-09,218.800003,220.800003,213.399994,217.199997,216.277817,161520
2019-04-10,217.399994,226.800003,215.000000,224.800003,223.845551,361890
2019-04-11,224.800003,224.800003,219.399994,221.600006,220.659149,266088
2019-04-12,223.199997,224.399994,219.399994,223.399994,222.451492,78172
