Date,Open,High,Low,Close,Adj Close,Volume
2019-01-21,124.699997,124.699997,122.599998,123.599998,119.599998,92957
2019-01-22,123.500000,124.000000,121.699997,122.599998,118.632362,72165
2019-01-23,122.000000,122.300003,120.500000,120.699997,116.793846,42284
2019-01-24,120.300003,121.699997,119.400002,120.500000,116.600327,81550
2019-01-25,120.900002,125.500000,120.900002,125.000000,120.954689,96640
2019-01-28,125.000000,126.000000,123.900002,124.599998,120.567635,71133
2019-01-29,124.900002,127.599998,124.300003,126.900002,122.793205,86363
2019-01-30,124.900002,128.000000,122.800003,126.000000,121.922333,321452
2019-01-31,130.000000,132.199997,128.800003,129.800003,125.599358,147065
2019-02-01,130.399994,131.399994,129.199997,131.000000,126.760521,110622
2019-02-04,131.699997,132.199997,130.000000,130.899994,126.663750,119653
2019-02-05,131.800003,132.500000,130.800003,131.500000,127.244339,97376
2019-02-06,131.100006,132.600006,130.800003,132.300003,128.018448,52162
2019-02-07,133.100006,133.600006,130.199997,130.199997,125.986404,93495
2019-02-08,129.699997,130.500000,128.699997,129.000000,124.825241,92369
2019-02-11,129.899994,131.399994,129.300003,130.100006,125.889648,110722
2019-02-12,131.500000,133.000000,130.800003,132.699997,128.405502,83434
2019-02-13,132.600006,133.800003,132.199997,133.000000,128.695786,119626
2019-02-14,133.600006,134.399994,132.399994,133.699997,129.373138,66243
2019-02-15,133.600006,135.800003,132.300003,135.699997,131.308411,105445
2019-02-18,136.000000,137.000000,134.300003,135.100006,130.727844,97813
2019-02-19,134.800003,134.800003,133.600006,134.600006,130.244019,56045
2019-02-20,134.800003,138.800003,134.699997,138.800003,134.308090,76117
2019-02-21,138.800003,139.500000,137.199997,138.100006,133.630753,64117
2019-02-22,137.600006,139.800003,137.600006,139.399994,134.888672,42463
2019-02-25,139.899994,140.500000,137.699997,138.699997,134.211319,219780
2019-02-26,138.600006,139.199997,137.800003,139.199997,134.695145,113049
2019-02-27,138.100006,138.300003,136.699997,136.899994,132.469574,50488
2019-02-28,136.800003,136.800003,134.600006,136.500000,132.082520,54125
2019-03-01,137.100006,137.399994,136.399994,136.399994,131.985748,42479
2019-03-04,137.000000,139.000000,137.000000,138.300003,133.824280,109018
2019-03-05,138.600006,138.699997,136.399994,138.699997,134.211319,73824
2019-03-06,138.399994,138.399994,136.100006,136.500000,132.082520,37813
2019-03-07,136.500000,136.500000,134.100006,135.100006,130.727844,74728
2019-03-08,133.600006,134.199997,132.100006,134.199997,129.856949,50262
2019-03-11,134.800003,136.000000,134.100006,136.000000,131.598709,44286
2019-03-12,137.000000,137.000000,134.500000,134.600006,130.244019,60453
2019-03-13,134.500000,136.000000,134.000000,136.000000,131.598709,58426
2019-03-14,136.199997,137.300003,135.399994,136.899994,132.469574,100658
2019-03-15,137.100006,137.899994,135.800003,137.000000,132.566345,181546
2019-03-18,137.699997,138.399994,136.199997,136.800003,132.372818,102425
2019-03-19,137.699997,140.899994,137.000000,140.899994,136.340118,746795
2019-03-20,140.600006,140.899994,139.300003,139.300003,134.791916,180580
2019-03-21,139.500000,139.899994,138.300003,138.800003,134.308090,157930
2019-03-22,139.600006,139.800003,134.500000,134.899994,130.534302,112003
2019-03-25,134.300003,134.300003,132.199997,132.899994,128.599030,96634
2019-03-26,133.699997,136.100006,132.800003,135.699997,131.308411,168452
2019-03-27,136.800003,140.399994,136.699997,139.199997,134.695145,278973
2019-03-28,139.399994,141.699997,139.000000,141.500000,136.920715,189362
2019-03-29,141.800003,144.500000,141.800003,143.899994,139.243042,225514
2019-04-01,145.800003,148.500000,145.800003,148.500000,143.694168,370041
2019-04-02,149.699997,150.800003,148.800003,149.500000,144.661819,173745
2019-04-03,150.399994,154.500000,150.000000,154.500000,149.500000,328238
2019-04-04,142.800003,143.800003,141.000000,143.800003,143.800003,329468
2019-04-05,143.800003,146.399994,143.699997,146.399994,146.399994,152158
2019-04-08,146.000000,146.000000,144.500000,145.600006,145.600006,132481
2019-04-09,144.899994,146.199997,143.199997,143.300003,143.300003,120030
2019-04-10,143.199997,145.399994,143.199997,144.600006,144.600006,358442
2019-04-11,144.800003,146.000000,144.300003,145.000000,145.000000,65493
2019-04-12,145.000000,147.600006,144.899994,146.899994,146.899994,235294
2019-04-15,147.000000,147.300003,146.100006,146.800003,146.800003,153998
2019-04-16,146.500000,147.500000,146.300003,147.100006,147.100006,134798
2019-04-17,146.699997,148.699997,146.699997,148.500000,148.500000,83595
2019-04-18,147.800003,151.000000,147.600006,150.000000,150.000000,160662
2019-04-23,149.800003,149.899994,147.500000,147.899994,147.899994,100974
2019-04-24,150.500000,154.399994,148.300003,152.199997,152.199997,352114
2019-04-25,152.699997,154.899994,152.300003,153.000000,153.000000,211484
2019-04-26,154.000000,154.000000,151.500000,152.500000,152.500000,128574
2019-04-29,152.199997,153.399994,151.600006,152.800003,152.800003,101451
2019-04-30,152.199997,152.800003,151.300003,151.899994,151.899994,64454
2019-05-02,152.199997,152.199997,149.300003,149.800003,149.800003,172682
2019-05-03,149.800003,150.100006,148.699997,149.000000,149.000000,192702
2019-05-06,145.000000,145.699997,143.000000,145.699997,145.699997,192157
2019-05-07,145.500000,145.500000,140.300003,141.100006,141.100006,197087
2019-05-08,140.300003,143.399994,140.300003,143.399994,143.399994,404049
2019-05-09,141.800003,141.800003,139.500000,139.899994,139.899994,74917
2019-05-10,141.100006,142.100006,138.800003,140.000000,140.000000,85124
2019-05-13,140.000000,140.000000,136.300003,136.800003,136.800003,88927
2019-05-14,138.000000,140.399994,137.600006,140.300003,140.300003,138376
2019-05-15,141.000000,141.600006,138.800003,141.600006,141.600006,105150
2019-05-16,142.000000,143.199997,140.500000,143.199997,143.199997,106540
2019-05-17,143.199997,143.300003,140.100006,141.399994,141.399994,76752
2019-05-20,141.100006,141.100006,137.000000,138.000000,138.000000,146531
2019-05-21,138.300003,140.600006,138.300003,140.600006,140.600006,61474
2019-05-22,140.800003,140.800003,137.899994,138.800003,138.800003,63270
2019-05-23,137.600006,137.600006,135.100006,135.100006,135.100006,97370
2019-05-24,136.000000,138.100006,136.000000,137.100006,137.100006,167912
2019-05-27,137.899994,138.500000,135.500000,136.100006,136.100006,32321
2019-05-28,136.100006,138.100006,136.000000,138.100006,138.100006,94588
2019-05-29,137.100006,137.100006,135.399994,135.600006,135.600006,43825
2019-05-31,134.199997,135.300003,131.699997,134.199997,134.199997,194289
2019-06-03,132.399994,134.500000,131.399994,134.500000,134.500000,174660
2019-06-04,134.000000,137.300003,132.600006,137.000000,137.000000,218728
2019-06-05,136.500000,136.600006,134.899994,135.899994,135.899994,99161
2019-06-07,135.500000,139.300003,135.500000,138.699997,138.699997,74019
2019-06-11,141.199997,143.000000,141.199997,141.899994,141.899994,89261
